,,,,,Raffinose,Stachyose,Verbascose Ajugose,Campesterol,Stigmasterol,,,
,,,,,,g,,,mg,,,g
,,,,,,,,,,,,
,,,,,RAFS,STAS,VERS,CAMT,STGSTR,,PHYTAC,
C022,"Gogu leaves, cannabinus)",green (,Hibiscus,4,,,,4.55±0.25,6.25±0.43,72.17±1.15,48.43±0.66,
C023,"Gogu leaves, cannabinus)",red (Hi,biscus,1,,,,4.04,5.94,75.89,43.17,
C024,"Knol-Khol, lea var. gongylode",ves (B s),rassica oleracea,2,,,,3.90,0.29,23.38,47.33,0.88
C025,Lettuce (Lactu,ca sativ,a),3,,,,0.42±0.01,1.73±0.04,6.39±0.17,42.28±7.52,0.11±0.05
C026,Mustard leave,s (Bras,sica juncea),3,0.01±0.008,0.01±0.00,0.01±0.004,2.05±0.06,0.57±0.04,16.16±0.28,34.69±2.32,0.48±0.15
C027,Pak Choi leav Chinensis),es(Bra,ssica rapa var.,1,,,,2.02,0.93,14.35,18.05,
C028,Parsley (Petro,selinum,crispum),3,,,,2.08±0.04,16.48±0.38,13.64±0.26,54.32±0.54,1.03±0.08
C029,Ponnaganni (,Alternan,thera sessilis),2,,,,1.07,6.11,24.72,32.02,0.88
C030,Pumpkin leav maxima),"es, ten",der (Cucurbita,6,0.03±0.009,,,0.33±0.02,2.52±0.08,18.32±0.77,38.27±1.20,
C031,Radish leaves,(Raph,anus sativus),6,,,,2.15±0.03,0.94±0.03,17.44±0.41,56.23±10.05,0.08±0.02
C032,Rumex leaves,(Rume,x patientia),2,,,,0.13,7.47,3.81,30.07,0.31
C033,Spinach (Spin,acia ole,racea),6,,,,0.77±0.03,5.44±0.13,17.39±0.14,12.01±0.34,
C034,Tamarind leav (Tamarindus in,"es, ten dica)",der,3,,,,4.81±0.10,0.64±0.12,46.05±3.16,33.87±0.12,
,,,,,,,,,,,,
D,OTHER V,EGET,ABLES,,,,,,,,,
D001,Ash gourd (B,enincas,a hispida),6,,,,0.16±0.01,0.45±0.02,2.38±0.13,14.60±0.32,
D002,Bamboo shoo vulgaris),"t, tend",er (Bambusa,1,,0.01,0.01,2.44,1.27,15.49,19.78,0.05
D003,"Bean scarlet, coccineus)",tender,(Phaseolus,5,,,,1.64±0.38,5.90±0.73,19.20±1.45,17.33±2.13,0.17±0.00
D004,"Bitter gourd, j elongate (Mo","agged, mordica","teeth ridges, charantia)",6,,,,0.45±0.03,1.62±0.27,11.88±0.75,13.84±1.43,
