,,,,,,,,g,,,,,
,,,,,,,,,,,,,
,,,,HIS,ILE,LE,LYS,MET,CYS,PHE,THR,TRP,VAL
P044,Paarai (Caranx,heberi),1,3.09,4.11,7.82,7.08,3.96,1.15,4.86,4.37,1.12,5.20
P045,Padayappa (Ca,nthidermis maculata),1,2.45,4.69,7.94,6.22,3.27,1.35,3.84,5.02,1.22,5.23
P046,Pali kora (Pann,a microdon),1,2.90,4.64,7.74,6.85,3.94,1.33,3.78,5.90,0.86,5.15
P047,Pambada (Lept,uracanthus savala),2,2.73,4.58,7.77,6.44,3.38,1.27,5.51,6.13,0.94,5.20
P048,Pandukopa (Ps,eudosciaena manchurica),1,4.00,4.89,8.37,5.28,2.63,1.10,5.71,5.29,0.90,5.94
P049,Parava (Lactari,us lactarius),1,2.60,4.77,8.11,5.25,3.73,1.76,4.18,4.82,0.89,5.09
P050,Parcus (Psetto,des erumei),1,3.07,4.81,8.44,6.08,3.81,2.07,5.33,5.20,0.88,5.61
P051,Parrot fish (Sc,arus ghobban),1,2.61,4.86,8.06,7.06,3.62,1.96,5.34,5.18,0.78,5.66
P052,Perinkilichai (P,injalo pinjalo),1,3.16,4.93,8.49,7.18,3.20,1.35,5.08,5.18,0.87,5.53
P053,Phopat (Coryp,haena hippurus),4,3.40±0.13,4.66±0.24,7.72±0.29,7.30±0.44,3.02±0.17,1.57±0.28,3.99±0.47,5.18±0.22,1.00±0.11,5.39±0.33
P054,Piranha (Pygop,ritis sp.),1,3.26,4.51,8.05,7.24,2.87,1.14,3.74,5.10,1.05,5.15
P055,"Pomfret, black",(Parastromateus niger),2,4.36,4.77,8.11,5.52,2.42,1.52,6.43,5.12,1.12,5.95
P056,"Pomfret, snub",nose (Trachinotus blochii),2,3.19,5.52,7.94,6.04,3.13,1.71,4.25,4.89,0.89,5.45
P057,"Pomfret, white",(Pampus argenteus),2,3.80,4.64,8.21,7.03,2.99,1.75,6.38,5.28,1.11,5.42
P058,Pranel (Gerres,sp.),1,3.00,4.55,7.75,5.94,3.24,1.82,5.85,4.79,1.05,5.97
P059,Pulli paarai (G,nathanodon speciosus),1,2.94,4.88,8.31,5.75,2.75,1.63,5.11,4.42,1.21,5.70
P060,Queen fish (Sc,omberoides commersonianus),3,0.86±0.50,4.56±0.11,7.58±0.21,5.93±0.26,3.63±0.50,1.39±0.38,4.25±0.42,5.98±2.20,0.80±0.17,5.32±0.31
P061,Raai fish (Lobo,tes surinamensis),2,2.80,4.52,8.05,6.48,3.10,1.76,5.54,5.91,1.07,5.17
P062,Raai vanthu (E,pinephelus chlorostigma),1,3.26,4.47,7.89,6.71,2.98,2.14,5.02,6.50,1.62,5.06
P063,Rani (Pink perc,h),1,4.35,4.65,8.03,7.27,2.56,1.95,5.04,5.07,1.66,5.07
P064,"Ray fish, bow ancylostoma)","head, spotted (Rhina",1,3.06,4.77,7.94,6.52,2.65,1.41,5.87,5.04,0.98,4.64
