,,,,,,mg,,,µg,,mg
,,,,THIA,RIBF,NIA,PANTAC,VITB6C,BIOT,FOLSUM,VITC
E037,"Mango, ripe, gulabk",has (Mangifera indica),2,0.03,0.04,0.23,0.11,0.13,1.01,84.35,27.65
E038,"Mango, ripe, himsag",ar (Mangifera indica),3,0.03±0.005,0.03±0.004,0.27±0.04,0.11±0.00,0.10±0.030,1.46±0.02,90.98±6.12,49.09±23.24
E039,"Mango, ripe, kesar (",Mangifera indica),4,0.03±0.007,0.04±0.006,0.26±0.02,0.11±0.01,0.10±0.014,1.67±0.23,90.43±8.24,29.08±4.61
E040,"Mango, ripe, neelam",(Mangifera indica),2,0.03,0.04,0.23,0.14,0.12,1.02,68.70,29.93
E041,"Mango, ripe, paheri",(Mangifera indica),2,0.03,0.04,0.28,0.10,0.23,1.73,65.28,30.75
E042,"Mango, ripe, totapar",i (Mangifera indica),1,0.02,0.05,0.27,0.13,0.12,1.64,77.69,25.26
E043,Mangosteen (Garcin,ia mangostana),1,0.01,0.01,0.58,0.15,0.18,0.81,13.52,26.33
E044,Manila tamarind (Pit,hecellobium dulce),1,0.18,0.14,0.40,0.18,0.04,0.22,4.24,55.78
E045,"Musk melon, orange",flesh (Cucumis melon),5,0.01±0.000,0.01±0.003,0.41±0.05,0.13±0.02,0.05±0.005,0.75±0.18,22.31±2.48,22.76±3.42
E046,"Musk melon, yellow",flesh (Cucumis melon),6,0.01±0.018,0.02±0.013,0.43±0.08,0.11±0.03,0.06±0.015,0.80±0.08,20.23±5.16,21.32±1.19
E047,"Orange, pulp (Citrus",aurantium),6,0.07±0.009,0.02±0.005,0.28±0.04,0.20±0.05,0.04±0.003,2.88±0.42,19.46±1.09,42.72±4.81
E048,"Palm fruit, tender (B",orassus flabellifer),1,0.01,,0.46,0.13,0.07,2.49,24.40,0.25
E049,"Papaya, ripe (Carcia",papaya),6,0.03±0.009,0.11±0.008,0.33±0.03,0.44±0.07,0.04±0.003,3.05±0.27,60.90±6.64,43.09±7.02
E050,Peach (Prunus comm,unis),1,0.02,0.02,0.29,0.15,0.10,1.43,6.34,5.49
E051,Pear (Pyrus sp.),,6,0.02±0.005,0.02±0.008,0.13±0.03,0.05±0.01,0.09±0.015,1.41±0.27,5.28±1.17,3.31±0.90
E052,Phalsa (Grewia asiat,ica),2,0.03,0.06,0.40,0.17,0.03,1.49,22.56,5.11
E053,Pineapple (Ananas,comosus),6,0.05±0.007,0.03±0.011,0.12±0.02,0.13±0.02,0.13±0.015,1.05±0.23,18.21±1.65,36.37±3.65
E054,Plum (Prunus domes,tica),3,0.02±0.011,0.02±0.001,0.44±0.02,0.16±0.05,0.05±0.007,0.30±0.17,14.29±1.96,2.26±0.00
E055,"Pomegranate, maro",on seeds (Punica granatum),6,0.06±0.005,0.01±0.004,0.20±0.03,0.42±0.04,0.29±0.032,0.60±0.09,38.64±2.93,12.69±1.36
E056,Pummelo (Citrus ma,xima),3,0.06±0.045,0.02±0.011,0.23±0.08,0.05±0.03,0.04±0.011,1.81±0.30,13.44±1.47,48.89±1.52
