,,,,,,,,,,g,,
,,,,,,,,STARCH,FRUS,GLUS,SUCS MALS,
E,FRUITS,,,,,,,,,,,
E001,"Apple, big (M",al,us dome,stica),,6,9.53±0.23,,8.36±0.23,1.03±0.02,0.14±0.02,9.53±0.23
E002,"Apple, green",(,Malus do,mestica),,6,8.39±0.06,,7.19±0.04,1.08±0.03,0.12±0.02,8.39±0.06
E003,"Apple, small (",M,alus do,mestica),,6,9.80±0.09,,8.52±0.08,1.17±0.02,0.11±0.02,9.80±0.09
E004,"Apple, small,",K,ashmir (,Malus d,omestica),1,9.15,,7.18,1.60,0.37,9.15
E005,"Apricot, dried",(,Prunus a,rmeniac,a),6,70.10±2.52,44.38±2.30,16.52±0.74,6.98±0.05,2.21±0.02,25.72±0.71
E006,"Apricot, proc",e,ssed (Pru,nus arm,eniaca),3,9.34±0.02,4.99±0.02,1.33±0.02,0.43±0.02,2.60±0.04,4.36±0.04
E007,Avocado fruit,(,Persea a,merican,a),1,1.75,0.10,1.00,0.44,0.21,1.65
E008,Bael fruit (Ae,gl,e marme,los),,1,23.55,7.20,9.58,2.65,4.12,16.35
E009,"Banana, ripe,",,montham,(Musa,x paradisiaca),1,18.22,3.32,6.32,7.68,0.90,14.90
E010,"Banana, ripe,",p,oovam (,Musa x,paradisiaca),2,17.26,4.72,5.43,6.12,0.99,12.54
E011,"Banana, ripe,",r,ed (Musa,x para,disiaca),1,18.53,3.96,6.03,4.05,4.49,14.57
E012,"Banana, ripe,",r,obusta (,Musa x,paradisiaca),6,18.94±0.07,5.29±0.04,6.50±0.07,4.05±0.05,3.10±0.05,13.65±0.06
E013,Black berry (R,,ubus fruti,cosus),,5,7.61±0.27,,4.47±0.28,2.50±0.04,0.64±0.02,7.61±0.27
E014,"Cherries, red",(,Prunus c,erasus),,4,10.72±0.05,,5.91±0.05,4.61±0.02,0.20±0.03,10.72±0.05
E015,"Currants, bla",c,k (Ribes,nigrum),,1,8.89,2.56,2.98,2.85,0.50,6.33
E016,Custard apple,,(Annona,squamo,sa),1,13.69,0.34,9.10,4.25,,13.35
E017,"Dates, dry, pa",l,e brown,(Phoeni,x dactylifera),6,67.50±2.87,0.87±0.08,14.90±0.05,6.15±0.02,45.58±2.94,66.63±2.90
E018,"Dates, dry, da",r,k brown,(Phoeni,x dactylifera),2,69.83,0.99,15.04,6.26,47.54,68.84
E019,"Dates, proces",s,ed (Phoe,nix dac,tylifera),2,58.74,1.78,22.34,5.00,29.62,56.96
E020,Fig (Ficus cari,c,a),,,6,9.79±0.07,1.15±0.02,5.89±0.02,1.20±0.01,1.55±0.03,8.64±0.06
