,,,,,,,mg,,,µg,,mg
,,,,,THIA,RIBF,NIA,PANTAC,VITB6C,BIOT,FOLSUM,VITC
B014,"Lentil whole, bro",wn (,Lens culinaris),6,0.40±0.073,0.22±0.026,2.54±0.12,1.84±0.22,0.46±0.022,1.74±0.16,132±6.7,
B015,"Lentil whole, yello",wi,sh (Lens culinaris),2,0.42,0.22,2.56,1.68,0.47,1.63,121,
B016,Moth bean (Vigna,aco,nitifolia),6,0.45±0.070,0.09±0.005,1.87±0.08,1.41±0.06,0.16±0.009,2.12±0.21,349±10.8,
B017,"Peas, dry (Pisum",sati,vum),6,0.56±0.049,0.16±0.013,2.69±0.15,1.26±0.03,0.26±0.045,0.53±0.12,110±9.3,
B018,"Rajmah, black (Ph",as,eolus vulgaris),2,0.21,0.19,2.61,1.91,0.23,0.63,332,
B019,"Rajmah, brown (P",has,eolus vulgaris),6,0.26±0.035,0.21±0.005,2.37±0.12,2.06±0.05,0.21±0.016,0.77±0.13,330±29.6,
B020,"Rajmah, red (Pha",seol,us vulgaris),3,0.30±0.020,0.19±0.018,2.42±0.15,1.82±0.10,0.21±0.033,0.77±0.18,316±20.1,
B021,"Red gram, dal (Ca",jan,us cajan),6,0.45±0.046,0.11±0.006,2.09±0.14,1.27±0.08,0.24±0.026,0.31±0.04,108±8.7,
B022,"Red gram, whole",(Ca,janus cajan),6,0.74±0.028,0.15±0.015,2.42±0.18,1.56±0.13,0.42±0.033,0.65±0.04,229±19.0,
B023,Ricebean (Vigna u,mb,ellata),1,0.46,0.14,2.32,0.98,0.13,2.65,122,1.11
B024,"Soya bean, brown",(G,lycine max),6,0.59±0.069,0.24±0.002,2.12±0.14,1.97±0.25,0.43±0.012,0.73±0.09,297±26.1,
B025,"Soya bean, white",(Gl,ycine max),1,0.61,0.23,2.28,1.97,0.45,0.77,288,
C,GREEN LEA,FY,VEGETABLES,,,,,,,,,
C001,Agathi leaves (Se,sba,nia grandiflora),1,0.26,0.33,1.18,0.53,0.22,7.75,120,121
C002,"Amaranth leaves,",gre,en (Amaranthus gangeticus),6,0.01±0.000,0.19±0.028,0.71±0.06,0.41±0.09,0.21±0.010,2.46±0.25,70.33±8.10,83.54±10.54
C003,"Amaranth leaves,",red,(Amaranthus gangeticus),1,0.010,0.269,0.62,0.37,0.22,2.95,81.95,86.20
C004,"Amaranth leaves, (Amaranthus gang",red etic,and green mix us),4,0.01±0.000,0.22±0.030,0.69±0.04,0.37±0.03,0.19±0.015,2.41±0.24,69.08±6.27,77.24±7.57
C005,Amaranth spinos spinosus),"us,","leaves, green (Amaranthus",4,0.01±0.000,0.13±0.011,0.63±0.02,0.33±0.02,0.22±0.051,3.07±0.09,41.44±3.48,82.56±8.24
C006,Amaranth spinos (Amaranthus spino,"us, sus","leaves, red and green mix )",2,0.01,0.15,0.72,0.31,0.20,2.91,44.23,77.30
