Tabl,,,,,,,,,
e,,,Undecanoic s,Lauric,Myristic Pentadecanoic,Palmitic,Stearic,Arachidic Behenic,Lignoceric
7.,e,,no,,,,,,
F,d,,(C11:0) i,(C12:0),(C14:0) (C15:0),(C16:0),(C18:0),(C20:0) (C22:0),(C24:0)
atty,oC,Food Name,geR,,,,,,
Acid,doo,,fo .,,,mg,,,
Pr,F,,oN,,,,,,
ofil,,,F4D0,F12D0,F14D0 F15D0,F16D0,F18D0,F20D0 F22D0,F24D0
e,,,,,,,,,
,,,,,,,,,
,O025,"Beef, shoulder",6,32.91±2.41,392±160,3772±410,2768±554,41.78±11.66,39.47±17.43
,,,,,,,,,
,O026,"Beef, chops",4,14.18±1.20,168±65.4,1625±193,1188±218,18.13±5.57,17.01±7.72
,,,,,,,,,
,O027,"Beef, round (leg)",6,13.58±1.50,135±16.2,1732±197,1023±136,42.45±4.10,52.78±6.67
,,,,,,,,,
,O028,"Beef, brain",4,,67.09±33.46,1131±90.0,1188±149,19.51±3.09,84.15±13.23
,,,,,,,,,
,O029,"Beef, tongue",4,24.35±2.26,364±42.7,3197±262,2663±402,25.09±2.92,13.19±4.30
,,,,,,,,,
,O030,"Beef, lungs",3,3.95±0.23,71.64±69.29,625±123,468±78.5,14.22±9.86,13.92±8.94
,,,,,,,,,
,O031,"Beef, heart",5,5.69±1.23,44.89±16.77,614±121,787±119,9.39±2.42,19.06±11.57
,,,,,,,,,
,O032,"Beef, liver",6,5.86±0.74,34.29±13.79,664±179,806±119,6.72±1.34,26.54±17.71
,,,,,,,,,
232,O033,"Beef, tripe",5,4.83±1.70,80.33±26.92,653±179,619±277,9.13±5.37,4.84±1.46
,,,,,,,,,
,O034,"Beef, spleen",6,4.08±0.89,26.85±7.72,505±70.9,592±69.2,10.29±1.57,22.43±8.41
,,,,,,,,,
,O035,"Beef, kidneys",3,5.50±0.00,56.58±0.00,777±0.0,892±0.0,6.79±0.00,5.40±0.00
,,,,,,,,,
,O036,"Calf, shoulder",2,13.57,133,1649,1646,22.73,45.09
,,,,,,,,,
,O037,"Calf, chops",2,3.39,60.78,830,1036,15.26,20.25
,,,,,,,,,
,O038,"Calf, round (leg)",2,7.65,85.35,1189,893,41.78,45.74
,,,,,,,,,
,O039,"Calf, brain",2,,53.44,1048,1064,17.15,18.83
,,,,,,,,,
,O040,"Calf, tongue",2,18.97,320,2813,2415,22.44,40.10
,,,,,,,,,
,O041,"Calf, heart",1,5.23,46.27,602,814,9.22,12.28
,,,,,,,,,
,O042,"Calf, liver",1,5.46,28.39,666,898,9.71,8.59
,,,,,,,,,
,O043,"Calf, spleen",1,3.43,27.07,486,498,5.85,9.81
,,,,,,,,,
,O044,"Calf, kidneys",2,4.25,52.12,660,734,7.18,6.04
,,,,,,,,,
,O045,"Mithun, shoulder",1,,96.92,1427,2772,60.51,79.49
