,,,,,,,mg,,,,
,,,,,,,,,,,
,,,,F20D3N6,F20D4N6,F20D5N3,F22D6N3,FASAT,FAMS,FAPU,CHOLC
M,EGG AND EG,G PRODUCTS,,,,,,,,,
M001,"Egg, poultry, whol","e, raw",6,25.95±2.47,0.00±0.00,,75.70±3.60,2958±51.8,3481±48.8,1152±39.8,366±2.6
M002,"Egg, poultry, whit","e, raw",6,,,,,,,,
M003,"Egg, poultry, yolk,",raw,6,73.72±5.76,,,180±30.1,8580±203,10068±43.8,3238±139,1076±2.9
M004,"Egg, poultry, whol","e, boiled",6,29.73±2.17,,,65.26±20.53,3464±131,3991±103,1294±91.7,365±1.8
M005,"Egg, poultry, whit","e, boiled",6,,,,,,,,
M006,"Egg, poultry, yolk,",boiled,6,74.14±5.99,,,187±25.6,8819±128,10643±174,3333±149,1085±2.4
M007,"Egg, poultry, omle",t,3,28.27±1.68,380±63.9,,46.76±1.69,3179±28.4,4615±27.1,3168±53.0,316±1.4
M008,"Egg, country hen,","whole, raw",1,13.01,,,92.46,3792,5061,1936,355
M009,"Egg, country hen,","whole, boiled",1,15.29,301,,120,4074,5747,1882,369
M010,"Egg, country hen,",omlet,1,20.54,329,,124,4886,6424,2317,318
M011,"Egg, duck, whole,",boiled,1,,153,35.29,15.04,3598,6098,1745,856
M012,"Egg, duck, whole,",raw,1,,133,35.97,16.20,3373,6063,1684,839
M013,"Egg, duck, whole,",omlet,1,,185,41.93,18.57,3871,6483,1886,815
M014,"Egg, quial, whole,",raw,1,,192,30.20,22.06,2788,4210,2399,833
M015,"Egg, quial, whole,",boiled,1,,173,22.05,30.79,2726,4391,2403,855
N,POULTRY,,,,,,,,,,
N001,"Chicken, poultry, l","eg, skinless",4,8.33±1.08,,,,1157±61.0,1560±115,661±37.7,84.25±1.38
N002,"Chicken, poultry, t","high, skinless",6,7.36±1.97,,,,1071±29.1,1461±48.5,520±24.4,91.93±1.10
