,,,,,,Alpha,Beta,Gamma,Delta,Alpha,,,
,,,,,µg,,,,,mg,,,µg
,,,,,ERGCAL,TOCPHA,TOCPHB,TOCPHG,TOCPHD,TOCTRA,TOCTRB TOCTRG TOCTRD,VITE,VITK1
,,,,,,,,,,,,,
H,NUTS AND,OIL SEE,DS,,,,,,,,,,
H001,Almond (Prunus,amygdalus),,6,1.61±0.16,24.88±3.55,1.87±0.06,1.68±0.19,0.08±0.01,0.21±0.02,,25.86±3.54,8.40±0.93
H002,"Arecanut, dried,",brown (Arec,a catechu),6,12.77±1.10,0.06±0.00,0.22±0.10,0.03±0.01,,,,0.15±0.03,3.78±0.57
H003,"Arecanut, dried,",red color (A,reca catechu),3,12.60±1.17,0.04±0.01,0.27±0.01,0.04±0.00,,,,0.17±0.01,3.90±0.55
H004,"Arecanut, fresh (",Areca catec,hu),2,11.03,0.01,0.13,0.02,,,,0.06,3.71
H005,Cashew nut (Ana,cardium occ,identale),6,3.85±0.23,1.05±0.05,0.05±0.01,5.26±0.05,,,,1.05±0.06,1.83±0.21
H006,"Coconut, kernal,",dry (Cocos,nucifera),6,,6.02±0.54,,0.44±0.01,,,,6.06±0.54,2.88±0.57
H007,"Coconut, kernel,",fresh (Coco,s nucifera),6,,2.39±1.11,0.05±0.02,3.19±0.45,,,,2.72±1.09,23.22±1.76
H008,"Garden cress, s",eeds (Lepidi,um sativum),5,1.92±0.11,1.07±0.01,,,,,,0.07±0.01,24.66±3.01
H009,"Gingelly seeds,",black (Sesa,mum indicum),6,67.83±4.18,1.08±0.01,,,,0.03±0.01,,0.09±0.01,110±6.1
H010,"Gingelly seeds,",brown (Sesa,mum indicum),4,76.51±2.78,1.22±0.08,,,,0.04±0.01,,0.23±0.08,113±7.6
H011,"Gingelly seeds,",white (Sesa,mum indicum),5,62.74±3.34,1.24±0.17,,,,0.07±0.02,,1.26±0.17,106±2.4
H012,Ground nut (Ara,chis hypogea,),6,7.10±0.72,4.26±0.10,,,,0.04±0.01,,0.28±0.10,2.50±0.75
H013,Mustard seeds (,Brassica jun,cea),6,31.79±1.56,1.44±0.08,,,,0.04±0.01,,0.45±0.08,8.20±1.27
H014,Linseeds (Linum,usitatissimu,m),6,0.55±0.13,7.79±0.81,,1.51±0.13,,1.12±0.01,,8.28±0.81,19.17±0.70
H015,"Niger seeds, bla",ck (Guizotia,abyssinica),4,2.52±0.41,2.59±0.09,,7.79±1.04,1.05±0.03,,1.08±0.02,1.44±0.17,110±13.5
H016,"Niger seeds, gra",y (Guizotia a,byssinica),5,2.70±0.18,2.18±0.10,,4.18±0.33,1.25±0.21,,1.12±0.02,2.66±0.11,105±14.3
H017,Pine seed (Pinus,gerardiana),,5,0.61±0.08,4.01±0.00,,,,,,0.01±0.00,44.55±2.44
H018,Pistachio nuts (,Pistacla vera,),6,1.80±0.34,31.41±5.46,4.10±0.67,8.48±1.38,1.55±0.23,0.02±0.01,,33.92±5.53,18.65±0.70
H019,Safflower seeds,(Carthamus,tinctorius),5,1.91±0.17,31.74±6.84,5.88±0.69,9.62±3.19,1.98±0.15,0.06±0.01,,35.09±7.13,8.80±1.13
H020,Sunflower seeds,(Helianthus,annuus),5,1.54±0.18,21.39±0.37,3.42±0.67,3.41±0.32,,,,12.93±1.24,9.20±0.89
