,,,,,,,mg,,,µg,,mg
,,,,,THIA,RIBF,NIA,PANTAC,VITB6C,BIOT,FOLSUM,VITC
F007,"Potato, brown skin, small",(,Solanum tuberosum),1,0.05,0.01,1.36,0.49,0.12,1.82,13.85,26.41
F008,"Potato, red skin (Solanum",tu,berosum),1,0.06,0.01,1.13,0.39,0.10,1.68,17.83,25.04
F009,"Radish, elongate, red skin",(,Raphanus sativus),3,0.03±0.007,0.02±0.004,0.31±0.02,0.13±0.01,0.07±0.002,2.65±0.07,24.65±5.84,17.63±3.89
F010,"Radish, elongate, white sk",i,n (Raphanus sativus),6,0.02±0.004,0.02±0.003,0.30±0.03,0.15±0.03,0.07±0.008,2.48±0.21,29.75±8.30,19.91±5.69
F011,"Radish, round, red skin (R",a,phanus sativus),1,0.03,0.02,0.30,0.18,0.07,2.92,24.59,15.69
F012,"Radish, round, white skin",(,Raphanus sativus),2,0.03,0.02,0.24,0.15,0.07,2.59,22.60,14.00
F013,"Sweet potato, brown skin",(I,pomoes batatas),4,0.07±0.085,0.04±0.012,0.67±0.09,0.89±0.10,0.12±0.006,5.19±0.78,15.62±2.13,17.94±1.40
F014,"Sweet potato, pink skin (Ip",o,moes batatas),3,0.06±0.012,0.04±0.001,0.69±0.12,0.56±0.34,0.09±0.007,5.71±0.28,14.44±2.06,22.20±2.32
F015,Tapioca (Manihot esculenta,),,3,0.07±0.003,0.02±0.001,0.45±0.01,0.17±0.05,0.09±0.006,1.93±0.09,25.64±0.47,15.51±3.19
F016,Water Chestnut (Eleochari,s,dulcis),1,0.02,0.02,0.74,0.52,0.13,1.08,9.80,5.26
F017,"Yam, elephant (Amorphoph",a,llus campanulatus),6,0.04±0.004,0.05±0.017,0.61±0.10,0.23±0.03,0.22±0.044,4.51±0.37,20.54±2.42,15.22±1.84
F018,"Yam, ordinary (Amorphoph",a,llus campanulatus),4,0.04±0.003,0.02±0.006,0.56±0.06,0.32±0.04,0.17±0.06,4.19±0.41,15.68±1.61,13.88±3.43
F019,"Yam, wild (Dioscorea versi",c,olor),2,0.121,0.015,0.70,0.23,0.20,4.09,21.01,14.06
G,CONDIMENTS AND,,SPICES-FRESH,,,,,,,,,
G001,"Chillies, green-1 (Capsicu",m,annum),5,0.11±0.029,0.09±0.024,0.80±0.09,0.19±0.03,0.45±0.043,0.50±0.13,25.31±2.47,79.50±5.94
G002,"Chillies, green-2 (Capsicu",m,annum),3,0.08±0.009,0.09±0.042,0.93±0.16,0.20±0.03,0.29±0.048,0.64±0.12,25.93±5.56,90.97±9.19
G003,"Chillies, green-3 (Capsicu",m,annum),5,0.09±0.035,0.11±0.034,0.87±0.17,0.24±0.13,0.24±0.030,0.64±0.05,20.45±1.69,93.63±9.46
G004,"Chillies, green-4 (Capsicu",m,annum),3,0.09±0.057,0.12±0.025,0.90±0.07,0.23±0.05,0.18±0.029,0.62±0.08,15.92±1.13,102±6.1
