,,,,,Alpha,Beta,Gamma Delta,,,
,,,,µg,,,,mg,,µg
,,,,ERGCAL,TOCPHA,TOCPHB,TOCPHG TOCPHD,TOCTRA TOCTRB TOCTRG TOCTRD,VITE,VITK1
E041,"Mango, ripe, paheri",(Mangifera indica),2,3.62,0.35,,0.20,,0.37,4.80
E042,"Mango, ripe, totapar",i (Mangifera indica),1,3.77,0.27,,0.26,,0.30,4.60
E043,Mangosteen (Garcin,ia mangostana),1,,0.05,,,,0.05,5.50
E044,Manila tamarind (Pit,hecellobium dulce),1,,0.38,,,,0.38,33.18
E045,"Musk melon, orange",flesh (Cucumis melon),5,4.41±0.57,0.01±0.00,,,,0.01±0.00,5.70±0.27
E046,"Musk melon, yellow",flesh (Cucumis melon),6,2.33±0.23,0.02±0.01,,,,0.02±0.01,1.74±0.44
E047,"Orange, pulp (Citrus",aurantium),6,0.34±0.08,0.03±0.01,,,0.02±0.01,0.04±0.01,2.50±0.75
E048,"Palm fruit, tender (B",orassus flabellifer),1,,0.01,,,0.03,0.02,3.60
E049,"Papaya, ripe (Carcia",papaya),6,11.47±1.00,0.03±0.01,,,0.02±0.00,0.04±0.01,2.59±0.35
E050,Peach (Prunus comm,unis),1,2.41,0.02,,,,0.02,4.40
E051,Pear (Pyrus sp.),,6,1.48±0.19,0.29±0.10,,,0.04±0.02,0.30±0.10,12.57±1.55
E052,Phalsa (Grewia asiat,ica),2,1.34,0.87,,0.58,,0.93,5.36
E053,Pineapple (Ananas,comosus),6,0.21±0.01,0.36±0.09,,,0.31±0.01,0.45±0.09,2.40±0.29
E054,Plum (Prunus domes,tica),3,3.32±0.42,0.50±0.04,,,,0.50±0.04,8.50±0.74
E055,"Pomegranate, maro granatum)",on seeds (Punica,6,109±2.1,0.01±0.01,,,0.05±0.00,0.03±0.01,18.50±2.35
E056,Pummelo (Citrus ma,xima),3,0.98±0.11,0.46±0.10,0.03±0.02,,,0.50±0.09,4.88±0.82
E057,"Raisins, dried, black",(Vitis vinifera),6,1.76±0.17,0.01±0.01,,,0.02±0.01,0.02±0.01,1.63±0.32
E058,"Raisins, dried, gold",en (Vitis vinifera),6,11.87±1.10,0.01±0.00,,,0.03±0.00,0.02±0.00,1.71±0.20
E059,Rambutan (Nepheliu,m lappaceum),1,2.40,0.08,,,,0.08,19.70
E060,Sapota (Achras sapo,ta),6,0.65±0.03,0.25±0.02,,,,0.25±0.02,4.30±0.26
E061,Soursop (Annona m,uricata),1,3.24,0.06,,,,0.06,2.60
E062,Star fruit (Averrhoa c,arambola),1,0.96,0.40,,,,0.40,2.00
