,,,,,,,Alpha Beta Gamma Delta Alpha Beta Gamma,Delta,,
,,,,,µg,,mg,,,µg
,,,,RETOL,CHOCAL,,TOCPHA TOCPHB TOCPHG TOCPHD TOCTRA TOCTRB TOCTRG,TOCTRD,VITE,VITK2
O044,"Calf, kid",neys,2,95.73,,,0.10,,0.10,3.10
O045,"Mithun,",shoulder,1,12.68,0.06,,0.30,,0.30,3.80
O046,"Mithun,",chops,1,2.62,0.08,,0.20,,0.20,4.20
O047,"Mithun,",round (leg),1,2.47,0.04,,0.30,,0.30,8.50
O048,"Pork, sh",oulder,6,5.12±0.89,9.03,0.35±0.00,0.30±0.18,,0.30±0.18,1.80±0.34
O049,"Pork, ch",ops,6,1.51±0.26,4.83±0.60,2.27±1.00,0.11±0.02,,0.11±0.02,2.20±0.73
O050,"Pork, ha",m,6,2.98±0.30,5.85,,0.20±0.04,,0.20±0.04,5.30±1.39
O051,"Pork, lu",ngs,4,5.14±0.40,1.91,0.14±0.00,0.11±0.03,,0.11±0.03,3.80±0.68
O052,"Pork, he",art,4,7.16±0.88,,,0.10±0.02,,0.10±0.02,3.50±0.93
O053,"Pork, liv",er,5,8759±798,2.97,0.23±0.00,0.85±0.08,,0.85±0.08,4.50±0.92
O054,"Pork, st",omach,1,3.34,0.42,0.13,0.30,,0.30,3.50
O055,"Pork, sp",leen,3,8.44±0.81,,,0.17±0.06,,0.17±0.06,2.50±0.83
O056,"Pork, ki",dneys,5,72.53±6.91,2.92,0.24±0.00,0.19±0.06,,0.19±0.06,1.50±0.19
O057,"Pork, tu",be (small intestine),1,1.13,1.01,,0.20,,0.20,3.50
O058,"Hare, sh",oulder,1,8.88,0.06,,1.46,0.58,1.46,25.59
O059,"Hare, ch",ops,1,2.84,0.09,,1.73,0.69,1.73,23.65
O060,"Hare, le",g,1,1.26,0.08,,1.44,0.58,1.44,22.18
O061,"Rabbit,",shoulder,1,5.90,0.57,,1.22,0.49,1.22,24.68
O062,"Rabbit,",chops,1,3.88,0.70,,0.83,0.33,0.83,25.88
