,,,,,,,,,Total,Insoluble,,,
,,,,,,,,g,,,,,KJ
,,,,,WATER,PROTCNT,ASH,FATCE,FIBTG,FIBINS,FIBSOL,CHOAVLDF,ENERC
G030,Pippali (P,iper longum),,6,10.95±0.48,10.53±0.45,6.41±0.07,2.27±0.02,34.14±0.60,29.57±0.55,4.57±0.39,35.70±0.45,906±8
G031,"Pepper, b",lack (Piper ni,grum),6,13.18±0.40,10.12±0.40,4.58±0.13,2.74±0.02,33.16±0.29,30.61±0.29,2.54±0.11,36.22±0.45,910±8
G032,Poppy se,eds (Papaver,somniferum),6,4.22±0.32,20.31±0.40,6.04±0.19,30.38±1.87,26.68±3.04,15.62±2.29,11.06±1.75,12.37±1.95,1768±77
G033,Turmeric,powder (Curc,uma domestica),6,10.58±0.49,7.66±0.44,6.13±0.38,5.03±0.07,21.38±0.29,18.79±0.42,2.59±0.29,49.22±0.55,1174±7
H,NUTS,AND OIL S,EEDS,,,,,,,,,,
H001,Almond (,Prunus amygd,alus),6,4.37±0.31,18.41±0.04,2.62±0.13,58.49±0.04,13.06±0.31,10.55±0.22,2.52±0.34,3.04±0.24,2549±4
H002,"Arecanut,","dried, brown",(Areca catechu),6,6.63±0.15,5.78±0.45,1.39±0.09,4.35±0.03,11.44±0.64,10.14±0.44,1.30±0.32,70.42±0.81,1467±12
H003,"Arecanut,","dried, red co",lor (Areca catechu),3,6.30±0.32,6.46±0.51,1.41±0.04,4.46±0.03,11.11±0.34,10.09±0.25,1.03±0.27,70.27±0.96,1477±9
H004,"Arecanut,",fresh (Areca,catechu),2,37.70,2.73,1.43,5.51,7.63,6.59,1.03,45.00,1024
H005,Cashew n,ut (Anacardiu,m occidentale),6,4.44±0.22,18.78±0.58,2.25±0.08,45.20±0.07,3.86±0.47,2.23±0.35,1.63±0.24,25.46±0.70,2438±11
H006,"Coconut,","kernal, dry (C",ocos nucifera),6,3.97±0.73,7.27±0.02,1.61±0.17,63.26±0.30,15.88±0.79,14.55±0.23,1.33±0.99,8.01±1.02,2611±9
H007,"Coconut,","kernel, fresh",(Cocos nucifera),6,36.14±0.36,3.84±0.04,1.93±0.15,41.38±0.42,10.42±0.28,9.43±0.24,0.99±0.07,6.30±0.43,1711±13
H008,Garden cr,"ess, seeds (L",epidium sativum),5,4.60±0.21,23.36±0.32,6.37±0.11,23.74±0.09,8.27±0.04,6.33±0.06,1.95±0.10,33.66±0.50,1863±3
H009,Gingelly s,"eeds, black (",Sesamum indicum),6,4.51±0.44,19.17±0.64,5.78±0.22,43.10±0.03,17.16±0.19,13.57±0.13,3.59±0.13,10.29±0.74,2124±8
H010,Gingelly s,"eeds, brown",(Sesamum indicum),4,3.62±0.32,21.61±0.71,4.58±0.13,43.22±0.08,17.21±0.18,13.58±0.18,3.63±0.11,9.76±1.01,2161±8
H011,Gingelly s,"eeds, white (",Sesamum indicum),5,3.30±0.28,21.70±0.44,4.13±0.16,43.05±0.04,16.99±0.30,13.49±0.19,3.51±0.15,10.83±0.50,2174±9
H012,Ground n,ut (Arachis hy,pogea),6,6.97±0.69,23.65±0.85,2.11±0.07,39.63±0.29,10.38±0.18,8.58±0.15,1.79±0.22,17.27±0.33,2176±9
H013,Mustard s,eeds (Brassic,a juncea),6,5.67±0.48,19.51±0.23,3.73±0.05,40.19±0.21,14.10±0.66,10.63±0.57,3.47±0.20,16.80±0.71,2132±16
H014,Linseeds,(Linum usitati,ssimum),6,5.48±0.28,18.55±0.15,3.15±0.10,35.67±0.70,26.17±0.39,21.83±0.60,4.33±0.84,10.99±0.86,1857±16
