edoc dooF,,Food Name,snoigeR A fo .oN,Total T vailable CHO,otal Starch,Fructose,Glucose,Sucrose Maltose,Total Free Sugars
,,,,,,,g,,
,,,,,STARCH,FRUS,GLUS,SUCS MALS,
E063,Strawberry (Fragaria,ananassa),6,3.66±0.11,0.10±0.01,1.90±0.05,1.60±0.14,0.07±0.03,3.56±0.11
E064,"Tamarind, pulp (Tama",rindus indicus),6,52.88±2.38,,12.31±1.27,14.53±0.83,26.04±1.08,52.88±2.38
E065,"Water melon, dark gr",een (sugar baby) (Citrullus vulgaris),6,3.66±0.27,,1.91±0.15,0.31±0.03,1.44±0.02,3.66±0.27
E066,"Water melon, pale gr",een (Citrullus vulgaris),6,3.00±0.25,,2.57±0.39,0.21±0.02,0.22±0.01,3.00±0.25
E067,Wood Apple (Limonia,acidissima),3,6.60±0.04,2.79±0.02,1.38±0.02,1.41±0.02,1.02±0.02,3.81±0.02
E068,Zizyphus(Zizyphus ju,jube),1,8.29,,4.30,2.98,1.01,8.29
F,ROOTS AND TU,BERS,,,,,,,
F001,Beet root (Beta vulgar,is),6,6.04±0.94,1.69±0.43,1.67±0.02,1.46±0.02,1.21±0.03,4.35±0.02
F002,"Carrot, orange (Dacu",s carota),6,4.48±0.65,1.24±0.27,0.11±0.02,1.15±0.03,1.98±0.02,3.23±0.03
F003,"Carrot, red (Dacus ca",rota),4,5.35±0.03,1.39±0.05,1.08±0.02,1.13±0.02,1.75±0.02,3.96±0.03
F004,Colocasia (Colocasia,antiquorum),6,14.78±0.71,13.88±0.74,0.54±0.03,0.25±0.03,0.12±0.02,0.90±0.05
F005,Lotus root (Nelumbiu,m nelumbo),3,13.46±0.78,13.22±0.82,0.07±0.02,0.11±0.02,0.07±0.02,0.24±0.04
F006,"Potato, brown skin, b",ig (Solanum tuberosum),6,11.79±0.76,11.47±0.71,0.24±0.02,0.05±0.02,0.04±0.02,0.32±0.02
F007,"Potato, brown skin, s",mall (Solanum tuberosum),1,10.73,10.29,0.26,0.08,0.10,0.44
F008,"Potato, red skin (Sola",num tuberosum),1,13.46,13.08,0.22,0.10,0.05,0.38
F009,"Radish, elongate, red",skin (Raphanus sativus),3,1.56±0.04,0.41±0.02,0.48±0.06,0.27±0.04,0.40±0.04,1.15±0.03
F010,"Radish, elongate, wh",ite skin (Raphanus sativus),6,1.54±0.11,0.59±0.09,0.31±0.05,0.03±0.01,0.62±0.03,0.95±0.04
F011,"Radish, round, red sk",in (Raphanus sativus),1,1.50,0.64,0.38,0.18,0.30,0.86
F012,"Radish, round, white",skin (Raphanus sativus),2,1.46,0.30,0.36,0.30,0.50,1.16
F013,"Sweet potato, brown",skin (Ipomoes batatas),4,22.45±1.75,18.82±1.74,0.46±0.04,0.71±0.04,2.47±0.05,3.63±0.05
