,,,,mgg,,mg,mg,mg,mg,mg,mg,mg,mg
,,,,AL,AS,CD,CA,CR,CO,CU,FE,PB,LI
P021,Kadali (Nemip,terus mesoprion),1,,,,8.62,0.018,,0.02,0.38,,
P022,Kalamaara (L indicum),eptomelanosoma,2,,,,7.54,0.006,0.001,0.03,0.50,0.009,0.001
P023,Kalava (Epine,phelus coioides),1,,,0.001,10.66,0.009,,0.72,0.26,0.004,
P024,Kanamayya (,Lutjanus rivulatus),2,,,,7.72,0.003,,0.02,0.36,,0.001
P025,Kannadi pa a r,a i (Alectis indicus),3,,,0.002±0.001,9.04±2.54,0.010±0.004,0.001±0.001,0.03±0.01,0.31±0.06,,0.002±0.001
P026,Karim e e n (Et,roplus suratensis),1,,,,11.73,0.006,0.001,,0.60,,
P027,Karnagaw a l a,(Anchoa hepsetus),1,,,,60.03,0.013,,0.01,0.44,,0.007
P028,Kayrai (Thunn,us albacores),2,,,,6.00,0.006,,0.08,0.98,,
P029,Kiriyan (Atule,mate),1,,,0.004,19.42,,,0.09,1.00,,0.002
P030,Kite fish (Mob,ula kuhlii),1,,,0.001,11.02,0.005,,0.04,1.38,,0.002
P031,Korka (Terapo,n jarbua),1,,,0.003,11.12,0.004,,1.22,0.73,0.004,0.001
P032,Kulam paarai fulvoguttatus),(Carangoides,1,,,,15.17,0.027,0.001,0.05,0.50,,
P033,Maagaa (Poly,nemus plebeius),1,,,,8.42,0.002,,0.02,0.23,,0.001
P034,Mack e r e l (Ra,strelliger kanagurta),3,,,0.002±0.001,31.27±15.90,0.011±0.007,0.001±0.001,0.12±0.03,1.46±0.63,0.003±0.000,0.003±0.003
P035,Manda cl a t h i,(Naso reticulatus),1,,,,11.48,0.027,,0.01,0.43,,0.001
P036,Matha (Acanth,urus mata),2,,,,14.02,0.017,0.001,0.02,0.32,,0.003
P037,Milk fish (Cha,nos chanos),1,,,0.003,29.18,0.006,,0.45,1.35,0.002,0.001
P038,Moon fish (M,ene maculata),1,,,0.001,29.18,0.004,0.001,0.16,1.67,,0.004
P039,Mullet (Mugil,cephalus),3,,,0.001±0.001,35.20±5.83,0.014±0.002,0.001±0.000,0.06±0.05,1.31±0.98,,0.002±0.001
P040,Mural (Tylosur crocodilus cro,us codilus),1,,,,8.61,0.005,,0.02,0.24,,
