,,,,,,,mg,,,,
,,,,,,,,,,,
,,,,F14D0,F15D0,F16D0,F18D0,F20D0,F22D0,F24D0,F16D1C
P021,Kadali (Nemip,terus mesoprion),1,152,23.58,936,469,17.05,12.93,,154
P022,Kalamaara (Le,ptomelanosoma indicum),2,403,35.00,1242,394,21.37,11.41,,417
P023,Kalava (Epine,phelus coioides),1,37.86,8.41,267,133,4.99,3.44,,57.29
P024,Kanamayya (L,utjanus rivulatus),2,23.79,4.18,125,52.05,3.14,1.19,,22.96
P025,Kannadi paara,i (Alectis indicus),3,20.27±15.04,24.65±16.09,291±147,137±44.6,3.57±0.95,2.50±2.32,,46.51±23.91
P026,Karimeen (Etr,oplus suratensis),1,42.45,13.14,355,158,4.47,3.22,,69.74
P027,Karnagawala,(Anchoa hepsetus),1,11.52,4.51,170,68.25,,,,20.12
P028,Kayrai (Thunn,us albacores),2,102,21.89,664,290,8.01,9.38,,139
P029,Kiriyan (Atule,mate),1,226,31.67,1275,523,29.07,17.16,,276
P030,Kite fish (Mob,ula kuhlii),1,3.27,8.29,96.98,60.88,,,,6.93
P031,Korka (Terapo,n jarbua),1,157,28.23,881,312,18.35,10.26,,203
P032,Kulam paarai,(Carangoides fulvoguttatus),1,130,25.86,878,366,9.05,11.03,10.74,184
P033,Maagaa (Polyn,emus plebeius),1,14.28,3.96,124,54.85,1.82,1.43,,26.84
P034,Mackerel (Ras,trelliger kanagurta),3,48.67±45.57,10.05±7.88,351±278,180±142,7.34±7.62,4.24±3.76,3.17±5.49,78.69±74.54
P035,Manda clathi (,Naso reticulatus),1,28.79,6.56,207,87.83,3.87,2.62,,55.63
P036,Matha (Acanth,urus mata),2,25.00,6.94,191,66.74,4.59,1.89,,22.06
P037,Milk fish (Cha,nos chanos),1,15.37,4.42,231,106,4.21,4.14,,18.02
P038,Moon fish (Me,ne maculata),1,293,67.40,1751,721,40.94,32.96,23.61,336
P039,Mullet (Mugil c,ephalus),3,54.67±21.48,18.50±12.89,305±71.4,114±39.6,1.99±3.44,1.53±2.65,,84.01±26.32
P040,Mural (Tylosur,us crocodilus crocodilus),1,26.63,8.10,242,72.52,,,,35.46
