,,,,,,,,g,,,
,,,,,,STARCH,FRUS,GLUS,SUCS,MALS,
D038,Cho-cho-marrow (Sech,ium edule),,4,1.93±0.03,1.17±0.02,0.40±0.01,0.25±0.02,0.12±0.01,,0.76±0.02
D039,Cluster beans (Cyamop,sis tetragon,obola),6,4.54±0.04,4.42±0.03,,0.10±0.01,0.02±0.01,,0.12±0.02
D040,"Colocasia, stem, black",(Colocasia,antiquorum),1,1.08,0.55,0.37,0.16,,,0.53
D041,"Colocasia, stem, green",(Colocasia,antiquorum),5,1.14±0.20,0.89±0.19,0.09±0.02,0.16±0.08,,,0.25±0.09
D042,"Corn, Baby(Zea mays)",,,6,4.61±0.05,4.12±0.03,0.20±0.02,0.15±0.02,0.14±0.03,,0.49±0.02
D043,"Cucumber, green, elon",gate(Cucu,mis sativus),6,0.76±0.13,0.50±0.10,0.25±0.03,0.02±0.01,,,0.27±0.04
D044,"Cucumber, green, sho",rt (Cucumis,sativus),6,0.79±0.11,0.58±0.12,0.19±0.04,0.02±0.01,,,0.21±0.04
D045,"Cucumber, orange, ro",und (Cucum,is sativus),2,0.75,0.53,0.18,0.05,,,0.22
D046,Drumstick (Moringa ole,ifera),,6,2.77±0.22,1.31±0.46,1.02±0.36,0.20±0.10,0.24±0.07,,1.47±0.50
D047,"Field beans, tender, br",oad (Vicia f,aba),2,2.63,1.68,0.68,0.21,0.06,,0.95
D048,"Field beans, tender, le",an (Vicia fab,a),6,2.27±0.21,1.51±0.01,0.59±0.18,0.15±0.04,0.02±0.02,,0.76±0.21
D049,"French beans, country",(Phaseolus,vulgaris),5,1.82±0.11,0.75±0.05,0.60±0.14,0.12±0.02,0.12±0.05,0.22±0.18,1.06±0.13
D050,"French beans, hybrid",(Phaseolus,vulgaris),2,1.77,0.77,0.65,0.14,0.10,0.12,1.00
D051,"Jack fruit, raw (Artocar",pus heterop,hyllus),5,2.04±0.06,0.02±0.01,1.21±0.02,0.26±0.03,0.55±0.03,,2.02±0.05
D052,"Jack fruit, seed, matur",e (Artocarpu,s heterophyllus),5,8.77±0.05,6.54±0.03,1.45±0.03,0.67±0.02,0.11±0.01,,2.23±0.03
D053,Knol - Khol (Brassica o,leracea),,6,0.94±0.05,0.51±0.01,0.05±0.02,0.11±0.01,0.27±0.04,,0.43±0.04
D054,"Kovai, big (Coccinia co",rdifolia),,6,1.21±0.29,0.22±0.04,0.74±0.16,0.06±0.03,,0.19±0.13,0.98±0.29
D055,"Kovai, small (Coccinia",cordifolia),,1,1.19,0.12,0.83,0.10,,0.14,1.07
D056,Ladies finger (Abelmos,chus escule,ntus),6,1.37±0.07,0.89±0.04,0.40±0.05,0.07±0.01,0.05±0.01,,0.48±0.08
D057,"Mango, green, raw (Ma",ngifera indi,ca),6,8.32±0.46,5.80±0.54,1.84±0.23,0.52±0.30,,,2.42±0.31
D058,"Onion, stalk (Allium ce",pa),,6,1.51±0.04,1.10±0.02,,0.05±0.04,0.06±0.02,0.31±0.05,0.41±0.05
