,,,,,,,µg,,,
,,,,,,,,,,
,,,,LUTN,ZEA,LYCPN,CRYPXB CARTG,CARTA,CARTB,CARTOID
E042,"Mango, ripe, totapar",i (Mangifera indica),1,13.27,2.86,,4.56,,602,1632
E043,Mangosteen (Garcini,a mangostana),1,16.81,5.40,,,,1.80,181
E044,Manila tamarind (Pit,hecellobium dulce),1,36.50,10.50,,,,2.20,154
E045,"Musk melon, orange",flesh (Cucumis melon),5,20.17±3.03,2.52±0.84,,,,771±96.4,925±43.6
E046,"Musk melon, yellow",flesh (Cucumis melon),6,22.48±9.44,2.69±1.16,,,,6.87±0.36,92.15±6.04
E047,"Orange, pulp (Citrus",aurantium),6,13.8±1.83,31.88±6.66,,44.02±13.91,5.76±1.79,31.94±2.12,675±11.0
E048,"Palm fruit, tender (B",orassus flabellifer),1,5.80,1.50,,,,,50.00
E049,"Papaya, ripe (Carcia",papaya),6,5.43±0.87,280±43.9,833±82.9,648±85.2,,694±84.5,2472±81.1
E050,Peach (Prunus comm,unis),1,5.80,1.50,,,,,50.00
E051,Pear (Pyrus sp.),,6,14.7±1.34,2.77±1.18,,1.44±0.28,,13.16±1.78,92.30±8.23
E052,Phalsa (Grewia asiati,ca),2,157,3.11,,,5.68,1.71,396
E053,Pineapple (Ananas,comosus),6,8.11±1.14,1.80±1.23,,,,31.21±4.33,86.31±10.74
E054,Plum (Prunus domes,tica),3,5.67±0.98,2.39±1.04,,,,1.32±0.22,430±82.9
E055,"Pomegranate, maro granatum)",on seeds (Punica,6,27.8±7.62,2.51±0.82,,,,2.05±0.58,47.28±7.09
E056,Pummelo (Citrus ma,xima),3,22.5±8.14,5.90±1.56,,10.43±1.83,,1.55±0.35,337±83.6
E057,"Raisins, dried, black",(Vitis vinifera),6,9.13±1.70,2.18±0.95,,,,3.71±1.08,207±44.7
E058,"Raisins, dried, golde",n (Vitis vinifera),6,28.3±4.93,3.53±1.13,,,,2.53±0.63,272±38.6
E059,Rambutan (Nepheliu,m lappaceum),1,16.80,2.50,,,,2.90,175
E060,Sapota (Achras sapo,ta),6,22.6±7.22,2.09±0.64,,,,80.70±5.96,229±17.3
E061,Soursop (Annona m,uricata),1,29.80,5.30,,,,2.20,78.00
E062,Star fruit (Averrhoa c,arambola),1,26.80,2.60,,,,1.40,152
