,,,,mgg,,mg,mg,mg,mg,mg,mg,mg,mg
,,,,AL,AS,CD,CA,CR,CO,CU,FE,PB,LI
P063,Rani (Pink perch),,1,0.41,0.90,,37.90,0.005,,0.08,0.87,,0.001
P064,"Ray fish, bow head ancylostoma)",", spotted (Rhina",1,,,0.001,9.64,0.001,,0.03,0.25,,0.002
P065,Red snapper (Lutjan argentimaculatus),us,1,,,,8.39,0.006,,0.03,0.37,,0.003
P066,"Red snapper, small hamrur)",(Priacanthus,1,,,,17.43,0.013,,0.16,0.57,,0.002
P067,Sadaya (Platax orbic,ularis),1,,,,9.08,0.011,,0.16,0.47,,
P068,Salmon (Salmo sala,r),1,,,0.001,24.30,0.008,,0.08,0.98,,
P069,Sang a d a (Nemipter,us japanicus),1,,,,7.90,0.008,0.001,0.05,0.99,,0.005
P070,Sankata pa a r a i (Ca,ranx ignobilis),1,,,,6.03,0.003,,0.05,0.99,,
P071,Sardine (Sardinella,longiceps),1,0.10,0.08,0.001,42.26,0.008,,0.07,0.83,,
P072,Shark (Carcharhinu,s sorrah),2,,,,8.44,0.028,0.007,0.23,0.38,0.002,0.001
P073,"Shark, hammer hea mokarran)",d (Sphyrna,1,0.18,0.88,,7.92,0.014,,0.03,0.86,,
P074,"Shark, spotted (Ste fasciatum)",gostoma,1,,,0.004,8.10,0.012,,0.03,0.54,,0.001
P075,Shelavu (Sphyraena,jello),4,,,,11.42±1.81,0.006±0.001,,0.04±0.03,0.52±0.27,,0.001±0.001
P076,Silan (Silonia silondi,a),1,0.03,1.20,,28.82,0.007,0.001,0.08,0.56,0.004,
P077,Silk fish (Beryx sp.),,1,,,,10.46,0.003,,0.02,0.30,,0.001
P078,Silver carp (Hypoph molitrix),thalmichthys,1,0.11,9.61,,85.55,0.025,,0.02,0.58,,0.002
P079,Sole fish (Cynoglos,sus arel),1,,,,47.28,0.004,,0.02,0.33,,0.004
P080,Stingray (Dasyatis p,astinaca),1,0.02,0.44,0.001,9.16,0.010,,0.03,0.74,0.003,
P081,Tarlava (Drepane pu,nctata),2,,,,11.68,0.009,0.001,0.03,0.53,,
P082,Tho l a m (Plectorhinc,hus schotaf),2,,,,11.40,0.016,,0.05,0.60,,0.001
