edoC dooF,,Food Name,snoigeR fo .oN,Histidine,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenylalanine,Threonine,Tryptophan,Valine
,,,,,,,,g,,,,,
,,,,HIS,ILE,LEU,LYS,MET,CYS,PHE,THR,TRP,VAL
O006,"Goat, lu",ngs,4,4.64±0.42,2.54±0.05,5.82±0.10,8.04±0.59,6.07±0.64,7.77±0.31,7.16±0.67,5.74±0.45,1.45±0.16,5.15±0.53
O007,"Goat, h",eart,5,5.38±0.21,3.08±0.76,6.35±0.18,7.04±0.07,5.59±0.34,8.15±0.36,6.25±0.50,5.43±0.51,1.31±0.12,5.08±0.62
O008,"Goat, li",ver,6,4.23±0.47,3.04±0.42,6.02±0.25,8.39±0.98,6.27±0.18,8.74±0.76,5.64±1.19,6.58±0.68,1.22±0.11,4.53±0.99
O009,"Goat, tr",ipe,5,4.40±0.25,3.59±0.31,5.99±0.17,7.22±0.19,5.55±0.26,8.33±0.59,7.76±0.93,4.16±0.21,1.34±0.06,5.24±0.45
O010,"Goat, s",pleen,4,4.62±0.35,2.70±0.41,5.50±0.11,8.89±0.87,6.49±0.32,8.80±0.40,6.58±0.40,6.27±0.90,1.46±0.06,5.27±0.28
O011,"Goat, ki",dneys,4,5.23±0.18,3.41±0.39,6.46±0.19,8.48±0.46,5.52±0.22,8.43±0.22,5.74±1.03,5.69±0.21,1.50±0.11,5.44±0.43
O012,"Goat, tu",be (small intestine),3,4.55±0.33,3.90±0.83,7.01±0.34,7.50±0.04,5.75±0.38,8.28±0.00,7.42±0.74,4.44±0.17,1.47±0.00,4.14±0.03
O013,"Goat, te",stis,2,4.59,3.88,8.31,7.09,5.99,8.38,6.44,5.25,1.28,4.36
O014,"Sheep,",shoulder,5,5.23±0.78,3.73±0.65,7.68±0.28,8.05±0.15,5.36±0.29,9.61±0.32,7.87±0.87,5.22±0.36,1.42±0.12,4.82±0.07
O015,"Sheep,",chops,4,5.19±0.69,3.31±0.26,7.36±0.48,7.29±0.13,5.48±0.19,9.39±0.32,6.80±0.37,4.89±0.17,1.50±0.16,4.23±0.26
O016,"Sheep,",leg,5,5.54±0.86,3.88±0.84,7.07±0.25,8.26±0.16,5.33±0.34,9.52±0.55,7.78±0.72,4.89±0.12,1.47±0.17,4.58±0.07
O017,"Sheep,",brain,1,5.54,2.47,5.21,8.51,6.04,8.08,6.83,5.30,1.29,4.19
O018,"Sheep,",tongue,1,5.71,3.64,5.45,7.49,5.22,8.30,6.79,4.87,1.36,3.62
O019,"Sheep,",lungs,2,4.56,2.58,5.02,7.78,6.63,7.27,7.43,5.41,1.36,4.53
O020,"Sheep,",heart,1,5.93,3.18,6.77,7.86,5.56,7.65,6.45,5.45,1.40,4.86
O021,"Sheep,",liver,4,4.39±0.30,2.83±0.27,6.20±0.06,7.79±0.34,5.12±0.71,8.22±0.80,5.66±0.99,5.52±0.39,1.19±0.28,4.68±0.20
O022,"Sheep,",tripe,2,4.72,3.44,5.78,7.05,5.33,8.65,7.17,3.86,1.46,6.05
O023,"Sheep,",spleen,1,5.05,2.89,5.90,8.91,7.04,8.83,6.55,6.94,1.38,5.50
O024,"Sheep,",kidneys,2,5.08,3.78,6.34,7.69,5.04,8.82,5.61,4.89,1.59,5.11
O025,"Beef, s",houlder,6,5.09±0.52,3.85±0.44,7.57±0.11,8.29±0.09,5.36±0.36,9.06±0.29,7.48±0.88,5.35±0.38,0.94±0.22,4.91±0.34
O026,"Beef, c",hops,4,5.51±0.47,3.82±0.38,5.67±0.09,8.26±0.62,5.37±0.45,9.40±0.72,6.51±0.88,5.32±0.52,1.17±0.18,5.32±0.55
