edoc dooF,Food N,ame,snoigeR fo .oN,Histidine,Isoleucine,Leucine,Lysine,Methionine,Cystine Ph,enylalanine,Threonine,Tryptophan,Valine
,,,,,,,,g,,,,,
,,,,,,,,,,,,,
,,,,HIS,ILE,LEU,LYS,MET,CYS,PHE,THR,TRP,VAL
G017,"Onion, big (Allium ce",pa),6,1.76±0.20,2.08±0.40,3.25±0.23,3.52±0.62,0.92±0.13,0.88±0.12,2.77±0.20,2.10±0.36,1.23±0.08,2.75±0.61
G018,"Onion, small (Allium",cepa),5,1.53±0.33,3.91±0.73,5.02±1.29,2.62±0.44,1.84±0.35,1.38±0.38,4.13±0.38,3.62±0.33,0.73±0.09,3.93±0.21
G,CONDIMENTS,AND SPICES-D,RY,,,,,,,,,,
G019,Asafoetida (Ferula a,ssa-foetida),6,2.19±0.84,2.49±0.15,5.61±0.50,2.21±0.45,0.70±0.16,0.89±0.39,4.35±0.62,2.74±0.27,1.23±0.11,1.84±0.27
G020,"Cardamom, green (E cardamomum)",lettaria,6,1.91±0.29,2.15±0.45,7.24±0.57,3.24±0.44,1.20±0.18,1.06±0.21,4.32±1.07,3.03±0.50,0.96±0.05,2.85±0.22
G021,"Cardamom, black (E cardamomum)",lettaria,4,1.82±0.04,1.80±0.15,6.02±0.22,2.58±0.05,0.86±0.03,0.79±0.04,3.39±0.07,2.95±0.07,0.86±0.18,2.64±0.16
G022,"Chillies, red (Capsic",um annum),6,2.11±0.19,3.75±0.41,6.38±0.59,4.19±0.25,1.26±0.38,1.74±0.13,5.09±0.81,4.08±0.56,0.92±0.18,4.82±0.57
G023,Cloves (Syzygium ar,omaticum),6,2.28±0.40,2.13±0.13,5.82±0.35,6.60±0.39,1.26±0.12,0.81±0.06,4.10±0.50,2.99±0.33,0.90±0.05,4.31±0.11
G024,Coriander seeds (Co,riandrum sativum),6,2.85±0.22,4.52±0.40,6.73±0.42,5.62±0.25,2.04±0.16,0.99±0.07,4.09±0.30,4.02±0.26,1.18±0.16,6.24±0.39
G025,Cumin seeds (Cumin,um cyminum),6,2.87±0.09,4.43±0.13,6.23±0.34,4.85±0.16,1.25±0.19,1.02±0.03,4.46±0.36,3.91±0.25,0.95±0.07,5.13±0.15
G026,Fenugreek seeds (Tr graecum),igonella foenum,6,2.28±0.40,4.57±0.34,6.00±0.41,6.60±0.39,1.22±0.08,1.38±0.16,4.10±0.50,2.85±0.16,1.19±0.01,4.43±0.54
G027,Mace (Myristica fragr,ans),6,1.89±0.19,2.35±0.26,5.78±0.52,2.61±0.50,1.18±0.01,1.31±0.10,4.29±0.94,5.26±0.67,1.26±0.07,3.09±0.89
G028,Nutmeg (Myristica fra,grans),6,1.43±0.36,2.23±0.59,5.20±0.79,3.42±0.52,1.08±0.07,0.83±0.14,4.86±0.40,3.02±0.59,0.88±0.06,3.12±0.22
G029,Omum (Trachysperm,um ammi),6,2.38±0.12,1.70±0.18,5.26±0.51,4.17±0.36,0.97±0.10,1.11±0.17,3.23±0.49,3.04±0.47,1.38±0.09,4.70±0.43
G030,Pippali (Piper longum,),6,1.46±0.06,2.44±0.48,8.49±0.38,1.95±0.29,0.93±0.13,0.77±0.10,4.25±0.98,3.01±0.14,1.31±0.14,3.82±0.45
G031,"Pepper, black (Piper",nigrum),6,1.28±0.12,3.85±0.39,8.25±0.45,2.23±0.17,0.60±0.10,1.26±0.09,5.15±0.39,2.63±0.78,0.55±0.06,3.62±0.13
G032,Poppy seeds (Papav,er somniferum),6,2.18±0.13,3.64±0.08,5.98±0.29,4.45±0.29,1.51±0.29,1.37±0.14,3.69±0.56,3.54±0.29,0.82±0.08,4.33±0.09
G033,Turmeric powder (C domestica),urcuma,6,1.88±0.15,4.54±0.32,8.28±0.36,3.76±0.17,1.13±0.23,0.77±0.16,5.56±0.45,4.45±0.19,2.06±0.23,5.81±0.60
H,NUTS AND OIL,SEEDS,,,,,,,,,,,
H001,Almond (Prunus amy,gdalus),6,2.22±0.43,2.38±0.38,4.02±0.57,2.28±0.19,1.24±0.27,0.84±0.12,5.61±0.22,2.82±0.40,0.89±0.04,4.45±0.40
H002,"Arecanut, dried, bro",wn (Areca catechu),6,2.09±0.35,1.74±0.16,4.43±0.43,4.59±0.40,0.98±0.05,0.65±0.18,3.56±0.96,2.81±0.63,0.79±0.17,3.25±0.44
