edoC dooF,,fo Fish Name .oN,snoigeR,Moisture,Protein,Ash,Total Fat,Energy
,,,,,g,,,KJ
,,,,WATER,PROTCNT,ASH,FATCE,ENERC
P022,Kalamaara (Lepto,melanosoma indicum),2,75.50,20.89,1.08,4.54,523
P023,Kalava (Epinephe,lus coioides),1,80.02,19.38,1.34,1.20,374
P024,Kanamayya (Lutja,nus rivulatus),2,77.59,20.19,1.07,0.65,367
P025,Kannadi paarai (,Alectis indicus),3,76.25±0.65,22.09±0.24,1.28±0.19,1.27±0.40,423±11
P026,Karimeen (Etroplu,s suratensis),1,78.66,19.68,0.97,1.38,386
P027,Karnagawala (An,choa hepsetus),1,79.22,19.52,1.45,0.84,363
P028,Kayrai (Thunnus a,lbacores),2,72.69,20.15,1.28,3.00,454
P029,Kiriyan (Atule mat,e),1,72.39,22.49,0.94,4.70,556
P030,Kite fish (Mobula,kuhlii),1,77.61,23.07,1.50,0.56,413
P031,Korka (Terapon ja,rbua),1,72.25,23.72,1.09,3.36,528
P032,Kulam paarai (Ca,rangoides fulvoguttatus),1,73.44,21.62,1.25,3.60,501
P033,Maagaa (Polynem,us plebeius),1,79.23,20.11,1.01,0.67,366
P034,Mackerel (Rastrel,liger kanagurta),3,74.55±1.14,21.51±0.34,1.20±0.43,1.53±0.93,423±40
P035,Manda clathi (Na,so reticulatus),1,76.32,21.27,1.48,1.00,398
P036,Matha (Acanthuru,s mata),2,79.81,21.17,1.35,0.79,389
P037,Milk fish(Chanos,chanos),1,72.22,23.66,1.12,1.09,442
P038,Moon fish (Mene,maculata),1,74.21,20.74,1.69,4.69,526
P039,Mullet(Mugil ceph,alus),3,76.12±0.33,20.23±1.30,1.16±0.13,1.32±0.27,393±26
P040,Mural (Tylosurus,crocodilus crocodilus),1,78.96,19.04,1.11,0.58,345
P041,Myil meen(Istiop,horus platypterus),2,75.57,22.89,1.21,0.56,410
P042,Nalla bontha (Epi,nephelus sp.),1,79.32,19.82,1.00,0.72,364
