edoC dooF,,Food Name,snoiger fo .oN,Magnesium (Mg),Manganese (Mn),Mercury (Hg),Molebdeum (Mo),Nickel (Ni),Phosphorus (P),Potassium (K),Selenium (Se),Sodium (Na),Zinc (Zn)
,,,,mg,mg,µg,mg,mg,mg,mg,µg,mg,mg
,,,,MG,MN,HG,MO,NI,P,K,SE,NA,ZN
N005,"Poultry, chi","cken, liver",1,16,0.21,,,,244,241,46.35,61.58,2.65
N006,"Poultry, chi","cken, gizzard",1,14,0.03,,,,119,244,54.66,50.60,2.65
N007,Country hen,", leg, with skin",1,25,0.03,,,,250,357,16.33,50.46,2.71
N008,Country hen,", thigh, with skin",1,24,0.02,,,,232,330,18.33,51.14,2.16
N009,Country hen,", breast, with skin",1,22,0.01,,,,222,365,20.12,23.13,0.78
N010,Country hen,", wing, with skin",1,25,0.02,,,,235,249,18.01,54.15,1.64
N011,"Duck, meat,",with skin,1,26,0.06,,,,237,273,23.55,82.25,2.92
N012,"Emu, meat,",skinless,1,25,0.04,,,,243,275,21.32,48.48,2.91
N013,Guinea fowl,", meat, with skin",1,21,0.03,,,,187,240,24.37,57.64,1.48
N014,"Pigeon, mea","t, with skin",1,29,0.04,,,,255,346,19.32,56.10,2.48
N015,"Quail, meat,",skinless,1,31,0.05,,,,300,333,14.32,56.21,1.13
N016,"Turkey, leg,",with skin,1,26,0.04,,,,236,308,17.63,66.47,3.35
N017,"Turkey, thig","h, with skin",1,23,0.02,,,,194,280,20.36,50.01,2.95
N018,"Turkey, brea","st, with skin",1,22,0.02,,,,182,315,14.33,40.45,1.28
N019,"Turkey, win","g, with skin",1,24,0.02,,,,199,262,18.36,57.00,1.68
O,ANIMAL,MEAT,,,,,,,,,,,
O001,"Goat, shoul","der, meat",6,21.39±1.54,0.02±0.00,0.25±0.30,,0.01±0.00,189±11.6,332±46.8,12.91±3.65,47.31±8.90,4.19±0.54
O002,"Goat, chops",,6,21.13±2.10,0.02±0.01,0.19±0.13,,0.01±0.00,195±11.7,334±43.9,21.76±5.69,45.72±6.21,4.55±1.05
O003,"Goat, legs",,6,21.71±1.72,0.01±0.00,0.01±0.01,,0.01±0.00,187±14.2,339±25.5,17.76±3.82,42.77±5.74,3.52±0.43
O004,"Goat, brain",,5,13.94±0.67,0.04±0.01,0.03±0.02,,0.01±0.00,296±21.2,296±15.6,21.70±6.90,132±38.4,1.08±0.09
