,,,,,,,,,Total,Insoluble,,,
,,,,,,,,g,,,,,KJ
,,,,,WATER,PROTCNT,ASH,FATCE,FIBTG,FIBINS,FIBSOL,CHOAVLDF,ENERC
B014,"Lentil whole, bro",wn (,Lens culinaris),6,9.20±0.77,22.49±0.58,2.39±0.35,0.64±0.02,16.82±1.30,14.16±1.33,2.66±0.42,48.47±1.12,1251±23
B015,"Lentil whole, yello",wi,sh (Lens culinaris),2,9.75,22.87,2.20,0.61,16.66,14.15,2.51,47.91,1246
B016,Moth bean (Vigna,aco,nitifolia),6,8.14±0.49,19.75±0.38,3.14±0.18,1.76±0.09,15.12±0.49,14.50±0.44,0.62±0.10,52.09±0.96,1291±16
B017,"Peas, dry (Pisum",sati,vum),6,9.33±0.61,20.43±0.79,2.41±0.09,1.89±0.08,17.01±0.63,14.55±0.73,2.47±0.17,48.93±0.45,1269±13
B018,"Rajmah, black (Ph",as,eolus vulgaris),2,8.69,19.01,3.35,1.62,17.74,15.16,2.58,49.59,1247
B019,"Rajmah, brown (P",has,eolus vulgaris),6,9.68±0.79,19.50±0.84,3.36±0.19,1.68±0.07,16.95±0.27,14.33±0.19,2.62±0.16,48.83±0.59,1245±12
B020,"Rajmah, red (Pha",seol,us vulgaris),3,9.87±0.30,19.91±1.44,3.28±0.21,1.77±0.04,16.57±0.63,13.86±0.43,2.70±0.20,48.61±0.65,1252±14
B021,"Red gram, dal (Ca",jan,us cajan),6,9.20±0.61,21.70±0.50,3.26±0.03,1.56±0.03,9.06±0.30,6.67±0.23,2.39±0.15,55.23±0.83,1384±10
B022,"Red gram, whole",(Ca,janus cajan),6,9.30±0.45,20.47±0.72,3.53±0.03,1.38±0.08,22.84±0.43,19.69±0.30,3.15±0.34,42.48±0.77,1146±10
B023,Ricebean (Vigna u,mb,ellata),1,11.12,19.97,3.54,0.74,13.37,10.04,3.33,51.26,1265
B024,"Soya bean, brown",(G,lycine max),6,5.51±0.13,35.58±0.66,4.74±0.31,19.82±0.26,21.55±0.66,16.56±0.30,5.00±0.52,12.79±0.97,1596±11
B025,"Soya bean, white",(Gl,ycine max),1,5.47,37.80,4.52,19.42,22.63,17.04,5.59,10.16,1579
C,GREEN LEA,FY,VEGETABLES,,,,,,,,,,
C001,Agathi leaves (Se,sba,nia grandiflora),1,74.43,8.01,2.42,1.35,8.60,6.00,2.60,5.21,295
C002,"Amaranth leaves,",gre,en (Amaranthus gangeticus),6,86.85±1.21,3.29±0.57,2.52±0.32,0.65±0.07,4.41±0.10,3.21±0.08,1.20±0.09,2.28±0.62,128±17
C003,"Amaranth leaves,",red,(Amaranthus gangeticus),1,85.56,3.93,2.61,0.63,4.91,3.72,1.19,2.37,140
C004,"Amaranth leaves, (Amaranthus gang",red etic,and green mix us),4,86.37±0.38,3.09±0.14,2.55±0.20,0.53±0.03,4.60±0.36,3.23±0.18,1.37±0.23,2.87±0.35,132±6
C005,Amaranth spinos spinosus),"us,","leaves, green (Amaranthus",4,86.46±0.48,3.54±0.31,2.94±0.21,0.36±0.02,5.10±0.32,3.89±0.26,1.20±0.07,1.61±0.40,110±5
C006,Amaranth spinos (Amaranthus spino,"us, sus","leaves, red and green mix )",2,86.64,2.80,3.20,0.34,5.57,3.82,1.75,1.45,99
