,,,mg,µg,mg,mg,mg,mg,mg,mg,mg,mg
,,,AL,AS,CD,CA,CR,CO,CU,FE,PB,LI
O028,"Beef, brain",4,0.38±0.10,0.85±0.15,,11.38±0.39,0.004±0.000,,0.29±0.06,2.15±0.42,0.003±0.001,
O029,"Beef, tongue",4,0.48±0.10,1.04±0.27,,9.49±0.28,0.005±0.002,,0.13±0.03,2.17±0.70,0.003±0.001,
O030,"Beef, lungs",3,0.33±0.04,2.06±0.57,0.001±0.000,9.31±0.87,0.011±0.010,0.002±0.001,0.20±0.12,6.85±1.65,0.006±0.002,
O031,"Beef, heart",5,0.62±0.12,1.39±0.32,,6.16±1.43,0.006±0.001,0.002±0.002,0.37±0.08,3.62±0.29,0.004±0.001,
O032,"Beef, liver",6,0.52±0.14,2.60±0.33,0.001±0.000,5.46±0.44,0.012±0.005,0.004±0.003,1.23±1.40,14.82±2.65,0.007±0.002,
O033,"Beef, tripe",5,0.37±0.21,0.61±0.43,,15.30±2.91,0.012±0.007,0.001±0.001,0.04±0.02,0.84±0.12,0.002±0.000,
O034,"Beef, spleen",6,0.32±0.12,1.80±0.56,0.001±0.000,9.40±0.24,0.008±0.004,0.001±0.000,0.09±0.01,31.68±4.50,0.003±0.001,
O035,"Beef, kidneys",3,0.34±0.12,2.37±0.54,0.043±0.010,15.31±0.44,0.005±0.000,0.002±0.002,0.21±0.09,4.71±1.89,0.481±0.827,
O036,"Calf, shoulder",2,0.29,0.70,,8.39,0.008,,0.05,1.31,0.001,
O037,"Calf, chops",2,0.27,0.27,,9.27,0.012,,0.07,1.20,0.004,
O038,"Calf, round (leg)",2,0.19,0.93,,10.03,0.007,,0.08,2.40,,
O039,"Calf, brain",2,0.15,0.71,,10.53,0.006,,0.24,1.44,0.002,
O040,"Calf, tongue",2,0.30,0.93,,9.08,0.015,,0.14,2.63,,
O041,"Calf, heart",1,0.17,0.60,,6.48,0.031,0.001,0.28,4.66,,
O042,"Calf, liver",1,0.07,3.47,0.001,5.19,0.007,0.013,1.04,16.26,,
O043,"Calf, spleen",1,0.32,0.45,0.003,10.56,0.008,0.001,0.19,25.42,0.006,
O044,"Calf, kidneys",2,0.19,1.42,0.014,12.63,0.008,0.002,0.21,4.92,0.003,
O045,"Mithun, shoulder",1,0.35,1.40,,4.27,0.050,,0.08,2.05,0.003,
O046,"Mithun, chops",1,0.36,0.62,0.001,4.88,0.019,,0.09,2.25,0.006,
O047,"Mithun, round (leg)",1,0.17,0.63,,5.32,0.038,0.001,0.09,2.18,0.004,
O048,"Pork, shoulder",6,0.47±0.14,1.53±0.89,,9.95±5.13,0.020±0.011,,0.23±0.17,0.91±0.23,0.005±0.000,
