,,,,,mg,µg,mg,mg,mg,mg,mg,mg,mg,mg
,,,,,AL,AS,CD,CA,CR,CO,CU,FE,PB,LI
D077,"Zucchini, gre",en (Cucurbita,pepo),2,,,,17.26,0.002,,0.07,0.52,,
D078,"Zucchini, yell",ow(Cucurbita,pepo),2,,,,20.98,0.003,,0.11,0.34,,
,,,,,,,,,,,,,,
E,FRUITS,,,,,,,,,,,,,
E001,"Apple, big (M",alus domestica,),6,0.23±0.12,0.96±0.37,0.040±0.014,13.68±3.20,0.007±0.002,0.261±0.093,0.04±0.01,0.26±0.02,0.058±0.029,0.592±0.402
E002,"Apple, green",(Malus domes,tica),6,,,,6.53±2.48,0.002±0.001,,0.33±0.04,0.20±0.04,,
E003,"Apple, small",(Malus domest,ica),6,0.08±0.03,0.19±0.21,,5.39±0.82,0.005±0.002,,0.06±0.03,0.25±0.06,0.002±0.001,0.001±0.000
E004,"Apple, small, domestica)",Kashmir (Ma,lus,1,0.11,,,4.72,0.007,,0.06,0.21,0.002,0.001
E005,"Apricot, dried",(Prunus arme,niaca),6,2.11±0.51,0.88±0.44,,28.57±4.32,0.016±0.008,0.002±0.001,0.43±0.04,2.50±0.26,0.008±0.012,0.002±0.001
E006,"Apricot, proc",essed (Prunu,s armeniaca),3,0.80±0.18,0.26±0.03,,5.42±0.41,0.006±0.001,0.003±0.000,0.42±0.04,1.12±0.23,0.002±0.000,
E007,Avocado fruit,(Persea ame,ricana),1,,,,28.48,0.002,,0.39,0.81,,
E008,Bael fruit (Ae,gle marmelos),,1,0.11,0.65,0.027,47.95,0.002,0.419,0.15,0.23,0.077,2.446
E009,"Banana, ripe, paradisiaca)",montham (M,usa x,1,,,,6.77,0.017,,0.12,0.40,0.002,
E010,"Banana, ripe, paradisiaca)",poovam (Mu,sa x,2,,,,8.73,0.010,,0.10,0.35,0.001,0.001
E011,"Banana, ripe,",red (Musa x p,aradisiaca),1,,,,9.56,0.008,,0.06,0.24,0.001,0.001
E012,"Banana, ripe, paradisiaca)",robusta (Mus,a x,6,,,,5.07±0.94,0.007±0.005,,0.13±0.05,0.28±0.05,0.001±0.000,0.001±0.000
E013,Black berry (,Rubus fruticos,us),5,,,,23.81±2.70,,,0.05±0.01,0.63±0.21,,0.002±0.000
E014,"Cherries, red",(Prunus ceras,us),4,0.37±0.05,,,23.88±5.01,0.010±0.003,,0.07±0.02,0.36±0.10,,
E015,"Currants, bla",ck (Ribes nigr,um),1,0.50,,0.001,40.32,0.031,,0.08,1.36,,
E016,Custard appl,e (Annona squ,amosa),1,,,,28.20,0.003,,0.19,0.42,,
