,,,,,,mg,,,µg,,mg
,,,,THIA,RIBF,NIA,PANTAC,VITB6C,BIOT,FOLSUM,VITC
G024,Coriander se,eds (Coriandrum sativum),6,0.19±0.018,0.23±0.022,1.20±0.16,0.28±0.02,0.04±0.002,1.46±0.34,22.07±4.23,
G025,Cumin seed,s (Cuminum cyminum),6,0.52±0.055,0.13±0.022,2.87±0.38,0.22±0.01,0.39±0.010,1.20±0.22,27.79±2.55,
G026,Fenugreek s,eeds (Trigonella foenum graecum),6,0.28±0.029,0.14±0.026,1.19±0.10,0.27±0.03,0.77±0.128,1.54±0.29,51.11±4.69,
G027,Mace (Myrist,ica fragrans),6,0.13±0.020,0.13±0.033,0.92±0.11,0.35±0.05,0.30±0.041,1.80±0.27,32.65±2.63,
G028,Nutmeg (Myr,istica fragrans),6,0.04±0.015,0.05±0.011,0.51±0.06,0.33±0.06,0.10±0.008,1.59±0.27,74.78±6.70,
G029,Omum (Trac,hyspermum ammi),6,0.30±0.032,0.23±0.024,1.23±0.19,0.22±0.04,0.24±0.006,1.78±0.30,51.79±1.08,
G030,Pippali (Pipe,r longum),6,0.06±0.011,0.14±0.030,1.06±0.11,0.23±0.04,0.60±0.051,2.34±0.37,66.45±15.02,
G031,"Pepper, blac",k (Piper nigrum),6,0.06±0.012,0.09±0.013,0.85±0.02,0.30±0.03,0.27±0.013,3.49±0.38,21.89±2.08,
G032,Poppy seeds,(Papaver somniferum),6,0.87±0.081,0.10±0.013,0.77±0.10,0.32±0.04,0.42±0.012,3.25±0.18,78.73±7.90,
G033,Turmeric po,wder (Curcuma domestica),6,0.06±0.004,0.01±0.000,1.55±0.10,0.13±0.02,0.13±0.006,0.76±0.14,13.86±2.38,
H,NUTS AN,D OIL SEEDS,,,,,,,,,
H001,Almond (Pru,nus amygdalus),6,0.15±0.024,0.26±0.046,3.71±0.24,0.73±0.09,0.09±0.005,2.39±0.35,36.46±5.67,0.74±0.07
H002,"Arecanut, dr","ied, brown (Areca catechu)",6,0.04±0.012,0.03±0.008,0.71±0.07,0.12±0.01,0.32±0.024,1.66±0.16,7.54±0.86,
H003,"Arecanut, dr","ied, red color (Areca catechu)",3,0.03±0.007,0.24±0.025,0.80±0.02,0.08±0.01,0.21±0.034,2.94±0.17,8.57±0.46,
H004,"Arecanut, fre",sh (Areca catechu),2,0.038,0.031,0.74,0.21,0.25,1.70,26.51,
H005,Cashew nut,(Anacardium occidentale),6,0.61±0.042,0.03±0.017,1.03±0.06,1.40±0.19,0.16±0.010,2.58±0.33,25.20±5.11,
H006,"Coconut, ke","rnal, dry (Cocos nucifera)",6,0.04±0.005,0.04±0.015,0.71±0.11,0.21±0.01,0.15±0.008,1.01±0.07,24.27±3.16,
H007,"Coconut, ke","rnel, fresh (Cocos nucifera)",6,0.03±0.003,0.08±0.006,0.30±0.02,0.21±0.02,0.10±0.008,0.63±0.04,25.41±2.66,0.80±0.24
H008,Garden cres,"s, seeds (Lepidium sativum)",5,0.52±0.023,0.15±0.004,5.67±0.06,0.28±0.03,0.05±0.008,8.66±0.62,30.92±6.34,
