Ta,,,,,,,,,,,,
ble,,,,sn,Thiamine,Riboflavin,Niacin,Pantothenic,,Biotin T,o t al Folates T o,tal Ascorb
2.,ed,,,oi,(B1),(B2),(B3),Acid (B5),Total B6,(B7),(B9),Acid
Wa,oc,Food Name,,geR,,,,,,,,
ter,do,,,fo,,,mg,,,µg,,mg
So,oF,,,.o,,,,,,,,
lub,,,,N,THIA,RIBF,NIA,PANTAC,VITB6C,BIOT,FOLSUM,VITC
le,,,,,,,,,,,,
V,,,,,,,,,,,,
ita,D014,Brinjal-5 (Solanum m,elongena),3,0.07±0.023,0.11±0.002,0.49±0.05,0.29±0.04,0.08±0.012,1.42±0.49,32.21±4.79,3.15±0.88
mins,,,,,,,,,,,,
,D015,Brinjal-6 (Solanum m,elongena),2,0.05,0.11,0.51,0.30,0.07,1.65,34.21,1.49
,,,,,,,,,,,,
,D016,Brinjal-7 (Solanum m,elongena),1,0.05,0.12,0.44,0.33,0.07,1.32,26.58,1.08
,,,,,,,,,,,,
,D017,Brinjal-8(Solanum m,elongena),3,0.07±0.004,0.11±0.015,0.65±0.01,0.39±0.09,0.07±0.02,1.55±0.32,33.89±6.18,1.89±0.83
,,,,,,,,,,,,
,D018,Brinjal-9(Solanum m,elongena),2,0.06,0.11,0.56,0.30,0.09,2.30,35.89,1.72
,,,,,,,,,,,,
,D019,Brinjal-10 (Solanum,melongena),2,0.06,0.10,0.50,0.29,0.08,1.27,37.11,2.40
,,,,,,,,,,,,
,D020,Brinjal-11 (Solanum,melongena),6,0.06±0.016,0.11±0.014,0.53±0.09,0.29±0.04,0.08±0.017,1.68±0.51,34.24±4.37,2.24±0.65
,,,,,,,,,,,,
,D021,Brinjal-12 (Solanum,melongena),2,0.04,0.10,0.46,0.35,0.06,1.11,27.83,2.55
,,,,,,,,,,,,
,D022,Brinjal-13(Solanum,melongena),1,0.04,0.12,0.54,0.34,0.09,2.29,30.99,1.49
38,,,,,,,,,,,,
,,,,,,,,,,,,
,D023,Brinjal-14(Solanum,melongena),3,0.06±0.012,0.10±0.017,0.46±0.01,0.28±0.03,0.07±0.016,1.36±0.14,38.99±0.97,1.83±0.96
,,,,,,,,,,,,
,D024,Brinjal-15 (Solanum,melongena),4,0.07±0.017,0.11±0.008,0.51±0.02,0.32±0.07,0.07±0.027,1.91±0.63,32.48±9.70,2.01±0.78
,,,,,,,,,,,,
,D025,Brinjal-16(Solanum,melongena),1,0.04,0.11,0.44,0.29,0.10,2.14,30.87,1.53
,,,,,,,,,,,,
,D026,Brinjal-17(Solanum,melongena),1,0.08,0.09,0.53,0.34,0.10,3.57,27.70,1.95
,,,,,,,,,,,,
,D027,Brinjal-18 (Solanum,melongena),3,0.04±0.012,0.10±0.010,0.57±0.05,0.30±0.04,0.07±0.025,2.16±0.36,38.27±3.60,1.97±1.44
,,,,,,,,,,,,
,D028,Brinjal-19(Solanum,melongena),3,0.04±0.007,0.10±0.012,0.53±0.08,0.26±0.08,0.09±0.023,2.54±0.64,34.32±5.55,2.53±1.07
,,,,,,,,,,,,
,D029,Brinjal-20(Solanum,melongena),5,0.06±0.015,0.10±0.014,0.55±0.09,0.29±0.04,0.07±0.012,1.77±0.44,33.44±4.68,2.21±0.86
,,,,,,,,,,,,
,D030,Brinjal-21(Solanum,melongena),2,0.05,0.11,0.53,0.32,0.08,1.93,32.60,1.38
,,,,,,,,,,,,
,D031,Brinjal - all varieties,(Solanum melongena),6,0.06±0.016,0.11±0.011,0.53±0.08,0.31±0.06,0.07±0.016,1.76±0.58,33.93±5.33,2.09±0.85
,,,,,,,,,,,,
,D032,Broad beans (Vicia f,aba),3,0.12±0.01,0.10±0.03,0.76±0.00,0.45±0.03,0.23±0.01,10.03±0.75,20.46±0.04,10.98±0.97
,,,,,,,,,,,,
,D033,"Capsicum, green (C",apsicum annuum),6,0.05±0.007,0.03±0.011,0.56±0.05,0.21±0.03,0.15±0.011,4.59±0.46,51.85±3.38,123±7.8
,,,,,,,,,,,,
,D034,"Capsicum, red (Cap",sicum annuum),4,0.10±0.042,0.03±0.014,0.66±0.21,0.25±0.03,0.24±0.007,5.47±0.98,62.54±2.15,112±5.5
