,,,,,Alpha,Beta,Gamma,Delta,Alpha Beta,Gamma,,,
,,,,µg,,,,,mg,,,,µg
,,,,ERGCAL,TOCPHA,TOCPHB,TOCPHG,TOCPHD,TOCTRA TOCTRB,TOCTRG,TOCTRD,VITE,VITK1
A,CEREALS AND,MILLETS,,,,,,,,,,,
A001,"Amaranth seed, black (A cruentus)",maranthus,1,58.67,0.05,0.28,0.04,,,,,0.17,1.80
A002,"Amaranth seed, pale bro cruentus)",wn (Amaranthus,6,53.98±3.38,0.06±0.00,0.22±0.10,0.03±0.01,,,,,0.15±0.03,2.50±0.87
A003,Bajra (Pennisetum typhoid,eum),6,5.65±0.27,0.10±0.01,,1.42±0.20,,,,,0.24±0.02,2.85±0.63
A004,Barley (Hordeum vulgare),,6,,0.01±0.01,,,,,,,0.01±0.01,1.85±0.79
A005,Jowar (Sorghum vulgare),,6,3.96±0.30,0.04±0.01,,0.27±0.03,,,,,0.06±0.01,43.82±4.84
A006,"Maize, dry (Zea mays)",,6,33.60±2.82,0.21±0.04,,1.29±0.17,0.38±0.05,0.05±0.00,,,0.36±0.03,2.50±0.76
A007,"Maize, tender, local (Zea",mays),6,42.34±4.28,0.05±0.01,,0.40±0.03,0.03±0.01,,,,0.09±0.01,2.00±0.13
A008,"Maize, tender, sweet (Zea",mays),4,16.94±2.13,0.07±0.00,,0.30±0.06,0.03±0.01,,,,0.10±0.01,1.80±0.32
A009,Quinoa(Chenopodium qui,noa),1,,2.08,0.06,2.85,,,,,2.08,2.00
A010,Ragi (Eleusine coracana),,5,41.46±3.12,0.09±0.01,,0.66±0.06,,,,,0.16±0.01,3.00±0.44
A011,Rice flakes (Oryza sativa,),6,,0.05±0.01,,,,,,,0.05±0.01,1.00±0.53
A012,Rice puffed (Oryza sativa,),6,,0.04±0.01,,,,,,,0.04±0.01,1.00±0.42
A013,"Rice, raw, brown (Oryza s",ativa ),6,,0.62±0.08,0.05±0.02,0.42±0.57,,0.03±0.02,0.05±0.02,0.02±0.01,0.69±0.12,2.00±0.83
A014,"Rice, parboiled, milled (",Oryza sativa ),6,,0.06±0.04,,0.13±0.12,,0.05±0.02,,,0.09±0.04,1.50±0.50
A015,"Rice, raw, milled (Oryza",sativa ),6,,0.04±0.03,,0.06±0.02,,0.03±0.02,0.05±0.02,,0.06±0.03,1.50±0.40
A016,Samai (Panicum miliare),,6,3.75±0.80,0.28±0.14,0.67±0.40,,,,0.28±0.09,,0.55±0.16,4.47±0.38
A017,Varagu (Setaria italica),,5,,0.03±0.01,,0.43±0.12,,,0.19±0.05,,0.07±0.02,3.75±0.63
A018,"Wheat flour, refined (Triti",cum aestivum),6,6.73±0.96,0.05±0.01,,,,0.02±0.01,,,0.05±0.01,1.00±0.46
