edoc dooF,Food N,ame,snoigeR fo .oN,Histidine,Isoleucine,Leucine,Lysine,Methionine,Cystine Ph,enylalanine,Threonine,Tryptophan,Valine
,,,,,,,,g,,,,,
,,,,,,,,,,,,,
,,,,HIS,ILE,LEU,LYS,MET,CYS,PHE,THR,TRP,VAL
D015,Brinjal-6 (Solanum,melongena),2,2.31,3.14,5.77,3.67,0.76,0.63,4.60,2.69,0.68,3.86
D016,Brinjal-7 (Solanum,melongena),1,2.11,3.44,6.18,4.25,0.95,0.99,4.85,3.03,0.70,4.72
D017,Brinjal-8(Solanum m,elongena),3,2.47±0.16,4.62±0.45,6.84±0.52,5.27±0.35,0.94±0.02,0.76±0.15,4.84±0.31,2.94±0.12,0.60±0.12,5.77±0.43
D018,Brinjal-9(Solanum m,elongena),2,2.39,4.44,6.51,4.94,1.03,0.81,4.31,2.97,0.75,5.66
D019,Brinjal-10 (Solanum,melongena),2,1.72,3.38,5.63,3.93,0.59,0.59,4.46,2.71,1.07,4.50
D020,Brinjal-11 (Solanum,melongena),6,1.79±0.28,3.35±1.00,5.24±0.90,3.15±0.64,0.81±0.18,0.79±0.12,4.75±0.28,3.04±0.38,0.73±0.28,4.36±1.45
D021,Brinjal-12 (Solanum,melongena),2,2.71,3.98,5.68,4.06,1.00,0.51,4.43,3.33,0.71,5.42
D022,Brinjal-13(Solanum,melongena),1,2.30,4.12,5.77,4.66,0.76,0.84,5.47,3.43,0.80,5.98
D023,Brinjal-14(Solanum,melongena),3,2.12±0.26,3.98±0.47,5.34±0.80,4.26±0.18,0.84±0.21,0.63±0.18,4.29±0.33,2.84±0.34,0.90±0.10,4.82±0.26
D024,Brinjal-15 (Solanum,melongena),4,1.64±0.26,3.09±0.55,5.10±0.91,3.55±0.28,0.70±0.22,0.53±0.14,4.51±0.75,2.85±0.22,0.91±0.20,4.48±1.18
D025,Brinjal-16(Solanum,melongena),1,2.21,3.90,6.04,3.23,0.78,0.59,3.52,2.92,0.73,4.84
D026,Brinjal-17(Solanum,melongena),1,2.24,3.79,5.60,4.70,0.80,0.84,4.35,3.08,0.89,4.97
D027,Brinjal-18 (Solanum,melongena),3,1.67±0.26,3.14±0.60,5.45±0.42,3.29±0.03,0.60±0.31,0.49±0.15,4.41±0.13,2.51±0.35,0.89±0.21,3.31±1.31
D028,Brinjal-19(Solanum,melongena),3,1.93±0.31,3.73±0.59,6.23±0.69,3.90±0.97,0.84±0.32,0.63±0.16,4.63±0.87,2.95±0.42,0.83±0.21,3.75±1.73
D029,Brinjal-20(Solanum,melongena),5,1.88±0.35,3.63±0.46,5.70±0.70,3.35±0.30,0.97±0.15,0.77±0.16,5.69±0.71,3.07±0.05,0.86±0.38,4.81±0.60
D030,Brinjal-21(Solanum,melongena),2,2.07,3.15,5.44,3.40,0.68,0.71,4.87,3.24,0.97,4.60
D031,Brinjal - all varietie melongena),s (Solanum,6,1.98±0.37,3.63±0.73,5.61±0.78,3.81±0.75,0.82±0.20,0.71±0.16,4.70±0.68,2.96±0.36,0.80±0.21,4.60±1.15
D032,Broad beans (Vicia,faba),3,3.16±0.63,4.28±0.12,7.63±0.15,5.66±0.50,0.65±0.81,0.55±0.03,3.86±0.59,3.40±0.66,0.88±0.02,5.41±0.16
D033,"Capsicum, green (C",apsicum annuum),6,1.72±0.79,3.79±0.95,5.68±0.57,3.47±1.08,1.24±0.40,0.98±0.04,3.49±1.26,4.05±0.56,0.96±0.15,5.17±0.78
D034,"Capsicum, red (Cap",sicum annuum),4,1.16±0.15,3.61±0.17,5.40±0.21,3.67±0.12,1.10±0.14,1.13±0.15,3.16±0.40,4.14±0.17,0.92±0.12,5.17±0.26
D035,"Capsicum, yellow (",Capsicum annuum),4,1.13±0.23,3.92±0.20,5.29±0.28,3.80±0.33,1.18±0.20,1.19±0.21,2.98±0.19,4.31±0.71,0.99±0.22,5.24±0.48
D036,Cauliflower (Brassic,a oleracea),6,1.80±0.19,3.84±0.45,6.01±0.86,4.13±0.41,1.01±0.10,0.56±0.10,3.88±0.49,4.02±0.33,1.06±0.06,5.81±0.89
