,,,,,,,,Total,Insoluble,,,
,,,,,,,g,,,,,KJ
,,,,WATER,PROTCNT,ASH,FATCE,FIBTG,FIBINS,FIBSOL,CHOAVLDF,ENERC
E038,"Mango, ripe, himsag",ar (Mangifera indica),3,88.04±0.10,0.46±0.04,0.38±0.02,0.54±0.02,1.55±0.13,0.82±0.19,0.73±0.06,9.03±0.26,187±5
E039,"Mango, ripe, kesar (",Mangifera indica),4,85.07±0.59,0.54±0.05,0.44±0.07,0.57±0.03,2.02±0.20,1.09±0.05,0.93±0.14,11.36±0.49,231±8
E040,"Mango, ripe, neelam",(Mangifera indica),2,88.41,0.68,0.38,0.55,1.77,0.97,0.79,8.21,178
E041,"Mango, ripe, paheri",(Mangifera indica),2,87.69,0.68,0.42,0.58,1.97,0.99,0.98,8.67,188
E042,"Mango, ripe, totapar",i (Mangifera indica),1,84.14,0.41,0.47,0.49,1.73,0.95,0.78,12.75,248
E043,Mangosteen (Garcin,ia mangostana),1,85.52,0.63,0.33,0.24,1.87,1.23,0.64,11.41,219
E044,Manila tamarind (Pit,hecellobium dulce),1,74.54,3.56,2.82,1.14,4.40,3.30,1.10,13.54,342
E045,"Musk melon, orange",flesh (Cucumis melon),5,92.97±0.38,0.42±0.06,0.52±0.02,0.35±0.02,1.51±0.28,0.84±0.20,0.67±0.11,4.24±0.40,97±8
E046,"Musk melon, yellow",flesh (Cucumis melon),6,91.84±0.93,0.53±0.05,0.48±0.04,0.26±0.02,1.49±0.10,0.79±0.08,0.70±0.05,5.40±1.04,116±18
E047,"Orange, pulp (Citrus",aurantium),6,89.61±0.19,0.70±0.12,0.36±0.02,0.13±0.02,1.29±0.05,0.73±0.05,0.56±0.02,7.92±0.27,156±4
E048,"Palm fruit, tender (B",orassus flabellifer),1,91.93,0.50,0.13,0.12,2.40,1.87,0.53,4.92,101
E049,"Papaya, ripe (Carcia",papaya),6,91.47±0.76,0.42±0.05,0.51±0.03,0.16±0.01,2.83±0.26,1.75±0.16,1.08±0.10,4.61±0.48,100±9
E050,Peach (Prunus comm,unis),1,88.31,0.86,0.51,0.37,2.13,1.22,0.91,7.82,168
E051,Pear (Pyrus sp.),,6,86.49±0.18,0.36±0.04,0.32±0.02,0.27±0.04,4.48±0.08,4.02±0.07,0.46±0.03,8.09±0.23,157±3
E052,Phalsa (Grewia asiat,ica),2,77.48,1.66,1.09,0.14,4.54,3.44,1.09,15.09,299
E053,Pineapple (Ananas,comosus),6,86.06±1.19,0.52±0.09,0.38±0.04,0.16±0.02,3.46±0.12,2.88±0.08,0.59±0.06,9.42±1.15,180±19
E054,Plum (Prunus domes,tica),3,84.44±1.25,0.64±0.13,0.35±0.16,0.40±0.16,2.07±0.36,1.23±0.22,0.84±0.16,12.10±1.47,238±19
E055,"Pomegranate, maro",on seeds (Punica granatum),6,83.55±0.39,1.33±0.07,0.57±0.04,0.15±0.02,2.83±0.06,2.26±0.05,0.57±0.02,11.58±0.43,229±6
E056,Pummelo (Citrus ma,xima),3,86.97±1.52,0.68±0.06,0.49±0.03,0.42±0.01,0.80±0.04,0.49±0.03,0.31±0.01,10.64±1.54,210±26
E057,"Raisins, dried, black",(Vitis vinifera),6,19.69±0.59,2.57±0.20,2.19±0.14,0.34±0.02,3.92±0.23,2.55±0.30,1.37±0.17,71.29±0.48,1279±12
E058,"Raisins, dried, gold",en (Vitis vinifera),6,21.50±0.51,2.76±0.26,2.04±0.17,0.35±0.03,4.56±0.50,3.04±0.55,1.53±0.26,68.79±1.00,1241±16
