,,,,,,,,g,,
,,,,,,STARCH,FRUS,GLUS,SUCS MALS,
H,NUTS AND,OIL SEE,DS,,,,,,,
H001,Almond (Prunus,amygdalus),,6,2.24±0.21,0.01±0.01,1.20±0.22,0.76±0.02,0.27±0.01,2.23±0.21
H002,"Arecanut, dried,",brown (Arec,a catechu),6,68.32±2.36,66.56±2.38,0.50±0.06,0.71±0.02,0.55±0.03,1.76±0.05
H003,"Arecanut, dried,",red color (A,reca catechu),3,69.12±2.92,67.33±2.74,0.60±0.17,0.83±0.07,0.36±0.02,1.79±0.20
H004,"Arecanut, fresh (",Areca catec,hu),2,40.10,35.38,3.24,1.06,0.43,4.72
H005,Cashew nut (Ana,cardium occ,identale),6,23.23±1.11,20.11±1.08,1.97±0.05,1.05±0.04,0.10±0.02,3.11±0.08
H006,"Coconut, kernal,",dry (Cocos,nucifera),6,6.93±0.30,,1.37±0.04,1.00±0.03,4.57±0.28,6.93±0.30
H007,"Coconut, kernel,",fresh (Coco,s nucifera),6,6.20±0.26,,1.00±0.08,0.89±0.04,4.31±0.20,6.20±0.26
H008,"Garden cress, s",eeds (Lepidi,um sativum),5,31.03±1.87,30.12±1.74,0.09±0.01,0.21±0.08,0.61±0.08,0.91±0.16
H009,"Gingelly seeds,",black (Sesa,mum indicum),6,9.53±0.59,8.54±0.58,0.31±0.02,0.47±0.02,0.21±0.02,0.99±0.05
H010,"Gingelly seeds,",brown (Sesa,mum indicum),4,9.31±1.09,7.92±1.06,0.50±0.02,0.21±0.03,0.68±0.03,1.39±0.04
H011,"Gingelly seeds,",white (Sesa,mum indicum),5,8.61±0.73,7.94±0.74,0.09±0.02,0.33±0.01,0.26±0.03,0.67±0.04
H012,Ground nut (Ara,chis hypogea,),6,14.61±0.87,10.19±0.52,0.60±0.30,0.25±0.04,3.57±0.40,4.42±0.51
H013,Mustard seeds (,Brassica jun,cea),6,14.12±1.06,9.05±0.80,1.13±0.46,1.40±0.42,2.55±0.56,5.07±0.72
H014,Linseeds (Linum,usitatissimu,m),6,8.15±0.17,7.55±0.13,0.20±0.02,0.40±0.05,,0.60±0.04
H015,"Niger seeds, bla",ck (Guizotia,abyssinica),4,16.76±0.85,15.01±0.82,1.34±0.12,0.31±0.02,0.10±0.01,1.75±0.11
H016,"Niger seeds, gra",y (Guizotia a,byssinica),5,16.75±0.15,16.34±0.20,0.11±0.01,0.20±0.03,0.10±0.10,0.41±0.08
H017,Pine seed (Pinus,gerardiana),,5,22.60±0.49,17.93±0.44,1.55±0.17,1.00±0.02,2.12±0.07,4.67±0.14
H018,Pistachio nuts (,Pistacla vera,),6,14.55±0.30,6.65±0.33,4.11±0.02,2.65±0.16,1.15±0.03,7.90±0.19
H019,Safflower seeds,(Carthamus,tinctorius),5,28.15±0.85,25.48±0.76,0.80±0.02,0.52±0.07,1.35±0.06,2.67±0.11
H020,Sunflower seeds,(Helianthus,annuus),5,6.79±0.56,3.97±0.45,0.74±0.08,0.60±0.02,1.48±0.15,2.81±0.13
