,,,,mg,µg,mg,mg,mg,mg,mg,mg,mg,mg
,,,,AL,AS,CD,CA,CR,CO,CU,FE,PB,LI
H016,"Niger seeds, gray (Guizotia",abyssinica),5,13.84±2.87,3.02±0.38,0.004±0.006,375±58.1,0.046±0.022,0.017±0.005,1.37±0.15,19.61±5.77,0.008±0.008,0.024±0.020
H017,Pine seed (Pinus gerardian,a),5,,7.00±1.48,0.004±0.001,17±1.27,0.002±0.001,0.001±0.001,1.17±0.07,4.50±1.03,0.004±0.002,
H018,Pistachio nuts (Pistacla ver,a),6,,3.09±0.56,0.001±0.000,135±22.4,0.003±0.004,0.001±0.000,0.89±0.05,4.50±0.63,0.014±0.007,
H019,Safflower seeds (Carthamu,s tinctorius),5,,1.19±0.21,0.005±0.002,211±14.5,0.003±0.002,0.003±0.001,0.56±0.13,4.06±0.42,0.032±0.044,
H020,Sunflower seeds (Helianthu,s annuus),5,1.33±0.51,,0.005±0.000,176±27.0,0.009±0.002,0.021±0.001,2.78±0.99,5.85±1.09,0.009±0.003,0.006±0.000
H021,Walnut (Juglans regia),,6,0.37±0.15,0.46±0.52,,105±5.9,0.006±0.007,0.009±0.003,1.52±0.33,3.21±0.17,0.015±0.012,
I,SUGARS,,,,,,,,,,,,
I001,"Jaggery, cane (Saccharum",officinarum),6,2.40±0.82,,,107±19.7,0.011±0.006,0.006±0.004,0.07±0.04,4.63±1.23,0.008±0.002,0.005±0.004
I002,"Sugarcane, juice (Saccharu officinarum)",m,6,0.14±0.12,,,18±4.07,0.002±0.000,0.001±0.000,0.03±0.01,1.12±0.27,0.001±0.001,0.001±0.000
,,,,,,,,,,,,,
J,MUSHROOMS,,,,,,,,,,,,
J001,"Button mushroom, fresh (",Agaricus sp.),1,0.13,0.15,0.288,18.38,0.010,0.001,0.09,0.29,1.725,1.275
J002,"Chicken mushroom, fresh sp.)",(Lactiporus,1,,,,4.83,,,0.42,0.30,,
J003,"Shiitake mushroom, fresh sp.)",(Lentinula,1,0.51,2.54,1.154,5.30,0.022,0.001,0.23,1.93,1.666,1.023
J004,"Oyster mushroom, dried (",Pleurotus sp.),1,5.17,1.95,3.591,23.61,0.058,0.003,0.90,3.58,9.301,4.383
,,,,,,,,,,,,,
K,MISCELLANEOUS,FOODS,,,,,,,,,,,
K001,Toddy,,10,,,,0.44±0.25,,,0.02±0.01,0.42±0.13,,
K002,Coconut Water,,6,0.04±0.02,,,27.47±4.28,0.001±0.001,,0.02±0.01,0.06±0.01,0.003±0.003,
