,,,,,,,,mg,,,,
,,,,,,,,,,,,
,,,,,,,,GALLAC,,,,
A,CEREALS AND MI,LLETS,,,,,,,,,,
A001,"Amaranth seed, black (A cruentus)",maranthus,1,1.28,,0.21,0.06,,,,0.06,0.03
A002,"Amaranth seed, pale bro cruentus)",wn (Amaranthus,6,1.23±0.05,,0.26±0.03,0.04±0.02,,,,0.04±0.03,0.03±0.02
A003,Bajra (Pennisetum typhoi,deum),6,0.03±0.01,0.11±0.02,,,,,,0.07±0.02,0.25±0.01
A004,Barley (Hordeum vulgare),,6,,,0.43±0.14,0.06±0.01,,,,1.70±0.11,0.05±0.01
A005,Jowar (Sorghum vulgare),,6,0.02±0.01,0.02±0.01,0.07±0.01,1.76±0.11,0.06±0.02,,,1.84±0.46,1.69±0.39
A006,"Maize, dry (Zea mays)",,6,0.07±0.02,,2.93±0.42,2.96±0.44,,,,2.84±0.36,2.91±0.32
A007,"Maize, tender, local (Zea",mays),6,0.04±0.03,,1.24±0.14,2.85±0.43,,,,0.55±0.09,0.55±0.27
A008,"Maize, tender, sweet (Ze",a mays),4,0.03±0.01,,1.09±0.19,1.43±0.16,,,,0.50±0.05,0.51±0.27
A009,Quinoa(Chenopodium qui,noa),1,6.70,0.44,9.70,4.90,,0.11,0.02,,0.13
A010,Ragi (Eleusine coracana),,5,,,2.38±0.35,0.34±0.06,1.38±0.36,,,,
A011,Rice flakes (Oryza sativa,),6,0.05±0.02,,0.03±0.01,0.03±0.02,,,,0.05±0.01,0.06±0.01
A012,Rice puffed (Oryza sativa,),6,0.04±0.01,,0.02±0.01,0.05±0.02,,,,0.04±0.01,0.05±0.02
A013,"Rice, raw, brown (Oryza",sativa ),6,0.04±0.01,,0.02±0.01,0.05±0.02,,,,0.04±0.01,0.05±0.02
A014,"Rice, parboiled, milled (",Oryza sativa ),6,0.07±0.02,,0.06±0.01,0.05±0.02,,,,0.06±0.02,0.06±0.02
A015,"Rice, raw, milled (Oryza",sativa ),6,0.05±0.02,,0.04±0.01,0.05±0.01,,,,0.05±0.02,0.06±0.02
A016,Samai (Panicum miliare),,6,,,0.16±0.04,0.05±0.03,,,,0.37±0.04,0.67±0.03
A017,Varagu (Setaria italica),,5,,,,0.02±0.01,,,,,
A018,"Wheat flour, refined (Triti",cum aestivum),6,0.23±0.09,,0.09±0.01,0.13±0.01,0.63±0.10,,,0.06±0.02,0.07±0.02
