,,,,,,,mg,,,,
,,,,,,,,,,,
,,,,F12D0,F14D0,F15D0,F16D0,F18D0,F20D0,F22D0,F24D0
O004,"Goat, b",rain,5,,32.63±6.10,,1007±97.9,1013±57.5,28.88±3.12,22.73±3.77,33.49±7.60
O005,"Goat, to",ngue,4,37.79±18.66,388±150,,2556±325,1976±377,21.00±2.75,,49.13±42.98
O006,"Goat, lu",ngs,4,16.42±20.30,95.79±52.64,,907±156,513±122,12.42±8.43,,20.21±12.37
O007,"Goat, h",eart,5,10.26±7.38,128±70.9,,763±183,1017±273,6.51±2.66,,13.97±13.54
O008,"Goat, li",ver,6,3.97±1.08,37.41±14.69,,735±173,944±137,,,49.82±39.91
O009,"Goat, tr",ipe,5,16.61±12.79,155±96.5,,828±144,661±139,9.66±0.82,,12.66±4.47
O010,"Goat, s",pleen,4,9.23±3.32,56.89±9.62,,555±51.2,553±138,9.47±4.33,,17.09±9.01
O011,"Goat, ki",dneys,4,7.80±3.94,70.83±36.59,,557±61.7,470±66.4,5.20±1.56,,32.65±23.84
O012,"Goat, tu",be (small intestine),3,28.28±23.62,294±258,,1961±184,2103±792,24.09±6.81,,35.02±35.16
O013,"Goat, te",stis,2,3.15,33.66,,899,259,5.88,,14.56
O014,"Sheep,",shoulder,5,48.54±32.58,603±320,,3569±629,2595±598,30.32±14.36,,70.13±106
O015,"Sheep,",chops,4,18.76±13.09,221±123,,1323±484,1190±331,10.63±2.76,,9.19±2.99
O016,"Sheep,",leg,5,30.98±14.68,282±152,,1797±145,1591±512,20.00±9.49,,24.42±12.81
O017,"Sheep,",brain,1,,24.69,,938,990,23.43,14.85,49.24
O018,"Sheep,",tongue,1,251,408,,2533,2384,,,
O019,"Sheep,",lungs,2,11.61,33.99,,640,442,6.31,,4.82
O020,"Sheep,",heart,1,20.40,186,,773,690,,,
O021,"Sheep,",liver,4,,24.79±14.41,,681±103,1078±168,,,38.64±47.47
O022,"Sheep,",tripe,2,13.91,154,,989,789,7.63,,8.62
O023,"Sheep,",spleen,1,10.04,74.93,,663,753,9.72,,22.65
O024,"Sheep,",kidneys,2,7.08,60.88,,505,543,4.56,,5.57
