,,,,,,,mg,,,µg,,mg
,,,,,THIA,RIBF,NIA,PANTAC,VITB6C,BIOT,FOLSUM,VITC
D035,"Capsicum, yellow (Cap",sicum annu,um),4,0.14±0.012,0.02±0.009,0.59±0.20,0.21±0.02,0.25±0.040,6.33±0.85,66.15±2.56,127±12.5
D036,Cauliflower (Brassica o,leracea),,6,0.04±0.003,0.07±0.007,0.31±0.02,0.62±0.09,0.13±0.020,2.47±0.29,45.95±2.95,47.14±7.47
D037,Celery stalk (Apium gra,veolens),,3,0.03±0.007,0.04±0.008,0.48±0.05,0.42±0.02,0.06±0.010,2.09±0.08,22.48±1.33,12.30±2.89
D038,Cho-cho-marrow (Sech,ium edule),,4,0.01±0.000,0.03±0.003,0.23±0.02,0.21±0.01,0.07±0.015,1.06±0.03,63.03±9.04,20.21±5.48
D039,Cluster beans (Cyamop,sis tetragon,obola),6,0.05±0.006,0.03±0.005,0.71±0.05,0.35±0.03,0.12±0.008,5.35±0.70,41.24±4.35,17.96±5.83
D040,"Colocasia, stem, black",(Colocasia,antiquorum),1,0.02,0.04,0.16,0.47,0.06,3.80,30.88,5.15
D041,"Colocasia, stem, green",(Colocasia,antiquorum),5,0.02±0.004,0.03±0.013,0.22±0.03,0.50±0.12,0.07±0.007,3.46±0.37,25.32±3.00,5.83±1.28
D042,"Corn, Baby(Zea mays)",,,6,0.15±0.054,0.07±0.032,0.53±0.07,0.94±0.16,0.16±0.046,0.79±0.08,45.53±11.69,8.59±1.48
D043,"Cucumber, green, elon",gate(Cucu,mis sativus),6,0.02±0.003,0.01±0.000,0.35±0.04,0.45±0.04,0.06±0.013,2.82±0.47,16.84±3.17,6.11±1.49
D044,"Cucumber, green, sho",rt (Cucumis,sativus),6,0.02±0.005,0.01±0.000,0.35±0.04,0.32±0.06,0.07±0.008,2.97±0.73,14.67±1.24,6.21±2.14
D045,"Cucumber, orange, ro",und (Cucum,is sativus),2,0.02,0.01,0.36,0.34,0.04,3.13,18.77,6.24
D046,Drumstick (Moringa ole,ifera),,6,0.04±0.002,0.07±0.007,0.62±0.03,0.57±0.07,0.12±0.011,4.29±0.43,62.75±6.71,71.86±19.13
D047,"Field beans, tender, br",oad (Vicia f,aba),2,0.07,0.07,0.32,0.41,0.42,4.11,123,5.99
D048,"Field beans, tender, le",an (Vicia fab,a),6,0.08±0.006,0.07±0.007,0.33±0.02,0.35±0.03,0.38±0.069,4.11±0.36,127±28.9,3.84±1.24
D049,"French beans, country",(Phaseolus,vulgaris),5,0.04±0.005,0.06±0.004,0.83±0.03,0.28±0.01,0.37±0.053,4.71±0.25,47.45±8.98,15.81±4.23
D050,"French beans, hybrid",(Phaseolus,vulgaris),2,0.05,0.05,0.77,0.27,0.44,5.93,61.98,1.38
D051,"Jack fruit, raw (Artocar",pus heterop,hyllus),5,0.05±0.014,0.05±0.010,0.19±0.02,0.37±0.02,0.04±0.005,4.37±0.14,35.73±5.62,17.51±6.00
D052,"Jack fruit, seed, matur",e (Artocarpu,s heterophyllus),5,0.06±0.010,0.03±0.008,0.19±0.02,0.36±0.01,0.08±0.005,4.10±0.31,54.58±12.31,9.68±6.44
D053,Knol - Khol (Brassica o,leracea),,6,0.04±0.012,0.06±0.014,0.37±0.02,0.38±0.03,0.19±0.033,2.46±0.11,14.76±1.64,64.70±10.78
D054,"Kovai, big (Coccinia co",rdifolia),,6,0.04±0.004,0.02±0.002,0.55±0.03,0.27±0.03,0.08±0.012,2.96±0.33,48.68±5.10,17.62±7.24
