,,,,,µg,,mg,,µg
,,,,RETOL,CHOCAL,,TOCPHA TOCPHB TOCPHG TOCPHD TOCTRA TOCTRB TOCTRG TOCTRD,VITE,VITK2
O002,"Goat, c",hops,6,2.55±0.50,0.40,,0.15±0.03,0.15±0.03,6.50±1.06
O003,"Goat, le",gs,6,8.51±1.19,0.28,0.04±0.00,0.09±0.03,0.09±0.03,9.50±1.86
O004,"Goat, b",rain,5,1.98±0.92,0.30±0.30,,0.08±0.01,0.07±0.04,3.80±1.23
O005,"Goat, to",ngue,4,8.95±2.16,0.02,0.33±0.00,0.08±0.01,0.08±0.01,1.70±0.16
O006,"Goat, lu",ngs,4,2.75±0.59,0.09,1.31±0.00,0.08±0.01,0.08±0.01,4.60±0.91
O007,"Goat, h",eart,5,5.90±0.36,0.60,,0.09±0.01,0.09±0.01,10.60±0.97
O008,"Goat, li",ver,6,15655±972,0.56,0.18±0.00,0.61±0.08,0.61±0.08,12.64±2.43
O009,"Goat, tr",ipe,5,2.17±0.52,,,0.10±0.02,0.10±0.02,11.50±2.06
O010,"Goat, s",pleen,4,7.85±0.84,0.10,0.36±0.00,0.08±0.02,0.08±0.02,9.00±0.74
O011,"Goat, ki",dneys,4,68.56±3.91,,,0.09±0.01,0.09±0.01,3.50±1.46
O012,"Goat, tu",be (small intestine),3,2.62±1.01,,,0.19±0.02,0.13±0.12,11.00±0.99
O013,"Goat, te",stis,2,2.48,0.55,0.07,0.09,0.09,2.50
O014,"Sheep,",shoulder,5,8.71±1.66,0.07±0.04,,0.31±0.06,0.31±0.06,6.80±0.57
O015,"Sheep,",chops,4,3.49±0.44,0.47,,0.10±0.02,0.10±0.02,7.30±0.45
O016,"Sheep,",leg,5,9.93±1.67,2.14,0.65±0.00,0.08±0.02,0.08±0.02,8.90±1.38
O017,"Sheep,",brain,1,1.55,1.06,,0.09,0.09,2.80
O018,"Sheep,",tongue,1,7.33,,,0.07,0.07,1.50
O019,"Sheep,",lungs,2,2.45,0.12,0.19,0.08,0.08,4.90
O020,"Sheep,",heart,1,4.64,0.80,,0.15,0.15,9.70
O021,"Sheep,",liver,4,14106±866,0.31,0.36±0.00,0.60±0.04,0.60±0.04,14.70±1.24
O022,"Sheep,",tripe,2,2.72,,,0.20,0.20,10.90
