edoC dooF,,Fish Name,snoigeR Th fo .oN,iamine (B1),Riboflavin (B2),Niacin Pan (B3),tothenic Acid (B5),Total B6 Tota,l Folates
,,,,,,mg,,,µg
,,,,,,,,,
,,,,THIA,RIBF,NIA,PANTAC,VITB6A,FOLSUM
P044,Paarai (Caranx heber,i),1,0.03,0.02,2.86,0.27,173,1612
P045,Padayappa (Canthide,rmis maculata),1,0.03,0.05,4.53,0.68,68.93,1337
P046,Pali kora (Panna mic,rodon),1,0.03,0.05,0.78,0.43,126,887
P047,Pambada (Lepturaca,nthus savala),2,0.04,0.03,1.96,0.64,76.49,1163
P048,Pandukopa (Pseudo,sciaena manchurica),1,0.04,0.02,0.54,0.42,262,1651
P049,Parava (Lactarius lac,tarius),1,0.03,0.03,0.98,0.09,153,796
P050,Parcus (Psettodes er,umei),1,0.04,0.02,0.88,0.21,202,488
P051,Parrot fish (Scarus g,hobban),1,0.06,0.02,1.89,1.15,132,556
P052,Perinkilichai (Pinjalo,pinjalo),1,0.08,0.01,1.48,0.43,119,511
P053,Phopat (Coryphaena,hippurus),4,0.06±0.02,0.04±0.02,4.28±1.13,1.13±0.06,131±11,502±163
P054,Piranha (Pygopritis s,p.),1,0.04,0.05,0.97,1.04,67.91,774
P055,"Pomfret, black (Par",astromateus niger),1,0.06,0.02,2.61,0.75,76.00,2056
P056,"Pomfret, snub nose",(Trachinotus blochii),2,0.08,0.05,1.94,0.61,77.51,651
P057,"Pomfret, white (Pam",pus argenteus),2,0.05,0.03,1.38,1.11,130,961
P058,Pranel(Gerres sp.),,1,0.04,0.13,3.37,0.76,120,1251
P059,Pulli paarai(Gnathan,odon speciosus),1,0.05,0.04,1.94,1.13,101,1387
P060,Queen fish(Scombe,roides commersonianus),3,0.06±0.02,0.04±0.03,3.24±1.34,0.63±0.04,118±2.8,1073±177
P061,Raai fish (Lobotes su,rinamensis),2,0.07,0.02,1.63,0.31,108,1638
P062,Raai vanthu(Epinep,helus chlorostigma),1,0.03,0.01,0.72,0.31,112,1562
P063,Rani (Pink perch),,1,,0.01,1.33,0.53,75.70,1217
P064,"Ray fish, bow head,",spotted (Rhina ancylostoma),1,0.05,0.03,1.99,0.23,120,1244
