,,,,,,,,,,Total,Insoluble,,,
,,,,,,,,,g,,,,,KJ
,,,,,,WATER,PROTCNT,ASH,FATCE,FIBTG,FIBINS,FIBSOL,CHOAVLDF,ENERC
D076,"Tomato, ripe,",local (Lyc,opersic,on esculentum),6,93.62±0.16,0.90±0.07,0.52±0.08,0.47±0.06,1.77±0.04,1.44±0.11,0.33±0.08,2.71±0.08,82±4
D077,"Zucchini, gre",en (Cucurb,ita pep,o),2,92.83,1.10,0.93,0.51,2.30,1.42,0.88,2.33,84
D078,"Zucchini, yell",ow (Cucurb,ita pep,o),2,93.15,1.31,1.08,0.44,1.84,1.37,0.47,2.20,79
,,,,,,,,,,,,,,
E,FRUITS,,,,,,,,,,,,,
E001,"Apple, big (M",alus domes,tica),,6,83.01±0.94,0.29±0.08,0.36±0.04,0.64±0.04,2.59±0.15,1.43±0.15,1.16±0.17,13.11±0.76,261±15
E002,"Apple, green",(Malus dom,estica),,6,85.54±0.98,0.46±0.07,0.31±0.04,0.50±0.05,2.54±0.26,1.72±0.22,0.81±0.16,10.65±1.00,214±17
E003,"Apple, small",(Malus dom,estica),,6,82.91±0.48,0.31±0.05,0.24±0.02,0.53±0.05,2.06±0.12,1.44±0.09,0.62±0.12,13.95±0.48,267±8
E004,"Apple, small,",Kashmir (,Malus s,ylvestris),1,82.79,0.27,0.29,0.60,2.07,1.53,0.54,13.99,269
E005,"Apricot, dried",(Prunus ar,meniac,a),6,16.68±0.59,3.17±0.29,3.46±0.14,0.74±0.03,3.32±0.13,2.72±0.11,0.60±0.04,72.63±0.27,1321±9
E006,"Apricot, proc",essed (Pru,nus arm,eniaca),3,85.75±0.81,1.47±0.15,0.61±0.16,0.64±0.04,0.59±0.01,0.43±0.02,0.16±0.02,10.93±0.88,236±12
E007,Avocado fruit,(Persea a,merican,a),1,73.56,2.95,1.19,13.86,6.69,5.26,1.42,1.75,604
E008,Bael fruit (Ae,gle marmel,os),,1,61.36,2.63,0.91,0.57,6.31,3.31,3.00,28.21,569
E009,"Banana, ripe,",montham,(Musa,x paradisiaca),1,70.13,1.25,1.15,0.32,2.21,1.43,0.78,24.95,463
E010,"Banana, ripe,",poovam (,Musa x,paradisiaca),2,71.32,1.49,1.09,0.35,2.33,1.29,1.04,23.41,445
E011,"Banana, ripe,",red (Musa,x para,disiaca),1,70.28,1.29,0.95,0.29,1.98,1.26,0.72,25.21,467
E012,"Banana, ripe,",robusta (M,usa x,paradisiaca),6,71.93±0.85,1.23±0.08,0.94±0.17,0.33±0.01,1.94±0.07,1.23±0.10,0.71±0.07,23.63±0.74,440±14
E013,Black berry (,Rubus frutic,osus),,5,82.94±0.42,0.92±0.10,0.52±0.04,0.63±0.02,4.35±0.25,3.44±0.16,0.91±0.13,10.64±0.35,227±6
E014,"Cherries, red",(Prunus ce,rasus),,4,83.61±0.21,1.49±0.22,0.45±0.02,0.46±0.05,2.12±0.12,1.35±0.09,0.78±0.06,11.87±0.31,250±4
E015,"Currants, bla",ck (Ribes n,igrum),,1,83.27,1.51,0.69,0.53,4.07,2.43,1.64,9.93,227
E016,Custard appl,e (Annona s,quamo,sa),1,71.55,1.62,0.68,0.67,5.10,3.17,1.93,20.38,414
