,,,,,,,,,Total,Insoluble,,,
,,,,,,,,g,,,,,KJ
,,,,,WATER,PROTCNT,ASH,FATCE,FIBTG,FIBINS,FIBSOL,CHOAVLDF,ENERC
D034,"Capsicum, red (Capsic",um annuum,),4,92.99±1.47,1.47±0.36,0.76±0.14,0.47±0.05,2.19±0.17,1.58±0.13,0.61±0.10,2.14±1.06,83±24
D035,"Capsicum, yellow (Cap",sicum annu,um),4,93.38±0.37,1.35±0.35,0.72±0.12,0.41±0.02,2.19±0.13,1.39±0.06,0.80±0.08,1.95±0.16,78±4
D036,Cauliflower (Brassica o,leracea),,6,90.76±0.22,2.15±0.15,0.91±0.10,0.44±0.03,3.71±0.27,2.66±0.35,1.04±0.13,2.03±0.22,96±5
D037,Celery stalk (Apium gra,veolens),,3,92.87±0.22,0.98±0.13,1.50±0.16,0.24±0.04,2.09±0.13,1.57±0.07,0.52±0.16,2.33±0.23,69±6
D038,Cho-cho-marrow (Sech,ium edule),,4,93.78±0.12,0.66±0.07,0.38±0.05,0.15±0.03,1.55±0.08,1.19±0.07,0.36±0.12,3.47±0.18,79±2
D039,Cluster beans (Cyamop,sis tetragon,obola),6,84.65±0.83,3.55±0.38,1.68±0.13,0.37±0.04,4.83±0.54,3.55±0.48,1.28±0.13,4.91±0.58,168±15
D040,"Colocasia, stem, black",(Colocasia,antiquorum),1,91.15,0.76,0.91,0.34,3.01,1.81,1.20,3.83,100
D041,"Colocasia, stem, green",(Colocasia,antiquorum),5,92.67±0.44,0.91±0.16,1.00±0.04,0.22±0.02,2.33±0.06,1.26±0.03,1.07±0.08,2.86±0.34,81±7
D042,"Corn, Baby(Zea mays)",,,6,75.44±0.98,2.69±0.23,2.79±0.21,1.33±0.23,6.09±0.50,4.47±0.28,1.62±0.31,11.66±1.40,306±18
D043,"Cucumber, green, elon",gate(Cucu,mis sativus),6,92.96±0.48,0.71±0.11,0.54±0.06,0.16±0.04,2.14±0.42,1.52±0.43,0.63±0.11,3.48±0.47,82±8
D044,"Cucumber, green, sho",rt (Cucumis,sativus),6,93.52±0.44,0.83±0.14,0.52±0.06,0.18±0.05,2.13±0.26,1.60±0.33,0.54±0.16,2.82±0.49,73±10
D045,"Cucumber, orange, ro",und (Cucum,is sativus),2,92.80,0.98,0.52,0.24,2.46,1.78,0.68,3.01,82
D046,Drumstick (Moringa ole,ifera),,6,85.39±0.64,2.62±0.22,1.27±0.09,0.12±0.01,6.83±0.22,5.60±0.26,1.23±0.06,3.76±0.70,123±11
D047,"Field beans, tender, br",oad (Vicia f,aba),2,86.98,3.06,0.94,0.64,5.64,4.84,0.79,2.75,129
D048,"Field beans, tender, le",an (Vicia fab,a),6,85.57±1.32,3.71±0.62,1.08±0.12,0.60±0.02,6.19±0.47,5.37±0.43,0.82±0.10,2.85±0.32,140±15
D049,"French beans, country",(Phaseolus,vulgaris),5,89.14±0.52,2.49±0.21,1.05±0.09,0.26±0.02,4.38±0.41,3.88±0.36,0.51±0.11,2.68±0.48,102±8
D050,"French beans, hybrid",(Phaseolus,vulgaris),2,90.11,2.12,0.77,0.19,4.18,3.53,0.65,2.63,93
D051,"Jack fruit, raw (Artocar",pus heterop,hyllus),5,85.52±0.86,1.98±0.16,0.99±0.10,0.35±0.05,7.69±0.20,7.15±0.13,0.54±0.08,3.48±0.70,110±15
D052,"Jack fruit, seed, matur heterophyllus)",e (Artocarpu,s,5,72.32±0.53,5.79±0.14,1.02±0.16,0.44±0.03,8.63±0.09,7.83±0.05,0.80±0.07,11.81±0.74,322±10
D053,Knol - Khol (Brassica o,leracea),,6,93.14±0.27,1.58±0.24,0.79±0.03,0.35±0.02,2.75±0.07,2.31±0.09,0.44±0.04,1.39±0.21,67±4
D054,"Kovai, big (Coccinia co",rdifolia),,6,92.78±0.61,1.39±0.23,0.58±0.07,0.24±0.08,3.00±0.26,2.19±0.18,0.81±0.11,2.01±0.54,73±10
