,,,,,,,,,mg,,,,
,,,,,,,,,,,,,
,,,,F10D0,F12D0,F14D0,F16D0,F18D0,F20D0,F22D0,F24D0 F14D1,F16D1C,F18D1CN9
E067,Wood Apple (Limonia,acidissima),3,,,,657±19,162±14.0,28.01±4.59,16.23±2.07,12.98±0.13,35.39±5.97,559±19.0
E068,Zizyphus(Zizyphus juj,ube),1,,1.92,5.34,85.73,17.22,3.14,1.95,3.65,13.76,110
,,,,,,,,,,,,,
F,ROOTS AND TU,BERS,,,,,,,,,,,
F001,Beet root (Beta vulgar,is),6,,,,27.82±2.97,1.57±0.14,,0.70±0.09,1.08±0.16,,21.96±2.57
F002,"Carrot, orange (Dacu",s carota),6,,,,72.82±2.63,6.87±0.57,3.03±0.42,2.91±0.40,2.08±0.44,,21.01±1.26
F003,"Carrot, red (Dacus ca",rota),4,,,,70.77±1.63,8.40±0.40,3.94±0.11,3.41±0.31,2.67±0.20,,18.27±0.53
F004,Colocasia (Colocasia,antiquorum),6,,,,38.35±2.80,3.49±0.43,,,,,22.92±1.60
F005,Lotus root (Nelumbiu,m nelumbo),3,,,,215±16.5,33.32±6.83,,,,,84.12±3.38
F006,"Potato, brown skin, b tuberosum)",ig (Solanum,6,,,,36.34±1.32,7.21±0.68,,,,9.75±1.66,4.06±0.33
F007,"Potato, brown skin, s tuberosum)",mall (Solanum,1,,,,36.29,7.74,,,,4.57,7.37
F008,"Potato, red skin (Sola",num tuberosum),1,,,,32.95,6.92,,,,12.38,2.53
F009,"Radish, elongate, red sativus)",skin (Raphanus,3,,,,33.13±2.78,5.52±0.77,1.31±0.21,1.35±0.07,1.35±0.27,1.11±0.15,6.17±0.65
F010,"Radish, elongate, wh (Raphanus sativus)",ite skin,6,,,,34.72±2.68,5.15±0.83,1.39±0.34,1.25±0.31,1.38±0.18,1.20±0.18,7.94±0.71
F011,"Radish, round, red sk sativus)",in (Raphanus,1,,,,37.24,4.69,0.97,1.26,1.93,1.25,4.82
F012,"Radish, round, white sativus)",skin (Raphanus,2,,,,34.12,3.97,0.86,0.84,1.36,1.17,11.47
F013,"Sweet potato, brown batatas)",skin (Ipomoes,4,,7.39±0.73,,48.29±2.45,10.42±1.43,,,,,4.10±0.60
F014,"Sweet potato, pink sk batatas)",in (Ipomoes,3,,11.17±0.84,,72.86±4.19,17.06±1.03,,,,,9.35±1.72
F015,Tapioca (Manihot escu,lenta),3,,3.59±0.06,,42.10±2.24,13.82±0.38,,,,,9.20±0.72
F016,Water Chestnut (Eleo,charis dulcis),1,,0.29,1.82,65.00,14.52,2.68,1.55,1.56,0.88,100
