Tabl,,,,,,,,,,,,,
e,,,,s M,yristoleic,Palmitoleic,Oleic,Eicosaenoic,Erucic,Nervonic,Linoleic,Eicosadienoic,α-Linolenic
7.,e,,,no,,,,,,,,,
F,d,,,i,(C14:1),(C16:1) (,C18:1n9),(C20:1n9),(C22:1n9),(C24:1n9),(C18:2n6),(C20:2),(C18:3n3)
atty,oC,Foo,d Name,geR,,,,,,,,,
Acid,doo,,,fo .,,,,,mg,,,,
Pr,F,,,oN,,,,,,,,,
ofil,,,,,F14D1,F16D1,F18D1,F20D1,F22D1,F24D1,F18D2CN6,F20D2,F18D3N3
e,,,,,,,,,,,,,
,,,,,,,,,,,,,
,M,EGG AND EG,G PRODUCTS,,,,,,,,,,
,,,,,,,,,,,,,
,M001,"Egg, poultry, whol","e, raw",6,,318±10.3,3090±36.1,24.55±2.12,,47.43±8.16,1022±45.8,,28.06±3.24
,,,,,,,,,,,,,
,M002,"Egg, poultry, whit","e, raw",6,,,,,,,,,
,,,,,,,,,,,,,
,M003,"Egg, poultry, yolk,",raw,6,,941±43.1,8919±58.8,68.58±3.61,,139±22.6,2919±127,,64.43±7.92
,,,,,,,,,,,,,
,M004,"Egg, poultry, whol","e, boiled",6,,333±29.3,3573±92.5,26.62±1.90,,58.25±7.43,1169±90.3,,29.40±4.07
,,,,,,,,,,,,,
,M005,"Egg, poultry, whit","e, boiled",6,,,,,,,,,
,,,,,,,,,,,,,
,M006,"Egg, poultry, yolk,",boiled,6,,897±51.9,9525±182,70.89±2.46,,150±23.7,3009±147,,63.64±8.26
,,,,,,,,,,,,,
,M007,"Egg, poultry, omle",t,3,,291±14.7,4247±26.5,30.49±0.64,,46.96±1.69,2679±18.3,,34.36±6.04
,,,,,,,,,,,,,
224,M008,"Egg, country hen,","whole, raw",1,,254,4765,42.32,,,1518,17.36,39.95
,,,,,,,,,,,,,
,M009,"Egg, country hen,","whole, boiled",1,,273,5433,41.19,,,1401,15.30,29.28
,,,,,,,,,,,,,
,M010,"Egg, country hen,",omlet,1,,338,6031,54.81,,,1773,23.29,47.72
,,,,,,,,,,,,,
,M011,"Egg, duck, whole,",boiled,1,7.95,445,5623,5.77,16.22,,1495,,45.95
,,,,,,,,,,,,,
,M012,"Egg, duck, whole,",raw,1,10.22,399,5638,5.77,10.43,,1453,,45.94
,,,,,,,,,,,,,
,M013,"Egg, duck, whole,",omlet,1,9.72,488,5963,7.41,14.87,,1579,,61.43
,,,,,,,,,,,,,
,M014,"Egg, quial, whole,",raw,1,18.83,446,3717,24.87,3.84,,2112,,42.84
,,,,,,,,,,,,,
,M015,"Egg, quial, whole,",boiled,1,21.73,427,3919,21.12,2.89,,2137,,41.07
,,,,,,,,,,,,,
,N,POULTRY,,,,,,,,,,,
,,,,,,,,,,,,,
,N001,"Chicken, poultry, l","eg, skinless",4,,205±27.5,1342±88.5,13.35±0.81,,,627±35.4,,25.97±5.33
,,,,,,,,,,,,,
,N002,"Chicken, poultry, t","high, skinless",6,,185±11.5,1263±43.6,12.79±1.77,,,490±21.1,,22.52±6.11
,,,,,,,,,,,,,
,N003,"Chicken, poultry,","breast, skinless",5,,120±6.3,862±32,9.10±0.31,,,346±13.8,,12.63±0.88
