,,,,,,,,,g,,
,,,,,,,STARCH,FRUS,GLUS,SUCS MALS,
C032,Rumex leaves (Ru,mex patientia ),,,2,1.55,1.10,0.11,0.21,0.14,0.45
C033,Spinach (Spinacia,oleracea),,,6,1.62±0.20,1.38±0.24,0.07±0.03,0.18±0.04,,0.24±0.04
C034,"Tamarind leaves, t",ender (Tamari,ndus indica),,3,7.01±0.02,6.85±0.02,0.05±0.02,0.12±0.02,,0.17±0.00
,,,,,,,,,,,
D,OTHER VEGE,TABLES,,,,,,,,,
D001,Ash gourd (Beninc,asa hispida),,,6,1.20±0.06,1.01±0.01,0.12±0.04,0.05±0.02,0.02±0.02,0.19±0.06
D002,"Bamboo shoot, ten",der (Bambus,a vulgaris),,1,0.60,0.51,0.07,0.02,,0.09
D003,"Bean scarlet, tend",er (Phaseolus,coccineus),,5,4.56±0.05,3.53±0.02,0.38±0.02,0.51±0.03,0.14±0.02,1.03±0.04
D004,"Bitter gourd, jagge charantia)","d, teeth ridge","s, elongate",(Momordica,6,0.96±0.09,0.92±0.08,0.04±0.01,,,0.04±0.01
D005,"Bitter gourd, jagge charantia)","d, teeth ridge","s, short (Mo",mordica,4,0.99±0.08,0.93±0.07,0.06±0.01,,,0.06±0.01
D006,"Bitter gourd, jagge (Momordica charant","d, smooth rid ia)","ges, elonga",te,1,0.95,0.87,0.08,,,0.08
D007,"Bottle gourd, elon","gate, pale gre",en (Lagenari,a vulgaris),6,1.03±0.12,0.67±0.09,0.23±0.05,0.13±0.03,,0.36±0.06
D008,"Bottle gourd, roun","d, pale green",(Lagenaria v,ulgaris),5,1.02±0.06,0.67±0.07,0.25±0.03,0.10±0.01,,0.34±0.04
D009,"Bottle gourd, elon","gate, dark gre",en (Lagenar,ia vulgaris),1,0.97,0.58,0.33,0.06,,0.39
D010,Brinjal-1 (Solanum,melongena),,,1,1.92,1.04,0.66,0.03,0.19,0.88
D011,Brinjal-2 (Solanum,melongena),,,1,1.99,1.01,0.79,0.04,0.15,0.98
D012,Brinjal-3 (Solanum,melongena),,,2,1.44,0.51,0.52,0.32,0.10,0.93
D013,Brinjal-4 (Solanum,melongena),,,4,1.83±0.07,0.97±0.02,0.55±0.01,0.15±0.04,0.17±0.02,0.86±0.06
D014,Brinjal-5 (Solanum,melongena),,,3,1.84±0.33,0.85±0.21,0.67±0.13,0.10±0.06,0.22±0.15,0.99±0.13
D015,Brinjal-6 (Solanum,melongena),,,2,2.36,1.36,0.52,0.26,0.23,1.00
D016,Brinjal-7 (Solanum,melongena),,,1,2.27,0.89,1.01,0.30,0.07,1.38
