Tabl,,,,,,,,,,,,,
e,,,,U s,ndecanoic,Lauric,Myristic,Pentadecanoic,Palmitic,Stearic,Arachidic,Behenic,Lignoceric
7.,e,,,no,,,,,,,,,
F,d,,,i,(C11:0),(C12:0),(C14:0),(C15:0),(C16:0),(C18:0),(C20:0),(C22:0),(C24:0)
atty,oC,,Food Name,geR,,,,,,,,,
Acid,doo,,,fo .,,,,,mg,,,,
Pr,F,,,oN,,,,,,,,,
ofil,,,,,F4D0,F12D0,F14D0,F15D0,F16D0,F18D0,F20D0,F22D0,F24D0
e,,,,,,,,,,,,,
,,,,,,,,,,,,,
,N004,"Chicken, po","ultry, wing, skinless",5,,,24.51±2.38,,914±38.4,274±24.8,5.68±1.37,11.85±1.68,10.85±1.73
,,,,,,,,,,,,,
,N005,"Poultry, chi","cken, liver",1,,,,,677,651,,,
,,,,,,,,,,,,,
,N006,"Poultry, chi","cken, gizzard",1,,,9.91,,495,256,5.92,4.36,
,,,,,,,,,,,,,
,N007,Country hen,", leg, with skin",1,,,13.27,2.11,362,174,2.63,,
,,,,,,,,,,,,,
,N008,Country hen,", thigh, with skin",1,,,18.74,2.73,421,167,,,
,,,,,,,,,,,,,
,N009,Country hen,", breast, with skin",1,,,10.33,1.35,286,122,,,
,,,,,,,,,,,,,
,N010,Country hen,", wing, with skin",1,,,19.17,2.94,467,199,,,
,,,,,,,,,,,,,
,N011,"Duck, meat,",with skin,1,,,,,287,58,,,
,,,,,,,,,,,,,
226,N012,"Emu, meat,",skinless,1,,,3.36,,137,60,,,
,,,,,,,,,,,,,
,N013,Guinea fowl,", meat, with skin",1,0.90,1.81,17.07,7.03,508,556,17.03,9.63,2.49
,,,,,,,,,,,,,
,N014,"Pigeon, mea","t, with skin",1,,,10.72,,939,879,,,
,,,,,,,,,,,,,
,N015,"Quail, meat,",skinless,1,,,44.53,6.70,1463,479,23.18,,8.54
,,,,,,,,,,,,,
,N016,"Turkey, leg,",with skin,1,,,,,667,313,,,
,,,,,,,,,,,,,
,N017,"Turkey, thig","h, with skin",1,,,,,681,334,,,
,,,,,,,,,,,,,
,N018,"Turkey, brea","st, with skin",1,,,,,647,286,,,
,,,,,,,,,,,,,
,N019,"Turkey, win","g, with skin",1,,,,,604,275,,,
,,,,,,,,,,,,,
,O,ANIMAL,MEAT,,,,,,,,,,
,,,,,,,,,,,,,
,O001,"Goat, shoul",der,6,,45.17±38.01,376±238,,2638±337,2331±160,18.08±3.57,,35.45±26.72
,,,,,,,,,,,,,
,O002,"Goat, chops",,6,,16.34±10.05,202±93.7,,1383±160,1252±111,12.19±4.91,,11.48±6.13
,,,,,,,,,,,,,
,O003,"Goat, legs",,6,,24.30±15.82,263±105,,1795±154,1522±157,18.61±5.01,,41.99±34.76
