,,,,mg,µg,mg,mg,mg,mg,mg,mg,mg,mg
,,,,AL,AS,CD,CA,CR,CO,CU,FE,PB,LI
D013,Brinjal-4 (Solanum,melongena),4,0.11±0.00,,,13.39±3.79,0.002±0.001,0.002±0.002,0.14±0.03,0.38±0.12,0.001±0.000,0.009±0.007
D014,Brinjal-5 (Solanum,melongena),3,0.08±0.00,,0.001±0.001,17.03±2.93,0.002±0.001,,0.11±0.03,0.36±0.04,0.001±0.000,0.009±0.008
D015,Brinjal-6 (Solanum,melongena),2,0.07,,0.001,17.17,0.002,0.001,0.11,0.39,0.001,0.016
D016,Brinjal-7 (Solanum,melongena),1,0.15,,0.001,19.95,0.003,,0.09,0.27,,0.004
D017,Brinjal-8(Solanum m,elongena),3,0.09±0.00,,,21±2,0.004±0.001,0.001±0.001,0.12±0.04,0.42±0.05,0.003±0.003,0.005±0.003
D018,Brinjal-9(Solanum m,elongena),2,0.02,,,18.79,0.006,0.001,0.11,0.38,0.002,0.001
D019,Brinjal-10 (Solanum,melongena),2,0.12,,0.001,15.59,0.007,0.001,0.12,0.41,,0.011
D020,Brinjal-11 (Solanum,melongena),6,0.06±0.01,,,15.92±2.76,0.006±0.004,0.001±0.001,0.12±0.03,0.37±0.08,0.001±0.000,0.005±0.003
D021,Brinjal-12 (Solanum,melongena),2,0.09,,0.001,19.85,0.007,0.001,0.14,0.37,0.001,0.012
D022,Brinjal-13(Solanum,melongena),1,0.04,,,18.95,0.005,0.003,0.11,0.32,,0.003
D023,Brinjal-14(Solanum,melongena),3,0.11±0.02,,0.001±0.001,14.43±3.70,0.005±0.002,,0.11±0.02,0.32±0.08,0.001±0.000,0.010±0.005
D024,Brinjal-15 (Solanum,melongena),4,0.06±0.02,,,17.82±2.16,0.003±0.002,0.001±0.002,0.12±0.01,0.36±0.14,0.001±0.000,0.009±0.008
D025,Brinjal-16(Solanum,melongena),1,0.10,,0.001,18.33,0.010,,0.07,0.32,0.001,0.003
D026,Brinjal-17(Solanum,melongena),1,0.10,,,20.83,0.004,0.001,0.12,0.50,0.002,
D027,Brinjal-18 (Solanum,melongena),3,0.08±0.02,,0.001±0.001,16.24±4.21,0.007±0.005,0.001±0.002,0.10±0.03,0.38±0.08,0.002±0.002,0.008±0.009
D028,Brinjal-19(Solanum,melongena),3,0.07±0.06,,0.001±0.000,16.10±1.74,0.003±0.002,0.001±0.000,0.10±0.03,0.32±0.04,0.002±0.000,0.010±0.004
D029,Brinjal-20(Solanum,melongena),5,0.14±0.09,,0.001±0.001,14.36±2.59,0.005±0.004,0.001±0.001,0.10±0.03,0.33±0.10,0.001±0.000,0.010±0.006
D030,Brinjal-21(Solanum,melongena),2,0.08,,0.002,15.27,0.007,0.003,0.09,0.34,0.003,0.009
D031,Brinjal - all varietie melongena),s (Solanum,6,0.08±0.05,,0.001±0.001,16.59±3.13,0.005±0.003,0.001±0.001,0.11±0.03,0.37±0.08,0.001±0.001,0.008±0.006
D032,Broad beans (Vicia,faba),3,,0.34±0.16,,64.37±5.06,0.001±0.000,0.002±0.001,0.20±0.01,0.94±0.20,0.003±0.000,
D033,"Capsicum, green (C",apsicum annuum),6,,,0.001±0.000,14.75±2.93,0.017±0.008,0.002±0.001,0.06±0.01,0.48±0.11,0.001±0.000,0.002±0.002
D034,"Capsicum, red (Cap",sicum annuum),4,0.25±0.06,,0.001±0.001,15.76±1.11,0.008±0.002,0.001±0.000,0.07±0.01,0.38±0.05,0.001±0.001,0.001±0.000
