,,,,,,,,g,,,,,
,,,,,,,,,,,,,
,,,,HIS,ILE,LE,LYS,MET,CYS,PHE,THR,TRP,VAL
P,MARINE,FISH,,,,,,,,,,,
P001,Allathi (Elop,s machnata),1,5.23,4.76,7.80,6.63,3.26,1.42,5.49,5.13,1.18,5.26
P002,Aluva (Para,stromateus niger),3,3.72±0.23,4.57±0.40,8.65±0.35,5.91±0.96,2.28±0.30,1.42±0.39,6.43±0.42,5.57±0.74,0.99±0.02,5.74±0.25
P003,Anchovy (St,olephorus indicus),2,3.65,4.59,7.72,5.67,3.28,1.82,4.61,5.55,0.81,5.49
P004,Ari fish (Apr,ion virescens),1,4.71,4.56,8.23,6.30,2.64,2.14,4.55,5.49,1.23,5.11
P005,Betki (Lates,calcarifer),1,4.54,4.62,6.98,7.60,3.15,1.95,5.79,5.19,0.81,5.33
P006,Black snapp,er(Macolor niger),1,4.94,4.93,7.97,5.84,3.12,2.01,5.33,4.64,0.79,5.43
P007,Bombay du,ck (Harpadon nehereus),2,4.60,4.49,7.47,7.17,3.44,1.74,5.37,4.51,1.25,5.34
P008,Bommuralu,(Muraenesox cinerius),3,3.74±0.09,4.75±0.46,8.59±0.25,5.07±0.45,2.57±0.13,1.48±0.14,6.19±0.37,5.58±0.11,1.19±0.07,5.35±0.45
P009,Cat fish (Ta,chysurus thalassinus),1,2.06,5.04,8.35,6.13,2.12,1.42,4.40,4.83,0.55,5.59
P010,Chakla (Rac,hycentron canadum),5,3.61±0.32,4.62±0.17,7.59±0.29,6.26±0.44,2.52±0.21,1.83±0.32,5.63±0.28,5.15±0.46,1.02±0.12,5.28±0.16
P011,Chappal (Al,uterus monoceros ),1,3.04,4.82,8.35,5.47,4.10,1.91,4.72,5.76,1.18,5.75
P012,Chelu (Elaga,tis bipinnulata),2,2.96,4.70,7.41,6.31,4.15,1.58,4.37,5.82,1.13,5.63
P013,Chembali (L,utjanus quinquelineatus),1,3.19,4.60,7.72,8.03,4.30,1.45,4.93,5.29,1.01,5.26
P014,Eri meen (P,ristipomoides filamentosus),1,3.89,4.86,8.19,6.92,3.19,1.67,5.95,5.25,1.11,5.39
P015,Gobro (Epin,ephelus diacanthus),2,2.87,4.59,7.92,7.51,3.54,1.98,4.52,5.53,1.15,5.23
P016,Guitar fish (,Rhinobatus prahli),1,2.35,4.89,8.37,6.92,3.07,1.33,4.26,4.96,1.04,5.22
P017,Hilsa (Tenua,losa ilisha),2,4.32,3.79,8.14,7.45,3.68,1.43,5.17,5.48,1.88,5.35
P018,Jallal (Arius,sp.),1,3.50,4.78,7.85,6.03,3.97,2.27,5.02,5.80,1.08,5.41
P019,Jathi vela m,een (Lethrinus lentjan),2,3.58,4.63,8.25,6.72,3.79,1.75,4.40,4.75,1.00,5.70
P020,Kadal bral (,Synodus indicus),1,3.20,4.38,7.43,6.52,3.46,2.01,3.82,5.39,0.81,5.22
