,,,,,,,,mg,,,,
,,,,,,,,,,,,
,,,,F4D0,F12D0,F14D0,F15D0,F16D0,F18D0,F20D0,F22D0,F24D0
M,EGG AND EG,G PRODUCTS,,,,,,,,,,
M001,"Egg, poultry, whol","e, raw",6,,,35.05±2.25,,2167±44.9,596±28.9,10.22±0.56,137±7.4,11.99±1.23
M002,"Egg, poultry, whit","e, raw",6,,,,,,,,,
M003,"Egg, poultry, yolk,",raw,6,,,95.82±2.85,,6236±107,1797±151,30.51±2.96,385±21.2,36.31±2.27
M004,"Egg, poultry, whol","e, boiled",6,,,40.12±3.58,,2524±112,713±54.2,13.50±0.80,157±12.4,16.48±2.66
M005,"Egg, poultry, whit","e, boiled",6,,,,,,,,,
M006,"Egg, poultry, yolk,",boiled,6,,,105±7.6,,6448±64.3,1800±130,30.23±4.27,401±33.5,34.76±2.89
M007,"Egg, poultry, omle",t,3,,,39.43±1.66,,2335±26.9,653±9.5,10.40±0.57,126±12.8,14.05±0.64
M008,"Egg, country hen,","whole, raw",1,,,35.26,,2730,1020,6.51,,
M009,"Egg, country hen,","whole, boiled",1,,,33.61,,2917,1117,5.89,,
M010,"Egg, country hen,",omlet,1,,,47.23,,3463,1366,9.59,,
M011,"Egg, duck, whole,",boiled,1,1.12,3.38,37.51,1.14,2791,713,33.49,17.38,
M012,"Egg, duck, whole,",raw,1,1.12,4.51,38.65,1.14,2640,632,36.95,18.54,
M013,"Egg, duck, whole,",omlet,1,1.20,6.03,42.55,1.22,2983,775,40.76,21.07,
M014,"Egg, quial, whole,",raw,1,0.93,1.87,71.59,2.79,2049,637,9.57,14.40,
M015,"Egg, quial, whole,",boiled,1,0.93,1.97,73.73,2.18,2083,535,11.52,15.42,
N,POULTRY,,,,,,,,,,,
N001,"Chicken, poultry, l","eg, skinless",4,,,22.52±2.93,,827±51.7,272±9.5,5.66±0.88,13.14±0.97,17.23±2.74
N002,"Chicken, poultry, t","high, skinless",6,,,22.25±2.82,,794±18.8,234±16.5,4.84±1.24,7.97±1.11,7.88±1.00
