,,,,,,mg,
,,,,,,,
,,,,,,HESPT HESPD DAIDZN GNSTEIN,EPICATEC
D053,Knol - Khol (Brassic,a oleracea),6,,0.42±0.12,,
D054,"Kovai, big (Coccinia",cordifolia),6,,,,
D055,"Kovai, small (Coccin",ia cordifolia),1,,,,
D056,Ladies finger (Abelm,oschus esculentus),6,,,1.25±0.43,
D057,"Mango, green, raw (",Mangifera indica),6,0.66±0.07,,,
D058,"Onion, stalk (Allium",cepa),6,,1.31±0.02,,
D059,"Papaya, raw (Carica",papaya),6,,,0.32±0.07,
D060,Parwar (Trichosanth,es dioica),6,,,,
D061,"Peas, fresh (Pisum s",ativum),6,,,,
D062,"Plantain, flower (Mu",sa x paradisiaca),6,,,,
D063,"Plantain, green (Mu",sa x paradisiaca),6,,,0.02±0.02,0.08±0.01
D064,"Plantain, stem (Mus",a x paradisiaca),6,,,,
D065,"Pumpkin, green, cyl maxima)",indrical (Cucurbita,1,,,,
D066,"Pumpkin, orange, r maxima)",ound (Cucurbita,6,,,,
D067,"Red gram, tender, fr",esh (Cajanus cajan),1,,,,0.33
D068,Ridge gourd (Luffa a,cutangula),6,,,,
D069,"Ridge gourd, smoot acutangula)",h skin (Luffa,3,,,,
D070,"Snake gourd, long, (Trichosanthes angui",pale green na),6,,,,
D071,"Snake gourd, long, (Trichosanthes angui",dark green na),2,,,,
D072,"Snake gourd, short anguina)",(Trichosanthes,1,,,,
