,,,,,g,,,KJ
,,,,WATER,PROTCNT,ASH,FATCE,ENERC
P,MARINE FISH,,,,,,,
P001,Allathi (Elops machnata),,1,75.91,21.77,1.06,0.98,406
P002,Aluva (Parastromateus nig,er),3,75.71±0.06,21.63±0.28,1.39±0.08,1.80±0.51,434±17
P003,Anchovy (Stolephorus ind,icus),2,77.77,19.88,1.62,0.78,367
P004,Ari fish (Aprion virescens,),1,77.09,22.01,1.34,1.11,415
P005,Betki (Lates calcarifer),,1,82.52,15.28,1.12,0.29,284
P006,Black snapper (Macolor n,iger),1,78.09,19.50,1.19,1.24,377
P007,Bombay duck (Harpadon,nehereus),2,83.24,13.53,1.07,1.03,287
P008,Bommuralu (Muraenesox,cinerius),3,76.42±0.05,22.30±0.27,1.21±0.20,2.87±0.29,485±14
P009,Cat fish (Tachysurus thala,ssinus),1,76.22,22.18,1.32,2.13,456
P010,Chakla (Rachycentron can,adum),5,78.36±0.07,20.21±0.70,1.07±0.09,1.68±1.00,406±36
P011,Chappal (Aluterus monoc,eros ),1,80.61,17.17,1.23,0.67,317
P012,Chelu (Elagatis bipinnulat,a),2,76.36,20.02,1.28,0.70,366
P013,Chembali (Lutjanus quinq,uelineatus),1,77.54,20.06,0.86,1.77,406
P014,Eri meen (Pristipomoides,filamentosus),1,76.54,22.30,1.28,2.02,454
P015,Gobro(Epinephelus diaca,nthus),2,78.84,19.37,0.98,0.88,362
P016,Guitar fish (Rhinobatus pr,ahli),1,75.73,22.56,1.32,0.44,400
P017,Hilsa(Tenualosa ilisha),,2,60.09,21.80,1.11,18.49,1083
P018,Jallal(Arius sp.),,1,77.50,21.55,1.17,1.46,420
P019,Jathi vela meen(Lethrinu,s lentjan),2,75.66,22.45,1.26,1.92,453
P020,Kadal bral(Synodus indic,us),1,79.66,18.72,1.27,1.34,368
