,,,,,,µg,,,
,,,,,,,,,
,,,,LUTN,ZEA LYCPN,CRYPXB CARTG,CARTA,CARTB,CARTOID
F015,Tapioca (Manihot esculenta),,3,5.93±1.86,2.38±0.95,,,,60.90±8.50
F016,Water Chestnut (Eleocharis,dulcis),1,8.12,2.50,,,,93.08
F017,"Yam, elephant (Amorphopha campanulatus)",llus,6,168±14.8,10.43±2.76,,32.32±3.56,176±19.3,599±70.0
F018,"Yam, ordinary (Amorphophal campanulatus)",lus,4,273±51.3,8.69±3.43,,,158±31.8,51.04±7.68
F019,"Yam, wild (Dioscorea versico",lor),2,11.39,1.20,,8.95,230,94.53
G,CONDIMENTS AND,SPICES-FRES,H,,,,,,
G001,"Chillies, green-1 (Capsicum",annum),5,255±44.6,18.92±3.74,,,31.69±9.15,1135±403
G002,"Chillies, green-2 (Capsicum",annum),3,283±66.7,24.48±6.29,,,232±91.3,1336±100
G003,"Chillies, green-3 (Capsicum",annum),5,285±79.9,34.74±11.55,,,158±45.8,1107±317
G004,"Chillies, green-4 (Capsicum",annum),3,207±56.1,45.64±13.89,,,67.84±5.44,1761±178
G005,"Chillies, green-5 (Capsicum",annum),2,278±93.3,41.40±25.80,,,45.41±11.38,1539±477
G006,"Chillies, green-6 (Capsicum",annum),1,234,35.50,,,508,1478
G007,"Chillies, green-7 (Capsicum",annum),1,294,28.50,,,44.00,1891
G008,"Chillies, green - all varieties annum)",(Capsicum,6,261±60.9,31.47±13.46,,,125±122,1347±382
G009,Coriander leaves (Coriandru,m sativum),6,6351±1069,28.30±14.89,,,3808±891,13808±2107
G010,Curry leaves (Murraya koeni,gii),6,2945±381,36.13±12.13,,144±14.5,7663±704,21862±2168
G011,"Garlic, big clove (Allium sati",vum),6,4.02±1.61,1.55±0.28,,,,33.91±6.10
G012,"Garlic, small clove (Allium s",ativum),3,5.09±1.50,1.57±0.37,,,,30.48±6.94
