edoC dooF,Food Name,snoiger fo .oN,Magnesium (Mg),Manganese (Mn),Mercury (Hg),Molebdeum (Mo),Nickel (Ni),Phosphorus (P),Potassium (K),Selenium (Se),Sodium (Na),Zinc (Zn)
,,,mg,mg,µg,mg,mg,mg,mg,µg,mg,mg
,,,MG,MN,HG,MO,NI,P,K,SE,NA,ZN
O050,"Pork, ham",6,17.05±3.66,0.01±0.01,0.10±0.14,,,140±26.6,239±34.6,13.21±6.77,40.44±9.89,1.76±0.41
O051,"Pork, lungs",4,9.82±3.41,0.03±0.01,0.12±0.11,,0.01±0.00,161±33.4,200±23.0,17.75±9.09,61.41±20.69,1.18±0.21
O052,"Pork, heart",4,18.23±1.82,0.03±0.00,0.27±0.05,0.01±0.00,0.01±0.02,187±18.5,268±54.9,20.75±5.43,70.52±13.46,1.60±0.23
O053,"Pork, liver",5,16.59±1.79,0.17±0.03,0.92±1.63,0.13±0.02,0.01±0.00,310±24.2,279±20.7,33.49±10.76,64.89±17.55,4.19±1.30
O054,"Pork, stomach",1,23.32,0.02,0.16,,0.01,125,200,31.64,109,2.34
O055,"Pork, spleen",3,16.08±2.24,0.03±0.01,0.18±0.10,0.01±0.00,0.01±0.00,230±28.7,325±35.1,37.25±4.76,49.14±5.55,2.09±0.29
O056,"Pork, kidneys",5,15.56±1.39,0.10±0.01,1.15±0.43,0.01±0.01,0.01±0.00,201±17.8,198±11.5,206±39.5,138±17.5,1.90±0.28
O057,"Pork, tube (small intestine)",1,9.78,0.05,0.16,,0.01,124,140,26.44,60.17,1.36
O058,"Hare, shoulder",1,28,0.04,,,,260,303,16.38,55.03,2.72
O059,"Hare, chops",1,31,0.03,,,,295,340,30.25,48.61,1.45
O060,"Hare, leg",1,32,0.02,,,,275,370,21.01,42.48,1.62
O061,"Rabbit, shoulder",1,32,0.03,,,,238,361,14.83,61.38,2.34
O062,"Rabbit, chops",1,33,0.03,,,,245,374,30.22,47.84,1.30
