,,,,,,,,g,,,,,
,,,,,,,,,,,,,
,,,,HIS,ILE,LE,LYS,MET,CYS,PHE,THR,TRP,VAL
P022,Kalamaara (L,eptomelanosoma indicum),2,2.76,4.52,8.63,6.04,3.05,1.76,6.29,5.50,1.10,5.06
P023,Kalava (Epine,phelus coioides),1,3.81,4.82,8.00,6.04,3.50,1.72,5.61,5.10,1.28,5.19
P024,Kanamayya (,Lutjanus rivulatus),2,2.00,4.95,7.78,5.62,2.87,1.61,5.36,6.11,0.98,5.64
P025,Kannadi paar,ai (Alectis indicus),3,4.13±0.64,4.47±0.02,7.68±0.36,6.11±0.42,2.89±0.11,1.66±0.34,5.61±0.09,5.57±0.24,1.10±0.06,5.29±0.06
P026,Karimeen (Et,roplus suratensis),1,2.30,4.59,8.06,6.50,3.61,1.70,4.03,5.11,0.78,5.24
P027,Karnagawala,(Anchoa hepsetus),1,2.85,5.06,8.51,5.43,3.66,2.54,4.68,6.80,0.91,5.83
P028,Kayrai (Thunn,us albacores),2,2.27,4.60,8.27,6.76,2.46,1.52,5.13,5.19,1.10,5.72
P029,Kiriyan (Atule,mate),1,3.07,4.54,7.39,6.30,4.14,2.34,5.09,5.37,1.24,5.59
P030,Kite fish (Mob,ula kuhlii),1,3.07,4.67,8.18,5.80,3.10,1.31,4.97,5.66,1.56,4.98
P031,Korka (Terap,on jarbua),1,3.43,4.47,7.40,5.49,3.34,2.38,3.60,5.56,1.09,5.18
P032,Kulam paarai,(Carangoides fulvoguttatus),1,1.74,4.91,8.39,5.95,2.49,1.56,5.17,6.36,1.15,6.03
P033,Maagaa (Poly,nemus plebeius),1,3.07,4.75,8.15,7.24,3.25,1.43,5.18,5.17,1.14,5.29
P034,Mackerel (Ra,strelliger kanagurta),3,3.63±0.31,4.64±0.16,7.91±0.35,6.39±0.19,2.56±0.23,1.68±0.36,5.25±0.29,5.71±0.39,1.00±0.06,5.47±0.19
P035,Manda clathi,(Naso reticulatus),1,2.98,4.70,8.74,6.05,3.32,1.94,6.09,4.80,0.81,5.16
P036,Matha (Acant,hurus mata),2,4.02,5.11,8.65,5.18,3.54,2.03,5.94,5.68,1.25,5.74
P037,Milk fish (Cha,nos chanos),1,3.10,5.15,8.30,7.36,3.30,1.86,5.20,5.87,0.90,6.12
P038,Moon fish (M,ene maculata),1,4.94,4.89,8.27,5.84,3.12,2.01,4.73,4.64,1.22,5.54
P039,Mullet (Mugil,cephalus),3,3.35±0.30,4.66±0.04,7.91±0.13,6.41±0.60,2.96±0.20,1.39±0.10,5.44±0.13,5.92±0.39,0.93±0.06,5.32±0.10
P040,Mural (Tylosu,rus crocodilus crocodilus),1,4.77,4.86,8.44,5.50,3.95,1.57,5.56,5.21,0.80,5.46
P041,Myil meen (Is,tiophorus platypterus),2,2.95,4.78,7.94,7.21,2.03,1.94,4.48,5.34,0.90,5.94
P042,Nalla bontha,(Epinephelus sp.),1,3.51,4.00,7.31,6.27,3.08,2.05,4.01,6.62,1.12,4.91
