,,,,,g,,,KJ
,,,,WATER,PROTCNT,ASH,FATCE,ENERC
P044,Paarai (Caranx heber,i),1,75.77,21.58,1.21,1.84,435
P045,Padayappa (Canthide,rmis maculata),1,79.18,19.70,1.26,0.69,360
P046,Pali kora (Panna mic,rodon),1,78.63,19.25,1.00,1.81,394
P047,Pambada (Lepturaca,nthus savala),2,74.67,21.95,1.41,4.44,537
P048,Pandukopa (Pseudo,sciaena manchurica),1,77.46,19.73,1.15,0.65,360
P049,Parava (Lactarius lac,tarius),1,77.19,21.50,1.08,2.74,467
P050,Parcus (Psettodes er,umei),1,79.01,19.87,1.12,0.62,361
P051,Parrot fish (Scarus g,hobban),1,76.84,20.82,1.40,0.57,375
P052,Perinkilichai (Pinjalo,pinjalo),1,78.33,20.89,1.02,0.87,387
P053,Phopat (Coryphaena,hippurus),4,76.42±0.14,22.05±0.75,1.24±0.02,1.33±0.47,424±8
P054,Piranha (Pygopritis s,p.),1,76.15,20.46,0.93,5.43,549
P055,"Pomfret, black (Par",astromateus niger),1,74.43,18.91,0.97,4.83,515
P056,"Pomfret, snub nose",(Trachinotus blochii),2,77.81,21.05,1.29,0.46,375
P057,"Pomfret, white (Pam",pus argenteus),2,75.91,19.02,1.01,5.12,513
P058,Pranel(Gerres sp.),,1,79.54,19.69,0.76,1.89,405
P059,Pulli paarai(Gnathan,odon speciosus),1,75.99,20.06,1.19,1.55,399
P060,Queen fish(Scombe,roides commersonianus),3,76.63±0.23,20.97±0.31,1.22±0.09,1.17±0.20,400±12
P061,Raai fish (Lobotes su,rinamensis),2,77.14,21.61,1.11,1.69,430
P062,Raai vanthu(Epinep,helus chlorostigma),1,79.95,19.39,0.92,2.17,410
P063,Rani (Pink perch),,1,78.55,18.83,1.01,1.49,377
P064,"Ray fish, bow head,",spotted (Rhina ancylostoma),1,80.30,19.03,1.15,0.70,349
