edoc dooF,,Food N,ame,snoigeR fo .oN,Moisture,Protein,Ash,Total Fat,Di,etary Fibre,Soluble,Carbohydrate,Energy
,,,,,,,,,Total,Insoluble,,,
,,,,,,,,g,,,,,KJ
,,,,,WATER,PROTCNT,ASH,FATCE,FIBTG,FIBINS,FIBSOL,CHOAVLDF,ENERC
A019,"Wheat flour,",atta (Triticum,aestivum),6,11.10±0.35,10.57±0.37,1.28±0.19,1.53±0.12,11.36±0.29,9.73±0.47,1.63±0.64,64.17±0.32,1340±7
A020,"Wheat, whol",e (Triticum aes,tivum),6,10.58±1.11,10.59±0.60,1.42±0.19,1.47±0.05,11.23±0.77,9.63±0.19,1.60±0.75,64.72±1.74,1347±23
A021,"Wheat, bulg",ur (Triticum ae,stivum),6,8.61±0.32,10.84±0.75,1.23±0.06,1.45±0.02,8.81±0.45,6.56±0.20,2.25±0.38,69.06±0.74,1430±6
A022,"Wheat, semo",lina (Triticum,aestivum),6,8.94±0.68,11.38±0.37,0.80±0.17,0.74±0.10,9.72±0.74,8.16±0.58,1.55±0.18,68.43±0.99,1396±18
A023,"Wheat, verm",icelli (Triticum,aestivum),6,9.59±0.37,9.70±0.52,0.60±0.04,0.45±0.03,9.28±0.69,7.53±0.51,1.75±0.24,70.39±0.61,1392±8
A024,"Wheat, verm","icelli, roasted",(Triticum aestivum),6,7.61±0.47,10.37±0.70,0.56±0.04,0.49±0.05,9.55±0.40,7.79±0.29,1.76±0.18,71.42±0.71,1423±13
,,,,,,,,,,,,,
B,GRAIN L,EGUMES,,,,,,,,,,,
B001,Bengal gram,", dal (Cicer ar",ietinum),6,9.18±0.58,21.55±1.45,2.10±0.10,5.31±0.06,15.15±0.17,12.67±0.22,2.48±0.15,46.72±1.29,1377±10
B002,Bengal gram,", whole (Cice",r arietinum),6,8.56±0.37,18.77±0.42,2.78±0.13,5.11±0.11,25.22±0.39,22.70±0.60,2.52±0.87,39.56±0.16,1201±9
B003,"Black gram,",dal (Phaseolu,s mungo),6,9.16±0.35,23.06±0.59,3.17±0.02,1.69±0.12,11.93±0.26,7.58±0.13,4.35±0.15,51.00±0.80,1356±9
B004,"Black gram,",whole (Phase,olus mungo),6,8.70±0.33,21.97±0.63,3.35±0.03,1.58±0.06,20.41±0.06,15.47±0.05,4.94±0.07,43.99±0.76,1219±5
B005,"Cowpea, bro",wn (Vigna cat,jang),6,9.42±0.39,20.36±0.59,2.90±0.11,1.15±0.06,11.54±0.13,8.75±0.09,2.80±0.05,54.62±0.49,1340±7
B006,"Cowpea, whi",te (Vigna catj,ang),1,9.32,21.25,2.83,1.14,11.70,8.91,2.79,53.77,1340
B007,"Field bean, b",lack (Phaseol,us vulgaris),1,9.57,19.93,2.73,0.92,23.40,17.99,5.41,43.46,1155
B008,"Field bean, b",rown (Phase,olus vulgaris),1,8.74,19.90,2.74,0.98,22.40,17.32,5.08,45.24,1184
B009,"Field bean,",white (Phaseo,lus vulgaris),5,8.61±0.36,19.84±1.04,3.09±0.15,0.94±0.02,22.99±0.83,17.45±2.27,5.54±2.28,44.53±1.42,1173±24
B010,"Green gram,",dal (Phaseolu,s aureus),6,9.77±0.67,23.88±0.61,3.04±0.03,1.35±0.20,9.37±0.38,7.75±0.39,1.62±0.19,52.59±0.45,1363±10
B011,"Green gram,",whole (Phase,olus aureus),6,9.95±0.42,22.53±0.43,3.22±0.04,1.14±0.17,17.04±0.38,14.59±0.42,2.44±0.15,46.13±0.64,1229±10
B012,"Horse gram,",whole (Dolicu,s biflorus),6,9.28±0.57,21.73±0.29,3.24±0.11,0.62±0.04,7.88±0.02,6.22±0.03,1.66±0.03,57.24±0.50,1379±9
