edoC dooF,,fo Fish Name .oN,snoigeR,Moisture,Protein,Ash,Total Fat,Energy
,,,,,g,,,KJ
,,,,WATER,PROTCNT,ASH,FATCE,ENERC
P066,"Red snapper, small (",Priacanthus hamrur),1,76.31,21.50,1.10,2.30,451
P067,Sadaya (Platax orbicu,laris),1,75.53,20.68,1.32,2.97,462
P068,Salmon (Salmo salar),,1,67.84,20.97,1.13,9.86,721
P069,Sangada (Nemipterus,japanicus),1,78.51,20.26,1.26,2.67,443
P070,Sankata paarai (Cara,nx ignobilis),1,74.88,21.87,1.18,1.68,434
P071,Sardine (Sardinella lo,ngiceps),1,72.29,17.91,0.84,8.99,637
P072,Shark (Carcharhinus,sorrah),2,72.82,21.60,1.08,0.83,398
P073,"Shark, hammer head",(Sphyrna mokarran),1,74.61,23.40,0.92,0.80,432
P074,"Shark, spotted (Steg",ostoma fasciatum),1,78.83,20.95,1.04,0.75,384
P075,Shelavu (Sphyraena j,ello),4,74.60±1.68,22.46±1.34,1.26±0.07,1.74±0.50,446±41
P076,Silan (Silonia silondia,),1,70.12,22.72,0.77,6.68,633
P077,Silk fish (Beryx sp.),,1,77.61,20.65,1.05,1.53,408
P078,Silver carp (Hypopht,halmichthys molitrix),1,72.47,21.71,0.95,5.17,555
P079,Sole fish (Cynogloss,us arel),1,80.18,19.05,1.06,1.18,367
P080,Stingray (Dasyatis pa,stinaca),1,75.67,23.98,1.14,0.68,408
P081,Tarlava(Drepane pun,ctata),2,76.76,21.72,1.14,1.20,414
P082,Tholam (Plectorhinch,us schotaf),2,76.20,20.78,1.06,2.13,432
P083,Tilapia (Oreochromis,niloticus),1,79.57,18.48,1.18,1.08,349
P084,Tuna(Euthynnus affin,is),5,72.12±0.42,24.50±0.27,1.11±0.12,1.44±0.42,470±16
P085,"Tuna, striped(Katsu",wonus pelamis),1,77.76,21.28,0.87,1.12,403
P086,Valava (Chirocentrus,nudus),1,77.25,21.80,1.27,1.06,410
