,,,,,,,,g,,,
,,,,,,STARCH,FRUS,GLUS,SUCS,MALS,
E042,"Mango, ripe, totap",ari (Mangi,fera indica),1,9.24,,7.33,1.05,0.86,,9.24
E043,Mangosteen (Garc,inia mango,stana),1,9.41,0.50,5.12,1.67,2.12,,8.91
E044,Manila tamarind (,Pithecellob,ium dulce),1,12.63,0.50,3.45,4.12,4.56,,12.13
E045,"Musk melon, oran",ge flesh (,Cucumis melon),5,2.99±0.05,,0.62±0.02,0.71±0.01,1.65±0.06,,2.99±0.05
E046,"Musk melon, yello",w flesh (C,ucumis melon),6,2.36±0.06,,0.51±0.02,0.84±0.02,1.01±0.03,,2.36±0.06
E047,"Orange, pulp (Citr",us aurantiu,m),6,6.86±0.06,,2.86±0.03,1.21±0.02,2.79±0.03,,6.86±0.06
E048,"Palm fruit, tender",(Borassus,flabellifer),1,1.03,0.84,0.17,0.02,,,0.19
E049,"Papaya, ripe (Carc",ia papaya),,6,4.09±0.17,,2.44±0.13,1.15±0.02,0.50±0.03,,4.09±0.17
E050,Peach (Prunus com,munis),,1,6.95,,1.15,0.89,4.61,0.30,6.95
E051,Pear (Pyrus sp.),,,6,7.39±0.77,,3.51±0.21,2.74±0.30,1.12±0.01,,7.39±0.77
E052,Phalsa (Grewia asi,atica),,2,13.75,0.75,6.12,4.66,2.22,,13.00
E053,Pineapple (Anana,s comosu,s),6,8.56±0.05,,1.21±0.02,3.12±0.02,4.23±0.02,,8.56±0.05
E054,Plum (Prunus dom,estica),,3,10.13±0.03,,3.50±0.03,3.42±0.03,3.21±0.03,,10.13±0.03
E055,"Pomegranate, ma",roon seed,s (Punica granatum),6,10.87±0.05,,1.01±0.03,1.74±0.04,8.12±0.04,,10.87±0.05
E056,Pummelo (Citrus m,axima),,3,4.85±0.05,0.46±0.02,2.09±0.02,1.44±0.03,0.86±0.04,,4.38±0.07
E057,"Raisins, dried, bla",ck (Vitis vi,nifera),6,62.80±2.05,1.29±0.03,23.12±1.79,16.22±0.66,22.17±0.93,,61.51±2.02
E058,"Raisins, dried, gol",den (Vitis,vinifera),6,58.17±2.00,1.05±0.03,26.54±0.56,15.58±2.03,15.00±0.23,,57.12±2.02
E059,Rambutan (Nephe,lium lappac,eum),1,15.80,,8.78,6.00,1.02,,15.80
E060,Sapota (Achras sa,pota),,6,12.30±0.05,,8.60±0.03,2.85±0.06,0.85±0.03,,12.30±0.05
E061,Soursop (Annona,muricata),,1,9.95,0.12,7.99,1.66,0.18,,9.83
E062,Star fruit (Averrho,a carambol,a),1,3.95,,2.22,1.73,,,3.95
