,,,,,,,mg,,,,
,,,,,,,,,,,
,,,,F20D3N6,F20D4N6,F20D5N3,F22D6N3,FASAT,FAMS,FAPU,CHOLC
O004,"Goat, b",rain,5,,300±21.5,,516±52.1,2138±176,1447±176,939±163,1340±21.6
O005,"Goat, to",ngue,4,,187±93.8,,,5028±917,4916±696,758±257,206±1.8
O006,"Goat, lu",ngs,4,,226±48.9,,,1564±372,894±196,374±72.5,448±5.6
O007,"Goat, h",eart,5,,125±55.6,,,1939±551,1025±224,427±141,122±1.8
O008,"Goat, li",ver,6,,362±80.1,,138±64.0,1770±365,921±350,924±236,415±26.4
O009,"Goat, tr",ipe,5,,80.27±33.71,,,1682±397,1154±268,246±88.3,113±3.5
O010,"Goat, s",pleen,4,,199±46.8,,,1200±215,616±123,352±68.7,243±10.4
O011,"Goat, ki",dneys,4,,233±22.0,,,1143±194,566±60.1,480±34.4,419±10.3
O012,"Goat, tu",be (small intestine),3,,245±277,,,4445±1300,2504±388,619±487,176±3.6
O013,"Goat, te",stis,2,,284,,,1215,590,382,118
O014,"Sheep,",shoulder,5,,240±99,,,6916±1700,5096±1221,1099±451,74.72±2.97
O015,"Sheep,",chops,4,,62.73±25.59,,,2773±866,1916±796,309±100,86.14±3.09
O016,"Sheep,",leg,5,,164±120,,,3745±846,2605±229,669±383,84.84±2.53
O017,"Sheep,",brain,1,,289,,449,2040,1183,866,1336
O018,"Sheep,",tongue,1,,69.76,,,5576,5875,938,210
O019,"Sheep,",lungs,2,,167,,,1138,767,301,431
O020,"Sheep,",heart,1,,84.05,13.62,,1677,873,332,112
O021,"Sheep,",liver,4,,364±88,,229±31.7,1822±333,772±159,1014±192,430±10.7
O022,"Sheep,",tripe,2,,63.32,,,1962,1534,210,113
O023,"Sheep,",spleen,1,,283,,,1533,764,466,262
O024,"Sheep,",kidneys,2,,233,,,1127,588,463,299
