,,,,,,,,mg,,,,
,,,,,,,,,,,,
,,,,F10D0 F12D0,F14D0,F16D0,F18D0,F20D0,F22D0,F24D0 F14D1,F16D1C,F18D1CN9
D008,"Bottle gourd, round (Lagenaria vulgaris)",", pale green",5,,1.30±0.32,30.78±1.18,4.54±0.26,0.71±0.12,2.13±0.19,1.61±0.05,,3.47±0.54
D009,"Bottle gourd, elong (Lagenaria vulgaris)","ate, dark green",1,,2.25,30.94,5.22,0.57,1.83,1.22,6.12,2.93
D010,Brinjal-1 (Solanum,melongena),1,,,50.39,34.59,5.96,1.90,1.69,,27.94
D011,Brinjal-2 (Solanum,melongena),1,,,43.46,34.71,6.53,1.93,1.49,,16.80
D012,Brinjal-3 (Solanum,melongena),2,,,39.19,25.72,4.67,1.41,1.35,,21.05
D013,Brinjal-4 (Solanum,melongena),4,,,36.90±3.89,22.79±2.22,4.34±0.60,1.60±0.40,1.27±0.21,,25.20±3.49
D014,Brinjal-5 (Solanum,melongena),3,,,35.38±10.09,25.00±9.38,5.27±2.03,1.82±0.78,1.77±1.06,,18.56±2.24
D015,Brinjal-6 (Solanum,melongena),2,,,38.35,24.82,4.81,1.68,1.33,,16.94
D016,Brinjal-7 (Solanum,melongena),1,,,41.45,22.97,4.46,1.30,1.54,,22.92
D017,Brinjal-8(Solanum m,elongena),3,,,35.37±3.38,24.72±5.85,4.66±2.18,1.92±0.16,1.50±0.11,,25.32±4.52
D018,Brinjal-9(Solanum m,elongena),2,,,42.11,29.38,5.86,1.55,1.59,,25.08
D019,Brinjal-10 (Solanum,melongena),2,,,34.80,24.25,4.35,1.37,1.23,,21.91
D020,Brinjal-11 (Solanum,melongena),6,,,35.70±7.89,24.58±6.59,4.79±1.63,1.61±0.47,1.47±0.50,,21.59±5.15
D021,Brinjal-12 (Solanum,melongena),2,,,35.21,25.17,5.17,1.57,1.41,,17.14
D022,Brinjal-13(Solanum,melongena),1,,,40.89,33.26,5.71,1.49,1.61,,15.45
D023,Brinjal-14(Solanum,melongena),3,,,31.02±14.22,21.11±11.42,4.42±2.22,1.38±0.75,1.22±0.66,,16.76±7.52
D024,Brinjal-15 (Solanum,melongena),4,,,36.27±6.79,23.11±4.70,4.37±0.45,1.69±0.44,1.64±0.55,,24.66±5.89
D025,Brinjal-16(Solanum,melongena),1,,,44.99,29.80,5.53,1.51,1.82,,21.95
D026,Brinjal-17(Solanum,melongena),1,,,45.54,26.97,5.06,1.96,1.60,,28.21
