,,,,,,,,,Total,Insoluble,,,
,,,,,,,,g,,,,,KJ
,,,,,WATER,PROTCNT,ASH,FATCE,FIBTG,FIBINS,FIBSOL,CHOAVLDF,ENERC
F010,"Radish, elongate, white",ski,n (Raphanus sativus),6,89.05±0.72,0.77±0.08,0.82±0.10,0.15±0.02,2.65±0.15,1.98±0.16,0.67±0.08,6.56±0.70,135±11
F011,"Radish, round, red skin",(Ra,phanus sativus),1,89.68,0.89,0.91,0.16,2.29,1.56,0.73,6.07,130
F012,"Radish, round, white sk",in (,Raphanus sativus),2,89.76,0.80,0.80,0.14,2.37,1.63,0.74,6.13,129
F013,"Sweet potato, brown sk",in (I,pomoes batatas),4,69.21±0.83,1.33±0.12,0.96±0.07,0.26±0.06,3.99±0.05,2.57±0.07,1.43±0.04,24.25±0.77,456±15
F014,"Sweet potato, pink skin",(Ipo,moes batatas),3,69.58±0.22,1.27±0.09,0.95±0.01,0.33±0.06,3.94±0.10,2.53±0.04,1.41±0.07,23.93±0.15,452±4
F015,Tapioca (Manihot escule,nta),,3,75.23±0.55,1.03±0.10,1.12±0.11,0.20±0.01,4.61±0.12,3.85±0.08,0.76±0.05,17.81±0.57,334±10
F016,Water Chestnut (Eleoch,aris,dulcis),1,73.34,0.86,0.95,0.37,3.02,2.15,0.87,21.46,400
F017,"Yam, elephant (Amorpho",pha,llus campanulatus),6,74.39±0.31,2.56±0.28,1.29±0.10,0.14±0.02,4.17±0.05,3.25±0.03,0.92±0.03,17.46±0.55,353±5
F018,"Yam, ordinary (Amorpho",pha,llus campanulatus),4,74.28±0.63,2.18±0.26,1.64±0.19,0.17±0.02,4.08±0.07,3.32±0.32,0.76±0.25,17.65±0.57,349±12
F019,"Yam, wild (Dioscorea ver",sic,olor),2,69.35,3.07,1.76,0.30,4.57,3.29,1.29,20.95,430
G,CONDIMENTS AN,D,SPICES-FRESH,,,,,,,,,,
G001,"Chillies, green-1 (Capsic",um,annum),5,84.47±0.29,2.62±0.35,1.01±0.14,0.73±0.02,4.86±0.65,3.31±0.42,1.55±0.35,6.32±0.41,191±5
G002,"Chillies, green-2 (Capsic",um,annum),3,85.72±0.49,2.28±0.13,0.85±0.06,0.75±0.04,5.13±0.56,3.79±0.33,1.34±0.27,5.27±0.42,167±7
G003,"Chillies, green-3 (Capsic",um,annum),5,85.59±0.79,2.38±0.40,0.95±0.13,0.75±0.02,5.10±0.10,3.61±0.46,1.50±0.49,5.23±0.71,169±12
G004,"Chillies, green-4 (Capsic",um,annum),3,85.29±0.53,2.33±0.30,0.87±0.13,0.74±0.01,4.15±0.29,2.84±0.17,1.31±0.26,6.63±0.61,190±9
G005,"Chillies, green-5 (Capsic",um,annum),2,85.93±0.11,2.01±0.26,0.82±0.08,0.65±0.03,3.95±0.60,2.83±0.37,1.12±0.32,6.64±0.39,180±10
G006,"Chillies, green-6 (Capsic",um,annum),1,84.93,3.01,0.96,0.64,5.15,3.91,1.24,5.31,175
G007,"Chillies, green-7 (Capsic",um,annum),1,85.83,2.12,0.90,0.60,4.95,3.75,1.20,5.61,163
G008,"Chillies, green - all varie",ties,(Capsicum annum),6,85.39±0.68,2.36±0.34,0.91±0.12,0.72±0.05,4.77±0.61,3.41±0.52,1.37±0.34,5.86±0.77,177±14
