,,,,,,,,,Total,Insoluble,,,
,,,,,,,,g,,,,,KJ
,,,,,WATER,PROTCNT,ASH,FATCE,FIBTG,FIBINS,FIBSOL,CHOAVLDF,ENERC
C028,Parsley (Petroselin,um crispum),,3,77.76±1.13,5.55±0.34,2.25±0.17,1.14±0.12,3.87±0.05,2.79±0.15,1.09±0.12,9.43±1.05,305±18
C029,Ponnaganni (Altern,anthera sessil,is),2,79.43,5.29,2.65,0.71,6.74,5.63,1.11,5.17,213
C030,"Pumpkin leaves, te",nder (Cucurb,ita maxima),6,85.82±1.04,4.21±0.41,2.24±0.21,0.74±0.03,2.25±0.09,1.56±0.13,0.69±0.15,4.75±1.01,185±15
C031,Radish leaves (Ra,phanus sativus,),6,91.19±0.53,2.22±0.23,1.50±0.21,0.51±0.05,1.82±0.10,1.18±0.04,0.63±0.07,2.77±0.34,109±9
C032,Rumex leaves (Ru,mex patientia),,2,93.18,1.62,1.27,0.33,1.27,0.93,0.34,2.33,82
C033,Spinach (Spinacia,oleracea),,6,90.31±0.46,2.14±0.14,2.47±0.38,0.64±0.03,2.38±0.24,1.52±0.15,0.86±0.10,2.05±0.31,102±7
C034,"Tamarind leaves, t",ender (Tamari,ndus indica),3,71.69±0.06,5.84±0.01,1.25±0.06,0.49±0.01,10.70±0.02,9.34±0.01,1.36±0.01,10.04±0.02,299±1
,,,,,,,,,,,,,
D,OTHER VEGE,TABLES,,,,,,,,,,,
D001,Ash gourd (Beninc,asa hispida),,6,92.17±0.42,0.79±0.06,0.70±0.08,0.14±0.02,3.37±0.23,2.52±0.26,0.85±0.13,2.84±0.22,73±4
D002,"Bamboo shoot, ten",der(Bambus,a vulgaris),1,94.56,1.33,0.55,0.35,1.55,1.06,0.49,1.67,68
D003,"Bean scarlet, tend",er (Phaseolus,coccineus),5,85.51±1.22,2.86±0.27,0.96±0.03,0.99±0.06,4.50±0.25,3.76±0.14,0.74±0.21,5.16±1.45,179±21
D004,"Bitter gourd, jagge (Momordica charant","d, teeth ridge ia)","s, elongate",6,90.87±0.56,1.44±0.17,0.86±0.04,0.24±0.01,3.78±0.16,3.10±0.19,0.68±0.07,2.82±0.32,87±6
D005,"Bitter gourd, jagge (Momordica charant","d, teeth ridge ia)","s, short",4,91.60±0.28,1.34±0.12,0.81±0.06,0.24±0.01,3.49±0.18,2.96±0.10,0.53±0.11,2.53±0.26,79±5
D006,"Bitter gourd, jagge (Momordica charant","d, smooth rid ia)","ges, elongate",1,91.24,1.61,0.88,0.26,3.72,3.05,0.67,2.29,81
D007,"Bottle gourd, elon vulgaris)","gate, pale gre",en (Lagenaria,6,95.17±0.33,0.53±0.05,0.36±0.04,0.13±0.02,2.12±0.07,1.65±0.05,0.48±0.07,1.68±0.33,46±6
D008,"Bottle gourd, roun vulgaris)","d, pale green",(Lagenaria,5,94.50±0.32,0.42±0.02,0.34±0.05,0.12±0.03,2.10±0.15,1.72±0.13,0.38±0.05,2.53±0.21,57±3
D009,"Bottle gourd, elon vulgaris)","gate, dark gre",en (Lagenaria,1,94.63,0.49,0.40,0.13,2.11,1.74,0.37,2.25,54
D010,Brinjal-1 (Solanum,melongena),,1,89.95,1.77,0.83,0.39,3.57,2.37,1.20,3.49,114
D011,Brinjal-2 (Solanum,melongena),,1,90.28,1.82,0.85,0.34,4.01,2.80,1.21,2.71,99
D012,Brinjal-3 (Solanum,melongena),,2,90.02,1.36,0.65,0.33,4.26,3.10,1.16,3.38,102
