,,,,,sn,,,β -,,Total
,e,,,,o,Lutein,Zeaxanthin Lycopene,γ - Carotene α - Carotene β,- Carotene,
,d,,,,i,,,Cryptoxanthin,C,arotenoi
,oC,,,Food Name,geR,,,,,
,do,,,,fo,,,µg,,
,oF,,,,.o,,,,,
,,,,,N,LUTN,ZEA LYCPN,CRYPXB CARTG CARTA,CARTB,CARTOID
,,,,,,,,,,
,M,EGG AN,D,EGG PRODUCTS,,,,,,
,,,,,,,,,,
,M001,"Egg, poultr","y,","whole, raw",6,17.61±2.89,37.23±7.16,0.97±0.44,13.60±2.04,135±2.6
,,,,,,,,,,
,M002,"Egg, poultr","y,","white, raw",6,,,,,
,,,,,,,,,,
,M003,"Egg, poultr","y,","yolk, raw",6,27.29±1.29,56.60±15.23,2.09±0.78,88.87±0.94,241±6.7
,,,,,,,,,,
,M004,"Egg, poultr","y,","whole, boiled",6,14.69±3.40,26.29±11.09,1.07±0.53,13.19±0.49,136±7.3
,,,,,,,,,,
,M005,"Egg, poultr","y,","white, boiled",6,,,,,5.30±0.31
,,,,,,,,,,
,M006,"Egg, poultr","y,","yolk, boiled",6,19.36±3.98,54.75±12.66,1.69±0.77,68.59±2.93,218±9.8
,,,,,,,,,,
,M007,"Egg, poultr","y,",omlet,3,14.47±0.35,19.03±0.96,0.75±0.10,11.36±0.84,111±1.0
,,,,,,,,,,
109,M008,"Egg, count",ry,"hen, whole, raw",1,26.86,47.26,1.56,18.55,191
,,,,,,,,,,
,M009,"Egg, count",ry,"hen, whole, boiled",1,23.61,37.85,1.06,17.45,166
,,,,,,,,,,
,M010,"Egg, count",ry,"hen, omlet",1,20.55,30.85,0.95,14.75,161
,,,,,,,,,,
,M011,"Egg, duck,",w,"hole, boiled",1,22.21,10.16,9.25,34.59,228
,,,,,,,,,,
,M012,"Egg, duck,",w,"hole, raw",1,29.50,17.96,11.08,35.66,249
,,,,,,,,,,
,M013,"Egg, duck,",w,"hole, omlet",1,20.05,9.55,8.98,30.08,213
,,,,,,,,,,
,M014,"Egg, quial,",w,"hole, raw",1,14.83,28.48,3.57,12.96,242
,,,,,,,,,,
,M015,"Egg, quial,",w,"hole, boiled",1,12.55,14.75,1.86,10.55,230
,,,,,,,,,,
Table,,,,,,,,,,
4.,,,,,,,,,,
Carotenoids,,,,,,,,,,
