,,,,,Alpha Beta,Gamma,Delta,Alpha,Beta,,,
,,,,µg,,,,mg,,,,µg
,,,,ERGCAL,TOCPHA TOCPHB,TOCPHG,TOCPHD,TOCTRA,TOCTRB,TOCTRG TOCTRD,VITE,VITK1
D036,Cauliflower (Brassica o,leracea),6,1.32±0.16,0.02±0.00,,0.09±0.01,,,,0.02±0.00,14.33±0.34
D037,Celery stalk (Apium gra,veolens),3,1.39±0.07,0.03±0.03,,0.02±0.00,0.01±0.00,,,0.03±0.03,25.87±3.13
D038,Cho-cho-marrow (Sech,ium edule),4,5.46±0.18,0.01±0.01,0.57±0.02,,0.06±0.01,,,0.09±0.01,1.78±0.21
D039,Cluster beans (Cyamop,sis tetragonobola),6,13.72±0.29,0.77±0.04,0.31±0.04,0.04±0.00,,,0.06±0.01,0.81±0.04,23.70±0.30
D040,"Colocasia, stem, black antiquorum)",(Colocasia,1,0.21,0.06,,,,,,0.06,35.75
D041,"Colocasia, stem, green antiquorum)",(Colocasia,5,0.14±0.03,0.09±0.03,,,,,,0.09±0.03,33.68±6.36
D042,"Corn, Baby(Zea mays)",,6,31.20±3.77,0.13±0.02,,,,,,0.13±0.02,75.05±0.00
D043,"Cucumber, green, elon sativus)",gate(Cucumis,6,1.26±0.22,0.02±0.01,,,,,,0.02±0.01,8.20±1.25
D044,"Cucumber, green, sho",rt (Cucumis sativus),6,1.36±0.19,0.02±0.01,,,,,,0.02±0.01,8.00±1.51
D045,"Cucumber, orange, ro sativus)",und (Cucumis,2,1.59,0.02,,,,,,0.02,7.50
D046,Drumstick (Moringa ole,ifera),6,1.67±0.25,0.31±0.07,,,,,,0.31±0.07,358±3.4
D047,"Field beans, tender, br",oad (Vicia faba),2,7.14,0.08,0.25,0.06,,,0.04,0.11,26.45
D048,"Field beans, tender, le",an (Vicia faba),6,7.20±0.10,0.08±0.01,0.25±0.03,0.06±0.01,,,0.04±0.01,0.10±0.01,26.35±1.83
D049,"French beans, country",(Phaseolus vulgaris),5,1.82±0.14,0.06±0.02,0.12±0.01,0.09±0.01,,,0.03±0.00,0.07±0.03,15.12±1.18
D050,"French beans, hybrid",(Phaseolus vulgaris),2,1.85,0.08,0.13,0.08,,,0.08,0.09,15.14
D051,"Jack fruit, raw (Artocar",pus heterophyllus),5,6.84±0.48,0.05±0.02,,0.06±0.01,,0.08±0.01,,0.05±0.02,22.30±0.71
D052,"Jack fruit, seed, matur heterophyllus)",e (Artocarpus,5,1.40±0.19,0.05±0.03,,0.06±0.01,,0.07±0.01,,0.06±0.03,13.56±0.22
D053,Knol - Khol (Brassica o,leracea),6,0.32±0.03,0.01±0.01,1.61±0.10,0.05±0.02,,,,0.17±0.01,8.90±0.77
D054,"Kovai, big (Coccinia co",rdifolia),6,6.25±0.20,0.70±0.11,0.14±0.01,,,,,0.72±0.11,19.15±0.40
D055,"Kovai, small (Coccinia",cordifolia),1,6.06,0.68,0.13,,,,,0.70,19.10
D056,Ladies finger (Abelmos,chus esculentus),6,7.46±0.41,0.48±0.01,0.12±0.00,,,,,0.50±0.01,21.52±0.29
