,,,,,,µg,,,
,,,,,,,,,
,,,,LUTN,ZEA LYCPN,CRYPXB CARTG,CARTA,CARTB,CARTOID
D036,Cauliflower (Brassica o,leracea),6,31.3±7.69,5.77±2.61,,,1.59±0.66,50.48±4.22
D037,Celery stalk (Apium gra,veolens),3,161±15.4,2.61±1.56,,,465±57.3,2439±280
D038,Cho-cho-marrow (Sech,ium edule),4,8.56±1.67,1.80±1.29,,,1.57±0.31,24.53±9.12
D039,Cluster beans (Cyamop,sis tetragonobola),6,538±164,21.49±8.50,,,241±32.8,1192±250
D040,"Colocasia, stem, black antiquorum)",(Colocasia,1,97.12,5.30,,,4.97,631
D041,"Colocasia, stem, green antiquorum)",(Colocasia,5,99.6±19.5,1.96±0.90,,,2.30±1.25,597±153
D042,"Corn, Baby(Zea mays)",,6,5.79±3.45,1.90±0.84,,,1.52±0.33,72.89±13.79
D043,"Cucumber, green, elon sativus)",gate(Cucumis,6,2.22±1.12,,,,5.33±0.93,171±46.8
D044,"Cucumber, green, sho",rt (Cucumis sativus),6,4.86±1.82,,,,4.80±1.45,172±44.8
D045,"Cucumber, orange, ro",und (Cucumis sativus),2,3.19,,,,5.55,134
D046,Drumstick (Moringa ole,ifera),6,145±18.8,5.52±3.79,,,17.28±1.85,350±62.0
D047,"Field beans, tender, br",oad (Vicia faba),2,467,21.54,,83.48,555,1738
D048,"Field beans, tender, le",an (Vicia faba),6,297±55.7,2.79±2.18,,74.32±6.96,556±6.0,1837±86.5
D049,"French beans, country",(Phaseolus vulgaris),5,235±71.8,21.21±10.10,,3.57±0.71,413±10.4,1501±171
D050,"French beans, hybrid",(Phaseolus vulgaris),2,228,13.35,,3.18,388,1449
D051,"Jack fruit, raw (Artocar",pus heterophyllus),5,4.86±2.54,2.92±1.65,,,,17.66±1.17
D052,"Jack fruit, seed, matur heterophyllus)",e (Artocarpus,5,2.13±0.82,1.56±1.11,,,,19.63±2.17
D053,Knol - Khol (Brassica o,leracea),6,2.51±0.83,1.55±1.24,,,,28.82±2.36
D054,"Kovai, big (Coccinia co",rdifolia),6,170±14.3,5.74±2.43,,,134±9.8,498±66.2
D055,"Kovai, small (Coccinia",cordifolia),1,157,4.50,,,147,586
D056,Ladies finger (Abelmos,chus esculentus),6,798±83.0,3.53±1.91,,,69.10±10.41,1223±118
